年月日,平均気温,天気概況（昼）,都市
2022/1/1,-2.6,雪時々曇一時晴,秋田
2022/1/2,0.9,雪後一時みぞれ一時雨、雷を伴う,秋田
2022/1/3,0.3,曇時々雪,秋田
2022/1/4,-2.2,雪時々曇,秋田
2022/1/5,-1.8,雪時々曇,秋田
2022/1/6,-1.2,雪後曇一時晴,秋田
2022/1/7,-0.1,雪時々曇,秋田
2022/1/8,1.4,曇時々雪一時みぞれ,秋田
2022/1/9,2.7,曇後みぞれ一時雪、雷を伴う,秋田
2022/1/10,0.4,晴,秋田
2022/1/11,2.1,曇後時々雨,秋田
2022/1/12,0.9,雪時々曇、大風・雷を伴う,秋田
2022/1/13,0.0,曇時々雪,秋田
2022/1/14,-0.6,雪時々曇,秋田
2022/1/15,1.7,曇時々雪,秋田
2022/1/16,0.4,曇一時雪後みぞれ,秋田
2022/1/17,1.1,曇一時晴後時々雪,秋田
2022/1/18,-2.6,雪時々曇一時晴,秋田
2022/1/19,0.0,曇時々雪,秋田
2022/1/20,-0.6,雪後曇一時晴、雷を伴う,秋田
2022/1/21,0.4,雪時々曇後晴,秋田
2022/1/22,0.6,曇,秋田
2022/1/23,0.3,曇一時晴後雪時々みぞれ,秋田
2022/1/24,1.5,曇一時晴後時々雪,秋田
2022/1/25,0.7,曇時々晴,秋田
2022/1/26,1.1,曇一時雪後みぞれ,秋田
2022/1/27,0.7,雪時々曇、みぞれを伴う,秋田
2022/1/28,-1.1,雪時々曇,秋田
2022/1/29,-0.5,雪時々曇,秋田
2022/1/30,-2.1,雪時々曇,秋田
2022/1/31,-2.1,曇時々雪,秋田
2022/2/1,-1.1,曇時々雪,秋田
2022/2/2,0.8,雪時々曇一時晴,秋田
2022/2/3,0.4,曇後時々雪,秋田
2022/2/4,-1.0,曇時々雪,秋田
2022/2/5,-2.1,曇時々雪,秋田
2022/2/6,-2.4,曇時々雪,秋田
2022/2/7,-0.5,雪時々曇,秋田
2022/2/8,0.4,曇時々雪,秋田
2022/2/9,1.2,曇,秋田
2022/2/10,-0.6,曇,秋田
2022/2/11,-0.6,晴一時曇,秋田
2022/2/12,0.5,晴後みぞれ時々曇,秋田
2022/2/13,1.7,曇一時晴,秋田
2022/2/14,0.2,曇時々晴,秋田
2022/2/15,0.4,曇後雪時々みぞれ,秋田
2022/2/16,1.6,みぞれ時々曇一時雨,秋田
2022/2/17,0.4,雪後曇一時みぞれ、雷を伴う,秋田
2022/2/18,0.5,曇時々みぞれ一時晴,秋田
2022/2/19,1.5,雪一時晴後曇,秋田
2022/2/20,1.0,みぞれ後曇一時雪,秋田
2022/2/21,-2.6,雪時々曇、大風を伴う,秋田
2022/2/22,-2.2,雪時々曇,秋田
2022/2/23,-1.2,曇時々雪,秋田
2022/2/24,1.0,曇時々雪,秋田
2022/2/25,3.2,曇後時々雪一時みぞれ,秋田
2022/2/26,6.8,曇時々雨一時晴、雷を伴う,秋田
2022/2/27,4.4,雨時々曇一時雪、雷を伴う,秋田
2022/2/28,4.1,晴,秋田
2022/3/1,2.9,曇後時々雨、雷を伴う,秋田
2022/3/2,4.0,晴後時々曇、みぞれを伴う,秋田
2022/3/3,2.9,曇後みぞれ一時雪、雷を伴う,秋田
2022/3/4,1.4,雪後曇時々晴,秋田
2022/3/5,2.4,曇時々雪一時みぞれ後雨,秋田
2022/3/6,1.9,雪時々曇,秋田
2022/3/7,2.4,みぞれ時々曇一時雨,秋田
2022/3/8,3.0,曇一時雪後晴、みぞれを伴う,秋田
2022/3/9,1.8,雪一時みぞれ後曇時々晴,秋田
2022/3/10,0.0,×,秋田
2022/3/11,6.6,曇時々晴,秋田
2022/3/12,6.4,晴,秋田
2022/3/13,3.9,みぞれ時々曇一時雪後雨,秋田
2022/3/14,6.8,曇時々雨一時晴,秋田
2022/3/15,6.6,雨時々曇一時晴,秋田
2022/3/16,5.3,曇後一時晴,秋田
2022/3/17,4.6,曇時々雨、みぞれを伴う,秋田
2022/3/18,3.2,曇後一時雨、みぞれを伴う,秋田
2022/3/19,4.3,雨時々みぞれ後曇一時晴,秋田
2022/3/20,4.0,雨時々曇一時晴、みぞれを伴う,秋田
2022/3/21,4.0,曇一時晴,秋田
2022/3/22,2.9,曇後晴,秋田
2022/3/23,3.8,曇時々晴,秋田
2022/3/24,5.2,晴後雨時々曇、みぞれを伴う,秋田
2022/3/25,7.1,晴後時々曇,秋田
2022/3/26,9.2,曇時々雨,秋田
2022/3/27,8.3,曇一時雨後晴,秋田
2022/3/28,7.4,晴一時雨,秋田
2022/3/29,7.3,晴,秋田
2022/3/30,10.0,晴時々曇,秋田
2022/3/31,7.2,雨後曇時々晴,秋田
2022/4/1,5.0,曇時々晴,秋田
2022/4/2,4.7,晴後一時曇,秋田
2022/4/3,6.2,晴,秋田
2022/4/4,9.1,曇時々雨,秋田
2022/4/5,9.7,晴,秋田
2022/4/6,8.2,曇時々晴一時雨,秋田
2022/4/7,7.3,晴後曇時々雨,秋田
