年月日,平均気温,天気概況（昼）,都市
2022/1/1,-5.3,雪時々曇一時晴,青森
2022/1/2,0.6,曇後みぞれ時々晴、雷を伴う,青森
2022/1/3,-2.4,雪,青森
2022/1/4,-4.1,雪,青森
2022/1/5,-3.0,晴後曇一時雪,青森
2022/1/6,-1.0,雪後晴時々曇,青森
2022/1/7,-1.3,大雪,青森
2022/1/8,0.5,雪時々曇一時晴,青森
2022/1/9,0.9,みぞれ一時雨後雪,青森
2022/1/10,-0.7,雪時々曇後晴,青森
2022/1/11,0.1,曇後みぞれ時々雪一時雨,青森
2022/1/12,0.5,雪後みぞれ一時雨,青森
2022/1/13,-1.5,雪,青森
2022/1/14,-1.1,雪時々曇,青森
2022/1/15,0.3,雪時々曇,青森
2022/1/16,0.2,曇後雪時々みぞれ,青森
2022/1/17,-0.3,雪時々曇一時晴,青森
2022/1/18,-3.3,雪時々曇一時晴,青森
2022/1/19,-1.1,晴後雪時々曇,青森
2022/1/20,-1.1,雪時々曇,青森
2022/1/21,-0.8,晴後曇一時雪,青森
2022/1/22,-0.2,雪時々曇,青森
2022/1/23,0.5,曇後晴時々雪,青森
2022/1/24,0.1,曇時々雪一時晴,青森
2022/1/25,0.4,曇一時晴後一時雪,青森
2022/1/26,0.1,曇後一時雪一時みぞれ,青森
2022/1/27,-0.6,雪,青森
2022/1/28,-1.7,雪後一時雨一時曇,青森
2022/1/29,-2.7,雪,青森
2022/1/30,-4.5,雪,青森
2022/1/31,-4.5,雪時々曇,青森
2022/2/1,-2.4,曇時々雪,青森
2022/2/2,-1.3,雪,青森
2022/2/3,-2.2,雪時々曇,青森
2022/2/4,-3.0,雪時々曇,青森
2022/2/5,-4.0,雪時々曇,青森
2022/2/6,-3.7,雪時々曇,青森
2022/2/7,-3.0,雪時々曇,青森
2022/2/8,-1.9,雪時々曇,青森
2022/2/9,-0.2,雪時々晴後曇,青森
2022/2/10,0.0,曇時々晴,青森
2022/2/11,-1.5,晴一時曇,青森
2022/2/12,0.6,曇時々晴、みぞれを伴う,青森
2022/2/13,0.3,雪時々曇,青森
2022/2/14,-0.2,雪時々曇一時晴,青森
2022/2/15,0.0,曇一時晴後一時雪,青森
2022/2/16,0.5,曇時々晴一時雪、みぞれを伴う,青森
2022/2/17,-0.2,曇後晴時々雪、みぞれを伴う,青森
2022/2/18,-0.5,雪時々晴後曇,青森
2022/2/19,0.9,曇時々晴一時雪,青森
2022/2/20,0.5,曇時々雪一時みぞれ,青森
2022/2/21,-3.6,雪時々曇,青森
2022/2/22,-3.9,雪時々曇,青森
2022/2/23,-2.7,雪時々曇,青森
2022/2/24,-1.3,雪,青森
2022/2/25,1.0,雪時々曇,青森
2022/2/26,3.7,雨時々曇一時晴、みぞれを伴う,青森
2022/2/27,2.7,みぞれ時々曇一時雨,青森
2022/2/28,2.5,雪時々晴後曇、みぞれを伴う,青森
2022/3/1,1.7,雨時々曇、みぞれを伴う,青森
2022/3/2,2.0,曇後晴一時雪,青森
2022/3/3,1.6,雪一時雨後みぞれ時々曇,青森
2022/3/4,1.0,晴一時雪後曇,青森
2022/3/5,0.2,曇後雨時々みぞれ,青森
2022/3/6,0.8,雪一時曇後時々みぞれ、雷を伴う,青森
2022/3/7,2.5,曇時々晴一時雪後みぞれ,青森
2022/3/8,2.5,晴時々曇,青森
2022/3/9,1.8,晴,青森
2022/3/10,2.8,晴,青森
2022/3/11,5.0,曇時々晴,青森
2022/3/12,4.8,晴一時曇,青森
2022/3/13,2.7,雨時々曇、みぞれを伴う,青森
2022/3/14,4.1,曇一時雨後時々晴,青森
2022/3/15,5.4,雨時々曇、みぞれを伴う,青森
2022/3/16,4.7,曇時々雨一時晴,青森
2022/3/17,3.1,雨時々曇一時みぞれ,青森
2022/3/18,2.9,曇時々晴,青森
2022/3/19,1.9,みぞれ一時雪後時々雨,青森
2022/3/20,3.0,みぞれ時々曇一時雨,青森
2022/3/21,1.8,曇時々雪、みぞれを伴う,青森
2022/3/22,3.0,晴時々曇,青森
2022/3/23,5.0,晴後時々曇,青森
2022/3/24,0.0,曇時々晴後雨,青森
2022/3/25,6.4,曇時々晴一時雨,青森
2022/3/26,5.8,曇後時々雨,青森
2022/3/27,8.1,雨時々曇後晴,青森
2022/3/28,5.4,曇時々雨一時晴,青森
2022/3/29,6.2,晴,青森
2022/3/30,9.0,晴後時々曇,青森
2022/3/31,4.9,雨後曇時々晴,青森
2022/4/1,3.5,曇時々雪一時晴、みぞれを伴う,青森
2022/4/2,4.7,曇後晴,青森
2022/4/3,5.4,晴,青森
2022/4/4,6.2,曇時々晴,青森
2022/4/5,8.4,晴,青森
2022/4/6,8.4,曇一時晴後一時雨,青森
2022/4/7,4.2,晴後雨一時曇、みぞれを伴う,青森
2022/4/8,5.3,晴時々雨一時曇,青森
2022/4/9,11.6,晴,青森
2022/4/10,10.6,晴後曇一時雨,青森
2022/4/11,17.8,晴時々曇,青森
2022/4/12,17.5,晴,青森
2022/4/13,10.2,雨時々曇,青森
2022/4/14,7.3,雨時々曇一時晴,青森
2022/4/15,6.1,雨,青森
2022/4/16,7.7,晴一時曇,青森
2022/4/17,10.7,晴,青森
2022/4/18,12.2,曇時々晴,青森
2022/4/19,9.6,晴,青森
2022/4/20,9.6,晴,青森
2022/4/21,17.3,晴後一時曇,青森
2022/4/22,14.8,曇一時雨,青森
2022/4/23,12.5,曇後晴,青森
2022/4/24,10.7,晴,青森
2022/4/25,14.7,晴一時曇,青森
2022/4/26,12.5,曇後一時雨,青森
2022/4/27,12.8,晴一時雨,青森
2022/4/28,11.9,晴,青森
2022/4/29,7.6,雨時々曇,青森
2022/4/30,9.7,晴一時雨,青森
2022/5/1,10.1,曇時々雨,青森
2022/5/2,9.8,晴時々曇,青森
2022/5/3,10.9,晴一時雨後曇,青森
2022/5/4,14.3,晴後一時雨一時曇、大風を伴う,青森
2022/5/5,12.6,晴,青森
2022/5/6,15.0,晴,青森
2022/5/7,16.2,曇時々晴,青森
2022/5/8,12.5,晴一時曇,青森
2022/5/9,13.2,晴,青森
2022/5/10,14.7,晴,青森
2022/5/11,13.7,晴,青森
2022/5/12,15.7,曇時々晴,青森
