年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.6,晴時々曇、大風を伴う,銚子
2022/1/2,4.2,曇後晴、みぞれを伴う,銚子
2022/1/3,6.5,晴,銚子
2022/1/4,6.5,晴,銚子
2022/1/5,4.2,晴時々曇,銚子
2022/1/6,3.4,曇時々雪一時みぞれ後雨,銚子
2022/1/7,3.5,晴,銚子
2022/1/8,4.9,晴,銚子
2022/1/9,9.0,晴後時々曇,銚子
2022/1/10,9.8,曇時々雨,銚子
2022/1/11,9.4,雨時々曇一時晴、雷を伴う,銚子
2022/1/12,5.3,晴時々曇,銚子
2022/1/13,5.5,曇後晴一時雨,銚子
2022/1/14,3.7,晴時々曇、大風を伴う,銚子
2022/1/15,5.2,晴時々曇,銚子
2022/1/16,6.7,晴時々曇,銚子
2022/1/17,7.1,曇,銚子
2022/1/18,4.5,晴時々曇,銚子
2022/1/19,3.7,晴時々曇,銚子
2022/1/20,4.9,晴時々曇一時雨、雷を伴う,銚子
2022/1/21,2.6,晴後曇一時雪、みぞれを伴う,銚子
2022/1/22,3.8,晴時々曇,銚子
2022/1/23,7.2,曇一時晴,銚子
2022/1/24,7.0,曇後一時晴,銚子
2022/1/25,6.6,曇一時晴,銚子
2022/1/26,8.0,曇時々雨,銚子
2022/1/27,7.1,晴時々曇,銚子
2022/1/28,7.0,晴時々曇,銚子
2022/1/29,6.7,曇,銚子
2022/1/30,6.7,晴一時雨後曇、みぞれを伴う,銚子
2022/1/31,5.0,晴時々曇,銚子
2022/2/1,6.0,晴時々曇,銚子
2022/2/2,5.9,晴時々曇,銚子
2022/2/3,6.4,曇後晴,銚子
2022/2/4,6.5,曇後時々雨一時晴,銚子
2022/2/5,4.0,晴後一時曇、大風を伴う,銚子
2022/2/6,2.8,晴時々曇,銚子
2022/2/7,3.9,晴時々曇,銚子
2022/2/8,6.1,雨後曇一時晴,銚子
2022/2/9,6.9,晴時々曇,銚子
2022/2/10,6.7,雨、大風を伴う,銚子
