ダウンロードした時刻：2022/05/14 23:25:57

,東京,東京,東京,東京,東京,東京,東京,東京,東京
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時),最高気温(℃),最高気温(℃),最高気温(℃),最低気温(℃),最低気温(℃),最低気温(℃)
,,,,,,,,,
,,品質情報,均質番号,,品質情報,均質番号,,品質情報,均質番号
2022/4/8,快晴,8,1,21.7,8,1,9.7,8,1
2022/4/9,快晴,8,1,23.8,8,1,10.1,8,1
2022/4/10,快晴,8,1,26.8,8,1,13.0,8,1
2022/4/11,薄曇,8,1,24.7,8,1,13.8,8,1
2022/4/12,快晴,8,1,25.6,8,1,15.4,8,1
2022/4/13,薄曇,8,1,26.4,8,1,15.2,8,1
2022/4/14,雨,8,1,20.2,8,1,10.0,8,1
2022/4/15,雨,8,1,12.1,8,1,8.3,8,1
2022/4/16,曇時々晴一時雨,8,1,20.2,8,1,8.0,8,1
2022/4/17,曇,8,1,17.8,8,1,9.9,8,1
2022/4/18,曇時々雨,8,1,18.2,8,1,11.7,8,1
2022/4/19,曇時々晴,8,1,20.9,8,1,10.6,8,1
2022/4/20,曇時々雨,8,1,14.0,8,1,9.5,8,1
2022/4/21,薄曇,8,1,21.5,8,1,12.2,8,1
2022/4/22,晴時々曇,8,1,26.2,8,1,13.5,8,1
2022/4/23,曇時々晴,8,1,26.7,8,1,16.5,8,1
2022/4/24,曇後雨,8,1,20.3,8,1,14.1,8,1
2022/4/25,晴,8,1,26.6,8,1,13.0,8,1
2022/4/26,曇一時雨,8,1,23.6,8,1,17.9,8,1
2022/4/27,曇一時雨,8,1,27.7,8,1,18.9,8,1
2022/4/28,曇後晴,8,1,21.1,8,1,14.2,8,1
2022/4/29,雨一時曇,8,1,16.4,8,1,9.0,8,1
2022/4/30,晴,8,1,18.4,8,1,7.4,8,1
2022/5/1,曇後雨,8,1,16.8,8,1,10.8,8,1
2022/5/2,曇一時晴,8,1,19.4,8,1,9.5,8,1
2022/5/3,快晴,8,1,20.4,8,1,9.3,8,1
2022/5/4,快晴,8,1,25.0,8,1,10.8,8,1
2022/5/5,薄曇時々晴,8,1,26.3,8,1,13.6,8,1
2022/5/6,薄曇,8,1,24.5,8,1,15.2,8,1
2022/5/7,曇時々雨後一時晴,8,1,22.8,8,1,15.4,8,1
2022/5/8,曇時々晴,8,1,22.5,8,1,16.2,8,1
