年月日,平均気温,天気概況（昼）,都市
2022/1/1,-8.4,-18.8,雪ときどき曇り,旭川
2022/1/2,-2.4,-19.8,曇りときどき雪,旭川
2022/1/3,-5.9,-10.6,雪,旭川
2022/1/4,-6.3,-10.3,雪,旭川
2022/1/5,-3.7,-12.6,雪のち曇り,旭川
2022/1/6,-4.3,-13.9,曇り,旭川
2022/1/7,-7.8,-18.6,雪のち曇り,旭川
2022/1/8,-2.5,-18.6,雪ときどき曇り,旭川
2022/1/9,-2.2,-15.9,雪のち曇り,旭川
2022/1/10,-6.6,-17.6,雪ときどき曇り,旭川
2022/1/11,-3.5,-15.9,曇り,旭川
2022/1/12,1.0,-3.7,雪,旭川
2022/1/13,0.7,-2.5,雪ときどき曇り,旭川
2022/1/14,0.8,-1.5,雪ときどき曇り,旭川
2022/1/15,1.4,-3.3,雪のち曇り,旭川
2022/1/16,-2.3,-7.8,曇り,旭川
2022/1/17,1.2,-4.0,雪ときどき曇り,旭川
2022/1/18,-2.0,-6.6,雪ときどき曇り,旭川
2022/1/19,-1.4,-15.8,晴れときどき曇り,旭川
2022/1/20,-5.3,-17.5,晴れ,旭川
2022/1/21,-3.0,-11.3,曇りときどき晴れ,旭川
2022/1/22,-1.9,-13.0,曇りときどき晴れ,旭川
2022/1/23,-4.1,-14.7,雪のち曇り,旭川
2022/1/24,-1.9,-11.4,雪のち曇り,旭川
2022/1/25,-3.7,-13.4,晴れのち曇り,旭川
2022/1/26,-1.0,-8.1,曇り,旭川
2022/1/27,-1.8,-14.9,雪ときどき曇り,旭川
2022/1/28,-6.1,-16.2,雪ときどき曇り,旭川
2022/1/29,-4.1,-9.4,曇りときどき雪,旭川
2022/1/30,-7.1,-10.2,雪ときどき曇り,旭川
2022/1/31,-6.8,-15.6,雪ときどき曇り,旭川
2022/2/1,-2.7,-14.2,雪ときどき曇り,旭川
2022/2/2,-2.5,-9.3,曇りときどき晴れ,旭川
2022/2/3,-1.8,-9.5,曇りときどき雪,旭川
2022/2/4,-2.6,-11.6,雪,旭川
2022/2/5,-3.4,-14.2,晴れときどき雪,旭川
2022/2/6,-3.7,-13.4,雪ときどき晴れ,旭川
2022/2/7,-0.6,-12.8,雪ときどき晴れ,旭川
2022/2/8,-0.3,-8.0,曇り,旭川
2022/2/9,-1.9,-10.8,雪ときどき曇り,旭川
2022/2/10,-1.1,-13.3,晴れときどき曇り,旭川
2022/2/11,-2.5,-18.7,晴れ,旭川
2022/2/12,-2.9,-15.3,曇りときどき晴れ,旭川
2022/2/13,-0.7,-12.1,雪ときどき曇り,旭川
2022/2/14,-0.1,-9.9,曇り,旭川
2022/2/15,-3.7,-16.4,曇り,旭川
2022/2/16,-1.9,-9.7,曇りときどき雪,旭川
2022/2/17,-2.0,-9.5,雪ときどき曇り,旭川
2022/2/18,-2.3,-14.9,曇りときどき晴れ,旭川
2022/2/19,-0.1,-12.0,曇りときどき晴れ,旭川
2022/2/20,-0.4,-5.0,雪ときどき曇り,旭川
2022/2/21,-1.6,-5.0,曇りときどき雪,旭川
2022/2/22,-1.8,-7.4,曇り,旭川
2022/2/23,-2.1,-10.5,雪ときどき曇り,旭川
2022/2/24,-0.9,-7.5,雪ときどき曇り,旭川
2022/2/25,0.4,-4.9,雪ときどき曇り,旭川
2022/2/26,6.7,-1.8,曇りのち晴れ,旭川
2022/2/27,3.0,-3.3,曇りのち雪,旭川
2022/2/28,0.2,-4.1,雪ときどき曇り,旭川
2022/3/1,0.9,-7.1,雪,旭川
2022/3/2,1.5,-11.2,雪のち曇り,旭川
2022/3/3,-0.2,-6.8,雪ときどき曇り,旭川
