年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.4,曇時々晴,岐阜
2022/1/2,2.1,晴時々曇一時雨、みぞれを伴う,岐阜
2022/1/3,3.0,曇時々晴一時雨,岐阜
2022/1/4,4.4,雨後晴時々曇,岐阜
2022/1/5,3.8,晴時々曇,岐阜
2022/1/6,3.5,曇後時々晴,岐阜
2022/1/7,4.1,晴一時曇,岐阜
2022/1/8,4.2,晴,岐阜
2022/1/9,5.5,曇時々晴,岐阜
2022/1/10,8.2,晴,岐阜
2022/1/11,5.5,雨時々曇,岐阜
2022/1/12,2.8,曇時々晴一時雪、みぞれを伴う,岐阜
2022/1/13,2.5,曇後雪時々みぞれ一時晴,岐阜
2022/1/14,1.8,曇一時雪後晴、みぞれを伴う,岐阜
2022/1/15,3.2,曇一時晴,岐阜
2022/1/16,4.2,晴時々曇,岐阜
2022/1/17,4.8,曇時々雨,岐阜
2022/1/18,2.4,晴時々雪後曇、みぞれを伴う,岐阜
2022/1/19,2.3,晴後曇一時雨,岐阜
2022/1/20,2.7,晴時々雪一時曇、みぞれを伴う,岐阜
2022/1/21,2.2,晴,岐阜
2022/1/22,3.0,晴後一時曇,岐阜
2022/1/23,1.7,曇後みぞれ一時雪,岐阜
2022/1/24,5.5,曇後晴,岐阜
2022/1/25,5.0,曇時々晴,岐阜
2022/1/26,6.3,曇後晴一時雨,岐阜
2022/1/27,7.0,晴一時曇,岐阜
2022/1/28,5.7,晴時々曇,岐阜
2022/1/29,4.9,曇後時々雨,岐阜
2022/1/30,4.9,曇時々晴,岐阜
2022/1/31,4.3,晴一時曇,岐阜
2022/2/1,3.9,曇時々晴一時雨,岐阜
2022/2/2,4.1,晴後雨時々曇,岐阜
2022/2/3,3.9,曇後雨時々晴,岐阜
2022/2/4,4.5,晴時々曇一時雪後時々雨,岐阜
2022/2/5,0.5,雪時々曇一時晴、みぞれを伴う,岐阜
2022/2/6,0.6,曇時々雪一時晴、みぞれを伴う,岐阜
2022/2/7,1.9,晴一時曇,岐阜
2022/2/8,4.6,曇時々晴,岐阜
2022/2/9,5.1,晴時々曇,岐阜
2022/2/10,3.7,みぞれ時々雨一時雪後曇,岐阜
2022/2/11,5.6,晴,岐阜
2022/2/12,5.6,晴一時曇,岐阜
2022/2/13,4.4,曇後時々雨,岐阜
2022/2/14,6.7,曇後晴,岐阜
2022/2/15,6.9,曇時々晴一時雨,岐阜
2022/2/16,3.5,晴後曇一時雪,岐阜
