年月日,平均気温,天気概況（昼）,都市
2022/1/1,-6.6,晴一時曇後一時雪,函館
2022/1/2,-1.2,曇時々晴一時雪後みぞれ,函館
2022/1/3,-5.4,雪時々曇一時晴,函館
2022/1/4,-6.3,晴時々曇一時雪,函館
2022/1/5,-4.5,晴時々雪一時曇,函館
2022/1/6,-3.2,晴一時曇後一時雪,函館
2022/1/7,-2.0,曇後雪時々晴,函館
2022/1/8,-1.2,雪後一時みぞれ,函館
2022/1/9,-0.4,曇後雪一時晴,函館
2022/1/10,-3.2,晴後一時曇,函館
2022/1/11,1.9,曇一時晴後雨,函館
2022/1/12,1.2,晴後曇一時雪、みぞれを伴う,函館
2022/1/13,-1.4,雪時々曇一時晴,函館
2022/1/14,-1.0,晴後一時曇,函館
2022/1/15,1.0,曇時々晴,函館
2022/1/16,0.0,曇後みぞれ一時雪,函館
2022/1/17,-0.6,晴後雪時々曇、みぞれを伴う,函館
2022/1/18,-2.1,晴時々曇,函館
2022/1/19,-1.5,晴後一時曇,函館
2022/1/20,-2.1,曇一時雪,函館
2022/1/21,-3.4,晴時々曇一時雪,函館
2022/1/22,-2.0,晴時々曇,函館
2022/1/23,-0.7,曇時々晴,函館
2022/1/24,-1.2,晴後曇一時雪,函館
2022/1/25,-1.2,曇一時晴,函館
2022/1/26,0.3,曇後一時雪一時みぞれ,函館
2022/1/27,-1.5,雪時々晴一時曇,函館
2022/1/28,-3.6,雪時々曇一時晴,函館
2022/1/29,-4.9,雪時々曇,函館
2022/1/30,-7.1,雪時々曇,函館
2022/1/31,-7.7,雪後曇時々晴,函館
2022/2/1,-5.2,曇時々晴後雪,函館
2022/2/2,-2.4,曇一時雪後晴,函館
2022/2/3,-3.7,雪時々曇後晴,函館
2022/2/4,-4.9,雪時々曇,函館
2022/2/5,-5.7,雪時々曇一時晴,函館
2022/2/6,-5.5,晴後時々雪一時曇,函館
2022/2/7,-4.7,晴後雪時々曇,函館
2022/2/8,-3.3,雪時々曇一時晴,函館
2022/2/9,-2.6,晴一時雪後曇,函館
2022/2/10,-2.6,晴時々曇,函館
2022/2/11,-2.7,晴,函館
2022/2/12,-0.3,晴後曇一時雪、みぞれを伴う,函館
2022/2/13,-1.3,曇一時晴後雪,函館
2022/2/14,-1.1,晴後一時曇,函館
2022/2/15,-1.1,曇時々雪,函館
2022/2/16,0.4,曇時々雪,函館
2022/2/17,0.1,雪後曇時々晴,函館
2022/2/18,0.0,晴時々雪一時曇,函館
2022/2/19,-0.6,曇後雪時々晴,函館
2022/2/20,-0.4,曇時々晴後雪,函館
2022/2/21,-4.0,雪,函館
2022/2/22,-3.5,雪時々曇一時晴,函館
2022/2/23,-2.4,晴後曇時々雪,函館
2022/2/24,-2.1,雪時々曇,函館
2022/2/25,0.8,曇時々雪,函館
2022/2/26,4.9,晴後曇時々雨、みぞれを伴う,函館
2022/2/27,2.1,みぞれ後曇時々晴一時雪,函館
2022/2/28,0.4,雪後曇時々晴,函館
2022/3/1,0.8,曇一時晴後雨時々みぞれ,函館
2022/3/2,0.1,曇時々雪一時晴、みぞれを伴う,函館
2022/3/3,0.1,みぞれ一時雪後曇時々晴,函館
2022/3/4,0.2,晴時々曇,函館
2022/3/5,1.2,曇後みぞれ時々雨,函館
2022/3/6,0.4,雪後曇一時晴、みぞれを伴う,函館
2022/3/7,2.3,曇後晴一時雪、みぞれを伴う,函館
2022/3/8,1.5,雪後曇時々晴、みぞれを伴う,函館
2022/3/9,1.1,晴,函館
2022/3/10,2.7,晴,函館
2022/3/11,5.6,曇後一時雨,函館
2022/3/12,4.2,晴時々曇,函館
2022/3/13,2.7,曇後一時雨、みぞれを伴う,函館
2022/3/14,3.4,曇一時みぞれ,函館
2022/3/15,1.8,みぞれ後一時雨一時曇,函館
2022/3/16,3.1,曇一時晴後一時雨,函館
2022/3/17,2.6,晴後みぞれ時々曇一時雨,函館
2022/3/18,1.7,晴後時々曇,函館
2022/3/19,1.8,曇一時雪,函館
2022/3/20,2.7,曇時々雪一時晴、みぞれを伴う,函館
2022/3/21,0.9,雪後曇時々晴、みぞれを伴う,函館
2022/3/22,3.2,晴後一時曇,函館
2022/3/23,4.3,曇時々晴,函館
2022/3/24,5.0,晴後曇一時雨,函館
2022/3/25,6.0,晴時々曇,函館
2022/3/26,7.5,曇後時々雨,函館
2022/3/27,7.8,晴一時雨,函館
2022/3/28,5.1,晴時々雨一時曇,函館
2022/3/29,5.5,晴,函館
2022/3/30,6.5,曇時々晴,函館
2022/3/31,4.2,晴時々曇一時雨,函館
2022/4/1,1.9,晴時々雪,函館
2022/4/2,4.6,曇一時雪後晴,函館
2022/4/3,6.1,晴,函館
2022/4/4,6.4,晴,函館
2022/4/5,8.7,晴,函館
2022/4/6,7.7,曇一時雨後時々晴,函館
2022/4/7,3.6,晴後時々曇,函館
