年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.9,雪時々みぞれ一時曇,彦根
2022/1/2,2.4,晴時々曇,彦根
2022/1/3,4.0,曇一時雨後晴,彦根
2022/1/4,3.8,雨一時みぞれ、雷を伴う,彦根
2022/1/5,3.0,曇時々晴,彦根
2022/1/6,2.2,曇後時々晴,彦根
2022/1/7,3.9,曇時々みぞれ一時雪,彦根
2022/1/8,3.5,晴一時曇,彦根
2022/1/9,3.3,曇時々晴,彦根
2022/1/10,5.3,晴,彦根
2022/1/11,4.1,雨時々曇,彦根
2022/1/12,2.8,雪後みぞれ時々曇一時雨,彦根
2022/1/13,2.9,曇時々晴,彦根
2022/1/14,2.3,雪後みぞれ時々曇一時雨,彦根
2022/1/15,4.1,曇,彦根
2022/1/16,3.6,曇時々晴,彦根
2022/1/17,4.6,曇時々雨,彦根
2022/1/18,1.6,みぞれ後雪一時雨,彦根
2022/1/19,1.2,雪時々みぞれ後曇一時雨,彦根
2022/1/20,1.3,みぞれ時々曇一時雪、雷を伴う,彦根
2022/1/21,1.7,雪後曇時々晴、みぞれを伴う,彦根
2022/1/22,3.5,曇,彦根
2022/1/23,1.6,曇後時々雨,彦根
2022/1/24,5.1,晴時々曇,彦根
2022/1/25,4.1,晴時々曇,彦根
2022/1/26,4.6,曇後晴時々雨,彦根
2022/1/27,6.2,曇時々晴,彦根
2022/1/28,3.8,曇一時雪後時々晴、みぞれを伴う,彦根
2022/1/29,4.4,曇一時雪,彦根
2022/1/30,4.8,曇時々晴一時雨,彦根
2022/1/31,3.0,晴一時曇,彦根
2022/2/1,4.8,曇時々晴一時雨,彦根
2022/2/2,3.4,みぞれ時々雨後曇一時晴,彦根
2022/2/3,3.7,曇時々晴後雨,彦根
2022/2/4,4.0,雨後晴時々曇、みぞれを伴う,彦根
2022/2/5,1.1,大雪時々曇,彦根
2022/2/6,0.6,雪時々曇、雷を伴う,彦根
2022/2/7,1.6,雪後曇時々晴、みぞれを伴う,彦根
2022/2/8,3.3,曇時々晴,彦根
2022/2/9,3.5,晴,彦根
2022/2/10,4.7,曇後一時雨一時晴,彦根
2022/2/11,5.9,晴,彦根
2022/2/12,4.0,晴後一時曇,彦根
2022/2/13,3.1,雨時々曇,彦根
2022/2/14,5.4,曇後時々晴,彦根
2022/2/15,5.2,曇後一時雨,彦根
2022/2/16,3.6,曇時々晴一時雪、みぞれを伴う,彦根
2022/2/17,0.0,雪時々曇一時晴,彦根
2022/2/18,1.6,雪一時みぞれ後曇時々晴,彦根
2022/2/19,2.3,曇後時々雨,彦根
2022/2/20,3.6,雨時々曇一時晴、みぞれを伴う,彦根
2022/2/21,0.7,大雪後時々みぞれ,彦根
2022/2/22,1.6,曇一時晴後みぞれ時々雨,彦根
2022/2/23,1.1,曇後みぞれ時々雪一時雨,彦根
2022/2/24,1.7,雪後みぞれ時々曇一時晴,彦根
2022/2/25,3.6,曇時々晴一時雪,彦根
2022/2/26,5.8,晴,彦根
2022/2/27,5.8,雨時々曇一時晴,彦根
2022/2/28,0.0,晴,彦根
2022/3/1,4.5,雨時々曇,彦根
2022/3/2,6.5,曇時々雨一時晴,彦根
2022/3/3,6.3,晴後曇時々雨,彦根
2022/3/4,6.4,晴後時々曇,彦根
2022/3/5,7.1,晴後一時雨,彦根
2022/3/6,4.1,雨時々みぞれ一時曇,彦根
2022/3/7,5.1,曇一時雨、みぞれを伴う,彦根
2022/3/8,4.6,晴,彦根
2022/3/9,4.8,曇時々晴,彦根
2022/3/10,6.3,晴時々曇,彦根
2022/3/11,7.9,晴,彦根
2022/3/12,11.7,晴一時雨,彦根
2022/3/13,13.4,曇一時晴,彦根
2022/3/14,12.9,曇一時雨後晴,彦根
2022/3/15,11.3,曇後晴,彦根
2022/3/16,10.1,晴,彦根
2022/3/17,9.6,曇時々晴,彦根
2022/3/18,9.1,雨,彦根
2022/3/19,8.2,曇後雨時々晴,彦根
2022/3/20,7.6,晴時々曇一時雨,彦根
2022/3/21,8.0,曇時々晴,彦根
2022/3/22,6.7,雨後一時曇一時晴,彦根
2022/3/23,6.2,曇一時晴後一時雨,彦根
2022/3/24,8.9,晴時々曇,彦根
2022/3/25,10.6,曇時々晴,彦根
2022/3/26,14.9,雨時々曇,彦根
2022/3/27,11.2,曇一時雨後晴,彦根
2022/3/28,9.2,晴時々曇,彦根
2022/3/29,9.3,曇,彦根
