年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.7,晴,広島
2022/1/2,5.1,晴,広島
2022/1/3,5.6,晴,広島
2022/1/4,5.8,晴時々曇,広島
2022/1/5,6.5,曇時々晴,広島
2022/1/6,6.6,晴時々曇,広島
2022/1/7,6.8,晴,広島
2022/1/8,5.5,快晴,広島
2022/1/9,7.3,薄曇,広島
2022/1/10,7.4,晴,広島
2022/1/11,4.9,曇時々雨一時みぞれ,広島
2022/1/12,3.5,晴時々曇,広島
2022/1/13,2.5,曇時々雪,広島
2022/1/14,2.8,晴一時雪,広島
2022/1/15,3.9,曇一時晴,広島
2022/1/16,4.9,曇時々晴,広島
2022/1/17,5.6,晴一時薄曇,広島
2022/1/18,3.8,曇,広島
2022/1/19,3.9,晴一時曇,広島
2022/1/20,3.7,曇時々晴一時みぞれ、あられを伴う,広島
2022/1/21,3.9,曇一時雪、あられを伴う,広島
2022/1/22,4.3,晴,広島
2022/1/23,4.4,雨,広島
2022/1/24,6.8,曇後晴,広島
2022/1/25,6.4,曇一時晴,広島
2022/1/26,6.7,晴時々曇一時みぞれ,広島
2022/1/27,7.1,晴,広島
2022/1/28,6.8,晴,広島
2022/1/29,6.2,薄曇,広島
2022/1/30,5.6,曇後一時晴,広島
2022/1/31,5.5,晴,広島
2022/2/1,4.1,晴後曇一時雨,広島
2022/2/2,4.8,薄曇時々晴,広島
2022/2/3,5.9,薄曇時々晴,広島
2022/2/4,4.5,晴一時薄曇,広島
2022/2/5,2.4,晴時々雪後一時曇,広島
2022/2/6,2.6,晴時々雪,広島
2022/2/7,3.9,晴後曇,広島
2022/2/8,5.8,曇一時晴,広島
2022/2/9,6.7,晴一時曇,広島
2022/2/10,7.1,曇時々雨,広島
2022/2/11,6.6,晴一時曇,広島
2022/2/12,7.7,薄曇後晴,広島
2022/2/13,5.7,雨,広島
2022/2/14,7.7,曇後晴,広島
2022/2/15,6.9,晴時々曇,広島
2022/2/16,3.4,晴一時雪,広島
2022/2/17,0.4,晴時々雪,広島
2022/2/18,3.7,薄曇,広島
2022/2/19,2.7,雨時々雪一時曇、みぞれを伴う,広島
2022/2/20,2.9,晴時々雪、みぞれを伴う,広島
2022/2/21,2.2,晴一時雪,広島
2022/2/22,2.2,晴,広島
2022/2/23,2.8,薄曇一時晴,広島
2022/2/24,2.7,晴時々曇一時雪,広島
2022/2/25,4.3,晴,広島
2022/2/26,6.4,快晴,広島
2022/2/27,9.7,晴,広島
2022/2/28,7.9,晴後時々薄曇,広島
2022/3/1,7.6,雨一時曇,広島
2022/3/2,10.1,晴時々曇,広島
2022/3/3,7.9,晴,広島
2022/3/4,7.0,曇,広島
2022/3/5,9.8,晴,広島
2022/3/6,7.6,晴,広島
2022/3/7,5.8,薄曇,広島
2022/3/8,7.4,晴,広島
2022/3/9,8.8,晴時々薄曇,広島
2022/3/10,10.4,晴後薄曇,広島
2022/3/11,11.7,薄曇後晴,広島
2022/3/12,15.1,曇後時々晴,広島
2022/3/13,15.7,曇,広島
2022/3/14,18.0,晴後一時薄曇,広島
2022/3/15,17.1,快晴,広島
2022/3/16,15.6,快晴,広島
2022/3/17,15.5,薄曇,広島
2022/3/18,11.3,大雨後一時曇,広島
2022/3/19,10.1,曇時々雨,広島
2022/3/20,9.1,晴時々曇,広島
2022/3/21,10.9,曇一時晴,広島
2022/3/22,10.0,曇時々晴一時雨,広島
2022/3/23,7.6,曇後雨,広島
2022/3/24,9.7,晴一時曇,広島
2022/3/25,13.0,晴後薄曇,広島
2022/3/26,14.4,大雨,広島
2022/3/27,14.9,晴,広島
2022/3/28,12.5,曇,広島
2022/3/29,12.2,曇後一時晴,広島
2022/3/30,14.9,曇,広島
2022/3/31,15.1,曇一時雨,広島
2022/4/1,10.9,晴後薄曇,広島
2022/4/2,9.0,薄曇,広島
2022/4/3,11.4,快晴,広島
2022/4/4,13.1,快晴,広島
2022/4/5,12.8,晴後薄曇,広島
2022/4/6,15.5,晴一時薄曇,広島
2022/4/7,15.7,晴時々薄曇,広島
2022/4/8,15.9,快晴,広島
2022/4/9,17.0,快晴,広島
2022/4/10,18.1,晴後時々薄曇,広島
2022/4/11,18.7,曇,広島
2022/4/12,20.3,曇後一時晴,広島
2022/4/13,20.3,曇,広島
2022/4/14,16.7,大雨,広島
2022/4/15,15.2,曇,広島
2022/4/16,14.1,晴,広島
2022/4/17,14.4,快晴,広島
2022/4/18,15.5,曇,広島
2022/4/19,17.0,薄曇後晴,広島
2022/4/20,17.4,快晴,広島
2022/4/21,14.7,雨時々曇,広島
2022/4/22,17.6,晴一時曇,広島
2022/4/23,18.0,曇,広島
2022/4/24,18.0,雨後曇,広島
2022/4/25,19.8,曇一時晴,広島
2022/4/26,20.0,雨,広島
2022/4/27,22.5,曇,広島
2022/4/28,20.3,晴一時薄曇,広島
2022/4/29,15.4,大雨後曇,広島
2022/4/30,15.2,晴,広島
2022/5/1,15.9,曇後一時晴,広島
2022/5/2,14.7,薄曇後晴,広島
2022/5/3,15.6,快晴,広島
2022/5/4,17.4,快晴,広島
2022/5/5,19.1,晴後時々曇,広島
2022/5/6,20.3,晴後曇,広島
2022/5/7,21.6,晴一時曇,広島
2022/5/8,20.0,晴,広島
2022/5/9,19.2,曇,広島
2022/5/10,18.6,曇一時晴,広島
2022/5/11,19.3,曇時々雨,広島
2022/5/12,20.0,雨,広島
2022/5/13,19.7,雨,広島
2022/5/14,20.7,曇後晴,広島
2022/5/15,17.2,曇,広島
2022/5/16,18.1,曇,広島
2022/5/17,19.1,晴一時曇,広島
2022/5/18,20.2,快晴,広島
2022/5/19,20.2,薄曇一時晴,広島
2022/5/20,19.4,曇,広島
2022/5/21,20.1,曇一時晴,広島
2022/5/22,20.5,快晴,広島
2022/5/23,22.8,薄曇一時晴,広島
2022/5/24,23.1,快晴,広島
2022/5/25,23.4,晴,広島
2022/5/26,21.6,曇時々雨,広島
2022/5/27,23.4,晴,広島
2022/5/28,22.6,薄曇,広島
2022/5/29,23.6,晴一時薄曇,広島
2022/5/30,19.6,雨,広島
2022/5/31,22.4,晴時々曇,広島
2022/6/1,21.1,曇一時晴,広島
2022/6/2,22.6,快晴,広島
2022/6/3,23.3,晴,広島
2022/6/4,23.8,晴後薄曇,広島
2022/6/5,19.5,雨時々曇,広島
2022/6/6,0.0,,広島
2022/6/7,0.0,,広島
2022/6/8,0.0,,広島
2022/6/9,0.0,,広島
2022/6/10,0.0,,広島
2022/6/11,0.0,,広島
2022/6/12,0.0,,広島
2022/6/13,0.0,,広島
2022/6/14,0.0,,広島
2022/6/15,0.0,,広島
2022/6/16,0.0,,広島
2022/6/17,0.0,,広島
2022/6/18,0.0,,広島
2022/6/19,0.0,,広島
2022/6/20,0.0,,広島
2022/6/21,0.0,,広島
2022/6/22,0.0,,広島
2022/6/23,0.0,,広島
2022/6/24,0.0,,広島
2022/6/25,0.0,,広島
2022/6/26,0.0,,広島
2022/6/27,0.0,,広島
2022/6/28,0.0,,広島
2022/6/29,0.0,,広島
2022/6/30,0.0,,広島
