年月日,平均気温,天気概況（昼）,都市
2022/1/1,0.6,雪時々曇,福井
2022/1/2,1.9,曇後晴時々雨、雷を伴う,福井
2022/1/3,3.0,曇時々晴後雨、みぞれを伴う,福井
2022/1/4,4.0,雨時々曇後みぞれ、雷を伴う,福井
2022/1/5,1.7,曇時々雪、みぞれを伴う,福井
2022/1/6,2.1,晴時々曇,福井
2022/1/7,3.4,雪後曇時々みぞれ,福井
2022/1/8,4.1,晴時々曇,福井
2022/1/9,4.1,雨一時みぞれ後曇、雷を伴う,福井
2022/1/10,4.4,霧後晴一時曇,福井
2022/1/11,4.6,雨、雷を伴う,福井
2022/1/12,1.9,雪時々みぞれ一時曇,福井
2022/1/13,1.4,みぞれ時々雪、雷を伴う,福井
2022/1/14,1.3,雪時々みぞれ一時曇、雷を伴う,福井
2022/1/15,1.5,曇一時雪,福井
2022/1/16,2.2,曇一時みぞれ後雨、雷を伴う,福井
2022/1/17,2.5,雨後みぞれ一時曇,福井
2022/1/18,0.9,雪時々曇、雷を伴う,福井
2022/1/19,0.8,雪時々曇後みぞれ,福井
2022/1/20,1.1,みぞれ後雪一時曇、雷を伴う,福井
2022/1/21,0.6,雪時々曇,福井
2022/1/22,1.0,曇,福井
2022/1/23,1.0,曇後時々みぞれ,福井
2022/1/24,3.9,曇時々晴,福井
2022/1/25,1.7,曇時々晴,福井
2022/1/26,2.8,曇後時々雨、みぞれを伴う,福井
2022/1/27,3.6,曇時々晴一時みぞれ,福井
2022/1/28,2.8,晴時々雪後曇一時みぞれ,福井
2022/1/29,3.8,曇時々みぞれ一時雨,福井
2022/1/30,3.0,曇時々晴,福井
2022/1/31,2.0,曇時々晴、みぞれを伴う,福井
2022/2/1,3.6,曇時々晴一時雪後雨,福井
2022/2/2,3.0,みぞれ時々雨一時曇、雷を伴う,福井
2022/2/3,2.9,曇一時みぞれ後雨,福井
2022/2/4,2.8,みぞれ時々曇後雨,福井
2022/2/5,0.7,雪時々曇、みぞれを伴う,福井
2022/2/6,0.3,雪時々曇、雷を伴う,福井
2022/2/7,1.1,晴時々雪後曇、霧を伴う,福井
2022/2/8,2.6,曇一時雪、みぞれを伴う,福井
2022/2/9,2.4,霧後晴一時曇,福井
2022/2/10,3.1,曇後一時晴,福井
2022/2/11,3.2,晴一時曇,福井
2022/2/12,3.2,曇時々晴一時雨,福井
2022/2/13,3.3,曇後時々雨,福井
2022/2/14,5.5,晴時々曇,福井
2022/2/15,4.9,雨時々曇、雷を伴う,福井
2022/2/16,1.5,雪時々みぞれ、雷を伴う,福井
2022/2/17,0.6,雪時々曇、雷を伴う,福井
2022/2/18,2.7,曇時々晴一時雪,福井
2022/2/19,2.0,曇後時々雨、みぞれを伴う,福井
2022/2/20,2.3,みぞれ一時雨後時々雪、雷を伴う,福井
2022/2/21,1.1,雪時々曇一時みぞれ,福井
2022/2/22,0.9,雪時々みぞれ一時曇,福井
2022/2/23,0.3,雪後時々曇、みぞれを伴う,福井
2022/2/24,0.8,雪時々曇一時みぞれ,福井
2022/2/25,2.6,雪時々みぞれ後曇一時雨,福井
2022/2/26,5.3,晴時々曇、みぞれを伴う,福井
2022/2/27,5.2,曇時々雨、みぞれを伴う,福井
2022/2/28,5.2,曇一時雨、みぞれを伴う,福井
2022/3/1,4.4,雨時々曇,福井
2022/3/2,5.1,霧一時雨後曇,福井
2022/3/3,5.7,雨時々曇一時晴,福井
2022/3/4,5.2,晴後時々曇,福井
2022/3/5,7.5,曇時々晴後雨,福井
2022/3/6,3.9,みぞれ時々曇一時雨、雷を伴う,福井
2022/3/7,4.3,曇時々みぞれ一時雨,福井
2022/3/8,3.8,晴,福井
2022/3/9,5.3,晴一時曇,福井
2022/3/10,6.6,曇時々晴,福井
2022/3/11,10.2,晴,福井
2022/3/12,12.0,晴一時曇,福井
2022/3/13,14.5,曇,福井
2022/3/14,12.7,雨後曇時々晴,福井
2022/3/15,11.7,曇時々雨一時晴,福井
2022/3/16,10.8,晴,福井
2022/3/17,8.5,曇一時晴,福井
2022/3/18,7.2,雨一時曇,福井
2022/3/19,7.0,雨時々曇,福井
2022/3/20,7.1,雨後曇時々晴,福井
2022/3/21,6.9,曇一時雨後晴,福井
2022/3/22,6.2,雨後曇時々晴,福井
2022/3/23,5.6,曇後一時雨、霧を伴う,福井
2022/3/24,8.2,曇時々晴,福井
2022/3/25,12.2,晴後時々曇,福井
2022/3/26,16.4,雨,福井
2022/3/27,11.6,曇一時雨後晴,福井
2022/3/28,9.3,晴時々曇,福井
2022/3/29,10.7,曇,福井
2022/3/30,15.6,晴後一時曇,福井
2022/3/31,10.7,雨時々曇,福井
2022/4/1,7.9,晴時々曇,福井
2022/4/2,6.6,晴,福井
2022/4/3,9.3,晴後曇一時雨,福井
2022/4/4,10.3,晴時々曇,福井
2022/4/5,11.7,晴時々曇,福井
2022/4/6,13.7,晴,福井
2022/4/7,14.1,晴後曇一時雨,福井
2022/4/8,11.8,晴,福井
2022/4/9,16.2,晴,福井
2022/4/10,18.4,晴,福井
2022/4/11,19.7,曇時々晴,福井
2022/4/12,20.8,晴,福井
2022/4/13,18.8,曇時々晴,福井
2022/4/14,14.2,雨時々曇,福井
2022/4/15,12.3,曇時々雨,福井
2022/4/16,10.6,雨後曇時々晴,福井
2022/4/17,11.0,晴,福井
2022/4/18,13.3,曇一時晴,福井
2022/4/19,12.6,晴,福井
2022/4/20,16.1,晴,福井
2022/4/21,16.4,曇後時々雨,福井
2022/4/22,17.2,曇一時雨後晴,福井
2022/4/23,15.8,曇,福井
2022/4/24,17.7,曇,福井
2022/4/25,20.1,晴,福井
2022/4/26,21.3,雨時々曇,福井
2022/4/27,16.1,曇一時雨,福井
2022/4/28,14.3,晴、霧を伴う,福井
2022/4/29,11.5,雨時々曇,福井
2022/4/30,12.6,晴,福井
2022/5/1,11.9,雨後時々曇,福井
2022/5/2,12.1,曇時々晴一時雨,福井
2022/5/3,12.4,晴,福井
2022/5/4,17.2,晴,福井
2022/5/5,19.7,晴,福井
2022/5/6,20.6,晴一時曇,福井
2022/5/7,19.7,晴後時々曇,福井
2022/5/8,15.0,晴後時々曇,福井
2022/5/9,12.4,曇時々雨,福井
2022/5/10,15.4,晴後曇,福井
2022/5/11,19.2,曇時々雨,福井
2022/5/12,21.3,曇後雨,福井
2022/5/13,19.8,雨時々曇,福井
2022/5/14,16.8,雨後曇時々晴,福井
2022/5/15,14.8,曇,福井
2022/5/16,15.7,曇後一時晴,福井
2022/5/17,16.6,曇,福井
2022/5/18,18.4,晴,福井
2022/5/19,20.3,晴後時々曇,福井
2022/5/20,19.8,曇,福井
2022/5/21,19.2,曇時々雨,福井
2022/5/22,20.5,晴,福井
2022/5/23,19.4,晴,福井
2022/5/24,21.2,晴,福井
2022/5/25,24.2,晴後一時曇,福井
2022/5/26,23.0,曇時々晴,福井
2022/5/27,20.8,曇一時雨後晴,福井
2022/5/28,21.0,晴時々曇,福井
2022/5/29,21.9,晴,福井
2022/5/30,23.7,晴後曇時々雨,福井
2022/5/31,19.4,雨時々曇一時晴,福井
2022/6/1,20.0,曇時々晴,福井
2022/6/2,21.9,晴,福井
2022/6/3,20.7,晴,福井
2022/6/4,19.2,晴時々曇,福井
2022/6/5,21.5,曇時々晴,福井
2022/6/6,0.0,,福井
2022/6/7,0.0,,福井
2022/6/8,0.0,,福井
2022/6/9,0.0,,福井
2022/6/10,0.0,,福井
2022/6/11,0.0,,福井
2022/6/12,0.0,,福井
2022/6/13,0.0,,福井
2022/6/14,0.0,,福井
2022/6/15,0.0,,福井
2022/6/16,0.0,,福井
2022/6/17,0.0,,福井
2022/6/18,0.0,,福井
2022/6/19,0.0,,福井
2022/6/20,0.0,,福井
2022/6/21,0.0,,福井
2022/6/22,0.0,,福井
2022/6/23,0.0,,福井
2022/6/24,0.0,,福井
2022/6/25,0.0,,福井
2022/6/26,0.0,,福井
2022/6/27,0.0,,福井
2022/6/28,0.0,,福井
2022/6/29,0.0,,福井
2022/6/30,0.0,,福井
