年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.6,晴,福岡
2022/1/2,7.0,晴時々曇,福岡
2022/1/3,6.9,晴,福岡
2022/1/4,6.7,晴後一時曇,福岡
2022/1/5,6.9,曇後時々雨,福岡
2022/1/6,8.2,晴時々曇,福岡
2022/1/7,7.7,晴,福岡
2022/1/8,8.1,晴後一時曇,福岡
2022/1/9,8.2,曇,福岡
2022/1/10,8.6,晴,福岡
2022/1/11,6.7,曇時々雨,福岡
2022/1/12,4.6,晴一時曇,福岡
2022/1/13,5.6,晴時々曇一時雨、雷・あられを伴う,福岡
2022/1/14,4.4,晴,福岡
2022/1/15,5.4,曇,福岡
2022/1/16,6.5,雨後曇,福岡
2022/1/17,7.1,薄曇後時々晴,福岡
2022/1/18,5.4,晴一時曇,福岡
2022/1/19,4.6,晴,福岡
2022/1/20,5.9,曇時々みぞれ一時雨、雷・あられを伴う,福岡
2022/1/21,6.4,曇後一時晴,福岡
2022/1/22,6.9,晴時々曇,福岡
2022/1/23,7.9,雨,福岡
2022/1/24,8.7,曇,福岡
2022/1/25,8.1,晴時々曇,福岡
2022/1/26,9.2,晴時々曇,福岡
2022/1/27,8.5,曇後時々晴,福岡
2022/1/28,8.3,晴後一時薄曇,福岡
2022/1/29,7.3,曇後一時晴,福岡
2022/1/30,7.2,曇,福岡
2022/1/31,6.3,晴,福岡
2022/2/1,6.1,曇一時雨,福岡
2022/2/2,5.7,晴後曇,福岡
2022/2/3,6.2,曇一時晴,福岡
2022/2/4,5.9,晴一時曇,福岡
2022/2/5,4.3,晴時々曇一時雪,福岡
2022/2/6,4.3,曇時々晴,福岡
2022/2/7,5.9,曇時々晴,福岡
2022/2/8,6.7,曇一時雨,福岡
2022/2/9,8.1,晴,福岡
2022/2/10,8.6,雨後時々曇,福岡
2022/2/11,8.5,曇時々晴,福岡
2022/2/12,9.4,晴時々曇,福岡
2022/2/13,8.2,雨後曇,福岡
2022/2/14,9.4,曇後晴,福岡
2022/2/15,7.8,曇後晴,福岡
2022/2/16,4.2,晴時々曇一時雪,福岡
2022/2/17,1.7,晴時々曇,福岡
2022/2/18,5.4,曇一時晴,福岡
2022/2/19,6.1,雨,福岡
2022/2/20,4.5,晴時々曇,福岡
2022/2/21,4.2,晴,福岡
2022/2/22,5.1,晴一時曇,福岡
2022/2/23,3.9,曇,福岡
2022/2/24,4.0,晴一時曇,福岡
2022/2/25,5.6,晴,福岡
2022/2/26,8.2,晴時々曇,福岡
2022/2/27,9.6,快晴,福岡
2022/2/28,9.4,晴後曇,福岡
2022/3/1,12.1,雨時々曇,福岡
2022/3/2,9.8,晴一時薄曇,福岡
2022/3/3,9.6,晴,福岡
2022/3/4,9.0,曇時々晴,福岡
2022/3/5,11.0,晴,福岡
2022/3/6,7.6,晴,福岡
2022/3/7,7.3,曇,福岡
2022/3/8,9.1,快晴,福岡
2022/3/9,10.8,晴,福岡
2022/3/10,11.5,晴後薄曇,福岡
2022/3/11,15.1,曇時々晴,福岡
2022/3/12,17.4,曇時々晴,福岡
2022/3/13,18.7,曇,福岡
2022/3/14,18.8,曇,福岡
2022/3/15,15.1,晴,福岡
2022/3/16,15.3,快晴,福岡
2022/3/17,14.6,曇一時晴,福岡
2022/3/18,11.4,雨,福岡
2022/3/19,10.4,曇時々雨,福岡
2022/3/20,10.6,曇一時雨,福岡
2022/3/21,11.6,曇一時晴,福岡
2022/3/22,10.8,曇時々晴一時雨,福岡
2022/3/23,9.3,曇後時々雨一時晴,福岡
2022/3/24,10.7,晴,福岡
2022/3/25,14.8,曇時々晴,福岡
2022/3/26,16.5,雨後曇一時晴,福岡
2022/3/27,15.5,晴時々曇,福岡
2022/3/28,13.0,曇,福岡
2022/3/29,14.2,薄曇後晴,福岡
2022/3/30,17.8,曇後一時雨,福岡
2022/3/31,14.4,雨時々曇,福岡
2022/4/1,11.9,晴後薄曇,福岡
2022/4/2,10.3,薄曇一時晴,福岡
2022/4/3,11.1,快晴,福岡
2022/4/4,12.0,快晴,福岡
2022/4/5,13.3,晴後曇,福岡
2022/4/6,15.4,晴後一時薄曇,福岡
2022/4/7,16.2,晴,福岡
2022/4/8,16.0,快晴,福岡
2022/4/9,17.6,快晴,福岡
2022/4/10,18.7,晴後薄曇,福岡
2022/4/11,19.2,雨時々曇一時晴,福岡
2022/4/12,20.1,晴時々曇,福岡
2022/4/13,17.8,曇,福岡
2022/4/14,15.4,雨後時々曇,福岡
2022/4/15,13.5,曇一時雨,福岡
2022/4/16,13.4,晴一時曇,福岡
2022/4/17,14.9,晴,福岡
2022/4/18,15.6,曇,福岡
2022/4/19,16.3,薄曇後晴,福岡
2022/4/20,18.0,晴,福岡
2022/4/21,16.1,雨時々曇,福岡
2022/4/22,18.7,晴,福岡
2022/4/23,18.6,曇時々雨,福岡
2022/4/24,19.7,曇時々晴一時雨,福岡
2022/4/25,21.6,薄曇時々晴,福岡
2022/4/26,23.4,雨,福岡
2022/4/27,19.2,薄曇後一時晴、霧を伴う,福岡
2022/4/28,18.5,晴時々曇,福岡
2022/4/29,15.3,大雨時々曇,福岡
2022/4/30,15.3,晴一時曇,福岡
2022/5/1,16.0,曇後一時晴,福岡
2022/5/2,16.8,薄曇時々晴,福岡
2022/5/3,16.3,快晴,福岡
2022/5/4,17.6,晴,福岡
2022/5/5,20.5,晴時々薄曇,福岡
2022/5/6,20.5,曇時々雨,福岡
2022/5/7,22.0,晴時々曇,福岡
2022/5/8,19.1,晴一時曇,福岡
2022/5/9,18.9,晴後時々薄曇,福岡
2022/5/10,20.0,曇後一時雨,福岡
2022/5/11,21.1,曇時々雨,福岡
