年月日,平均気温,天気概況（昼）,都市
2022/1/1,5.0,曇時々晴,徳島
2022/1/2,5.1,晴,徳島
2022/1/3,8.3,晴時々曇,徳島
2022/1/4,7.9,晴,徳島
2022/1/5,5.8,雨後曇時々晴,徳島
2022/1/6,5.2,雨後曇時々晴,徳島
2022/1/7,6.7,晴時々曇,徳島
2022/1/8,4.9,晴,徳島
2022/1/9,7.3,晴時々曇,徳島
2022/1/10,8.5,晴時々曇,徳島
2022/1/11,5.8,雨時々曇,徳島
2022/1/12,4.5,晴後一時曇,徳島
2022/1/13,3.6,晴時々雪後曇一時みぞれ,徳島
2022/1/14,4.3,晴,徳島
2022/1/15,4.9,曇時々晴,徳島
2022/1/16,7.6,晴後時々曇,徳島
2022/1/17,7.4,曇一時雨後一時晴,徳島
2022/1/18,4.9,晴時々曇、みぞれを伴う,徳島
2022/1/19,4.9,晴,徳島
2022/1/20,4.7,晴一時雨,徳島
2022/1/21,4.5,晴後雨時々曇,徳島
2022/1/22,4.8,晴一時曇,徳島
2022/1/23,4.3,雨一時曇,徳島
2022/1/24,6.7,曇一時雨後晴,徳島
2022/1/25,5.5,曇,徳島
2022/1/26,7.3,晴時々曇,徳島
2022/1/27,7.4,晴一時曇,徳島
2022/1/28,7.7,晴時々曇,徳島
2022/1/29,7.3,曇後一時晴,徳島
2022/1/30,6.6,曇時々晴,徳島
2022/1/31,6.6,晴後時々曇,徳島
2022/2/1,6.3,晴後一時雨,徳島
2022/2/2,6.6,晴後一時曇,徳島
2022/2/3,6.8,曇後一時晴,徳島
2022/2/4,6.1,晴一時曇,徳島
2022/2/5,3.5,晴一時雪,徳島
2022/2/6,3.7,晴,徳島
2022/2/7,5.2,晴,徳島
2022/2/8,5.6,雨時々曇,徳島
2022/2/9,6.3,晴後時々曇,徳島
2022/2/10,5.7,雨後晴時々曇,徳島
2022/2/11,7.2,晴,徳島
2022/2/12,7.0,晴一時曇,徳島
2022/2/13,4.5,雨,徳島
2022/2/14,6.7,曇後時々晴,徳島
2022/2/15,7.5,晴後時々曇,徳島
2022/2/16,4.4,晴一時雨、みぞれを伴う,徳島
2022/2/17,1.7,晴一時雪,徳島
2022/2/18,4.3,晴一時曇,徳島
2022/2/19,3.4,雨時々曇、みぞれを伴う,徳島
2022/2/20,5.0,曇一時雨後晴、みぞれを伴う,徳島
2022/2/21,3.6,曇時々晴,徳島
2022/2/22,4.2,晴時々曇,徳島
2022/2/23,4.0,曇,徳島
2022/2/24,4.3,晴一時曇,徳島
2022/2/25,5.6,晴,徳島
2022/2/26,6.3,晴,徳島
2022/2/27,9.2,晴,徳島
2022/2/28,8.5,晴,徳島
2022/3/1,7.4,雨時々曇,徳島
2022/3/2,10.4,曇時々晴一時雨,徳島
2022/3/3,10.0,晴,徳島
2022/3/4,7.9,曇時々晴,徳島
2022/3/5,10.7,晴,徳島
2022/3/6,8.0,晴後一時曇,徳島
2022/3/7,6.5,曇時々晴,徳島
2022/3/8,7.5,晴,徳島
2022/3/9,9.1,晴,徳島
2022/3/10,10.0,晴,徳島
2022/3/11,10.6,曇後時々晴,徳島
2022/3/12,14.3,晴,徳島
2022/3/13,15.4,曇時々晴,徳島
2022/3/14,16.4,曇一時雨後晴,徳島
2022/3/15,16.5,晴一時曇,徳島
2022/3/16,14.3,晴,徳島
2022/3/17,13.8,曇時々晴,徳島
2022/3/18,10.2,大雨,徳島
2022/3/19,11.2,曇後雨時々晴,徳島
2022/3/20,9.5,晴後時々曇,徳島
2022/3/21,10.8,曇時々晴,徳島
2022/3/22,7.7,雨後曇時々晴,徳島
2022/3/23,8.3,曇一時晴後雨,徳島
2022/3/24,11.5,晴,徳島
2022/3/25,13.1,晴後一時曇,徳島
2022/3/26,16.7,雨時々曇,徳島
2022/3/27,16.1,晴一時曇,徳島
2022/3/28,12.4,曇,徳島
2022/3/29,11.7,曇,徳島
