年月日,平均気温,天気概況（昼）,都市
2022/1/1,-1.7,雪後一時曇,福島
2022/1/2,2.3,曇時々晴,福島
2022/1/3,1.6,晴時々曇,福島
2022/1/4,-0.7,雪時々曇、みぞれを伴う,福島
2022/1/5,-1.1,雪時々曇後晴,福島
2022/1/6,-2.8,曇時々晴,福島
2022/1/7,0.0,雪時々曇,福島
2022/1/8,0.9,晴一時曇,福島
2022/1/9,1.8,曇後雨時々晴、みぞれを伴う,福島
2022/1/10,3.0,晴一時曇,福島
2022/1/11,-0.6,雪一時曇後一時みぞれ,福島
2022/1/12,1.1,雪後曇時々晴,福島
2022/1/13,1.3,曇時々雪一時晴,福島
2022/1/14,-0.1,雪時々曇,福島
2022/1/15,3.6,曇一時晴後一時雪、みぞれを伴う,福島
2022/1/16,2.5,曇時々晴,福島
2022/1/17,2.6,曇時々晴一時雪,福島
2022/1/18,-0.8,雪時々曇一時晴,福島
2022/1/19,0.7,曇時々晴一時雪,福島
2022/1/20,-0.1,曇時々晴一時雪、みぞれを伴う,福島
2022/1/21,-0.3,雪時々曇後晴,福島
2022/1/22,1.3,曇一時雪,福島
2022/1/23,2.4,曇時々晴,福島
2022/1/24,3.5,曇時々晴一時雪、みぞれを伴う,福島
2022/1/25,2.0,晴時々曇,福島
2022/1/26,3.4,晴時々曇一時雪,福島
2022/1/27,3.7,晴時々雪一時みぞれ,福島
2022/1/28,2.1,曇時々晴一時雪、みぞれを伴う,福島
2022/1/29,1.7,晴後曇一時雪,福島
2022/1/30,1.0,曇時々晴一時雪,福島
2022/1/31,0.4,雪時々曇,福島
2022/2/1,2.3,晴後一時曇,福島
2022/2/2,1.8,雪時々曇後晴,福島
2022/2/3,1.5,曇時々雪一時晴、みぞれを伴う,福島
2022/2/4,0.7,曇時々雪一時晴,福島
2022/2/5,-0.8,曇時々晴一時雪,福島
2022/2/6,-1.2,雪後晴時々曇,福島
2022/2/7,0.7,曇後晴,福島
2022/2/8,2.0,曇時々晴、みぞれを伴う,福島
2022/2/9,3.0,晴時々曇一時雪,福島
2022/2/10,0.1,雪時々曇後みぞれ,福島
2022/2/11,1.9,曇時々晴一時雪,福島
2022/2/12,2.1,晴後一時曇,福島
2022/2/13,4.7,曇時々晴,福島
2022/2/14,3.4,晴時々曇,福島
2022/2/15,1.0,曇一時雪,福島
2022/2/16,2.9,晴時々曇,福島
2022/2/17,1.6,曇一時雪後時々晴,福島
2022/2/18,2.0,曇一時雪後晴、みぞれを伴う,福島
2022/2/19,1.6,曇,福島
