年月日,平均気温,天気概況（昼）,都市
2022/1/1,6.4,快晴,鹿児島
2022/1/2,8.8,曇時々晴,鹿児島
2022/1/3,8.6,晴,鹿児島
2022/1/4,8.3,快晴,鹿児島
2022/1/5,9.4,曇時々晴,鹿児島
2022/1/6,11.7,晴時々曇一時雨,鹿児島
2022/1/7,8.5,薄曇時々晴,鹿児島
2022/1/8,9.4,曇時々雨一時晴,鹿児島
2022/1/9,9.3,曇時々晴,鹿児島
2022/1/10,9.7,快晴,鹿児島
2022/1/11,7.9,雨後一時曇,鹿児島
2022/1/12,6.1,曇時々晴,鹿児島
2022/1/13,6.7,雨時々晴一時曇,鹿児島
2022/1/14,6.1,晴,鹿児島
2022/1/15,6.9,曇後一時晴,鹿児島
2022/1/16,9.0,曇時々晴,鹿児島
2022/1/17,8.5,曇,鹿児島
2022/1/18,8.0,曇後晴,鹿児島
2022/1/19,6.1,快晴,鹿児島
2022/1/20,7.4,曇後晴,鹿児島
2022/1/21,7.5,晴後時々曇,鹿児島
2022/1/22,10.7,曇時々雨一時晴,鹿児島
2022/1/23,14.4,雨,鹿児島
2022/1/24,13.2,雨時々曇,鹿児島
2022/1/25,11.3,曇後晴,鹿児島
2022/1/26,11.3,晴後一時曇,鹿児島
2022/1/27,10.7,曇時々雨,鹿児島
2022/1/28,10.6,晴時々曇,鹿児島
2022/1/29,10.0,曇一時雨,鹿児島
2022/1/30,8.9,曇,鹿児島
2022/1/31,8.0,快晴,鹿児島
2022/2/1,7.6,雨時々曇一時晴,鹿児島
2022/2/2,6.6,曇後一時雨,鹿児島
2022/2/3,7.2,曇一時雨,鹿児島
2022/2/4,8.0,晴時々曇,鹿児島
2022/2/5,5.8,雨時々晴一時曇,鹿児島
2022/2/6,5.5,晴,鹿児島
2022/2/7,6.7,曇一時晴,鹿児島
2022/2/8,7.5,雨時々曇,鹿児島
2022/2/9,9.4,曇後晴,鹿児島
2022/2/10,10.0,曇時々晴一時雨,鹿児島
2022/2/11,10.0,晴,鹿児島
2022/2/12,12.3,曇後一時雨,鹿児島
2022/2/13,13.8,曇時々雨,鹿児島
2022/2/14,11.8,曇後晴,鹿児島
2022/2/15,9.3,曇時々晴,鹿児島
2022/2/16,6.5,曇後時々雨一時晴,鹿児島
2022/2/17,5.2,晴時々薄曇,鹿児島
2022/2/18,8.1,薄曇,鹿児島
2022/2/19,10.9,雨後一時曇,鹿児島
2022/2/20,5.8,曇時々雨、みぞれを伴う,鹿児島
2022/2/21,5.2,晴,鹿児島
2022/2/22,7.2,晴,鹿児島
2022/2/23,6.5,曇時々雨,鹿児島
2022/2/24,6.8,晴,鹿児島
2022/2/25,7.6,晴,鹿児島
2022/2/26,8.9,晴後一時曇,鹿児島
2022/2/27,11.5,晴,鹿児島
2022/2/28,11.1,晴,鹿児島
2022/3/1,13.8,雨後時々曇,鹿児島
2022/3/2,12.0,晴時々曇,鹿児島
2022/3/3,10.2,晴後一時薄曇,鹿児島
2022/3/4,9.4,曇時々雨一時晴,鹿児島
2022/3/5,12.1,晴,鹿児島
2022/3/6,9.9,晴,鹿児島
2022/3/7,9.6,曇,鹿児島
2022/3/8,10.4,快晴,鹿児島
2022/3/9,11.8,晴,鹿児島
2022/3/10,12.8,晴,鹿児島
2022/3/11,14.7,曇,鹿児島
2022/3/12,16.4,晴,鹿児島
2022/3/13,17.2,曇,鹿児島
2022/3/14,20.0,晴時々曇,鹿児島
2022/3/15,19.8,薄曇後晴,鹿児島
2022/3/16,17.0,晴,鹿児島
2022/3/17,17.9,曇,鹿児島
2022/3/18,17.9,雨時々曇,鹿児島
2022/3/19,13.6,曇一時晴,鹿児島
2022/3/20,13.0,曇時々晴,鹿児島
2022/3/21,11.7,雨一時曇,鹿児島
2022/3/22,13.1,曇時々雨,鹿児島
2022/3/23,11.5,雨時々曇,鹿児島
2022/3/24,12.2,快晴,鹿児島
2022/3/25,16.1,晴後曇,鹿児島
2022/3/26,18.0,大雨後曇,鹿児島
2022/3/27,17.6,晴一時曇,鹿児島
2022/3/28,15.6,曇時々雨,鹿児島
2022/3/29,14.1,雨後一時曇,鹿児島
2022/3/30,18.0,曇,鹿児島
2022/3/31,17.8,曇時々雨一時晴,鹿児島
2022/4/1,15.1,晴後曇,鹿児島
2022/4/2,13.9,薄曇一時晴,鹿児島
2022/4/3,13.8,薄曇後晴,鹿児島
2022/4/4,15.1,晴,鹿児島
2022/4/5,14.7,晴時々薄曇,鹿児島
2022/4/6,17.0,薄曇後時々晴,鹿児島
2022/4/7,16.8,薄曇後一時晴,鹿児島
2022/4/8,17.3,快晴,鹿児島
2022/4/9,17.8,快晴,鹿児島
2022/4/10,19.0,晴,鹿児島
2022/4/11,18.2,大雨,鹿児島
2022/4/12,21.1,晴時々曇一時雨,鹿児島
2022/4/13,22.2,曇時々雨一時晴,鹿児島
2022/4/14,22.3,曇一時晴,鹿児島
2022/4/15,21.0,晴後曇,鹿児島
2022/4/16,17.2,晴時々薄曇,鹿児島
2022/4/17,17.5,晴後一時薄曇,鹿児島
2022/4/18,16.2,曇後一時雨,鹿児島
2022/4/19,18.0,曇一時晴,鹿児島
2022/4/20,18.7,晴後薄曇,鹿児島
2022/4/21,17.0,大雨後時々曇,鹿児島
2022/4/22,18.6,晴時々薄曇,鹿児島
2022/4/23,17.2,大雨一時曇,鹿児島
2022/4/24,19.9,大雨後曇、雷を伴う,鹿児島
2022/4/25,21.9,晴時々曇,鹿児島
2022/4/26,23.9,雨時々曇,鹿児島
2022/4/27,22.5,曇時々雨,鹿児島
2022/4/28,22.4,曇後時々晴,鹿児島
2022/4/29,19.6,雨時々薄曇,鹿児島
2022/4/30,16.8,晴時々曇,鹿児島
2022/5/1,18.0,曇,鹿児島
2022/5/2,17.0,曇後時々晴,鹿児島
2022/5/3,17.9,晴時々薄曇,鹿児島
2022/5/4,19.2,晴時々薄曇,鹿児島
2022/5/5,21.4,曇,鹿児島
2022/5/6,20.6,雨時々曇,鹿児島
2022/5/7,22.6,晴時々曇,鹿児島
2022/5/8,22.4,曇,鹿児島
2022/5/9,21.9,曇,鹿児島
2022/5/10,21.4,曇,鹿児島
2022/5/11,21.9,曇時々雨,鹿児島
2022/5/12,21.5,大雨,鹿児島
2022/5/13,21.9,大雨,鹿児島
2022/5/14,22.3,晴時々薄曇,鹿児島
2022/5/15,18.4,雨時々曇,鹿児島
2022/5/16,17.7,雨時々曇,鹿児島
2022/5/17,19.8,曇後晴,鹿児島
2022/5/18,21.2,薄曇時々晴,鹿児島
2022/5/19,21.4,薄曇,鹿児島
2022/5/20,19.8,曇後雨,鹿児島
2022/5/21,19.6,雨後曇,鹿児島
2022/5/22,22.0,晴,鹿児島
2022/5/23,21.5,薄曇,鹿児島
2022/5/24,22.3,晴後薄曇,鹿児島
2022/5/25,23.3,晴時々曇,鹿児島
2022/5/26,21.7,雨時々曇,鹿児島
2022/5/27,23.1,薄曇時々晴,鹿児島
2022/5/28,21.3,曇,鹿児島
2022/5/29,20.5,雨時々曇,鹿児島
2022/5/30,21.7,雨後時々曇,鹿児島
2022/5/31,24.1,曇後晴,鹿児島
2022/6/1,20.7,雨時々曇,鹿児島
2022/6/2,22.1,薄曇後一時晴,鹿児島
2022/6/3,23.4,薄曇時々晴,鹿児島
2022/6/4,23.8,晴後薄曇,鹿児島
2022/6/5,20.9,大雨一時曇,鹿児島
2022/6/6,0.0,,鹿児島
2022/6/7,0.0,,鹿児島
2022/6/8,0.0,,鹿児島
2022/6/9,0.0,,鹿児島
2022/6/10,0.0,,鹿児島
2022/6/11,0.0,,鹿児島
2022/6/12,0.0,,鹿児島
2022/6/13,0.0,,鹿児島
2022/6/14,0.0,,鹿児島
2022/6/15,0.0,,鹿児島
2022/6/16,0.0,,鹿児島
2022/6/17,0.0,,鹿児島
2022/6/18,0.0,,鹿児島
2022/6/19,0.0,,鹿児島
2022/6/20,0.0,,鹿児島
2022/6/21,0.0,,鹿児島
2022/6/22,0.0,,鹿児島
2022/6/23,0.0,,鹿児島
2022/6/24,0.0,,鹿児島
2022/6/25,0.0,,鹿児島
2022/6/26,0.0,,鹿児島
2022/6/27,0.0,,鹿児島
2022/6/28,0.0,,鹿児島
2022/6/29,0.0,,鹿児島
2022/6/30,0.0,,鹿児島
