年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.3,曇時々雪,金沢
2022/1/2,4.5,曇時々晴一時雨、雷を伴う,金沢
2022/1/3,4.9,曇時々晴後雨、みぞれを伴う,金沢
2022/1/4,4.7,みぞれ時々曇一時雪、雷を伴う,金沢
2022/1/5,1.0,雪時々曇,金沢
2022/1/6,3.3,晴時々曇,金沢
2022/1/7,3.4,雪後曇時々晴、みぞれを伴う,金沢
2022/1/8,5.6,晴時々曇,金沢
2022/1/9,6.8,雨時々曇、雷を伴う,金沢
2022/1/10,5.7,晴後時々曇,金沢
2022/1/11,6.0,雨時々曇、雷を伴う,金沢
2022/1/12,2.2,雪時々曇、みぞれを伴う,金沢
2022/1/13,1.6,雪時々みぞれ、雷を伴う,金沢
2022/1/14,2.8,曇時々雪,金沢
2022/1/15,3.4,曇,金沢
2022/1/16,4.7,雨時々曇、雷を伴う,金沢
2022/1/17,3.7,みぞれ時々雨一時曇,金沢
2022/1/18,1.4,雪時々曇,金沢
2022/1/19,0.9,曇後雪一時みぞれ,金沢
2022/1/20,0.9,雪時々曇、雷を伴う,金沢
2022/1/21,0.8,曇時々雪,金沢
2022/1/22,2.5,曇,金沢
2022/1/23,3.5,曇,金沢
2022/1/24,3.9,曇時々晴,金沢
2022/1/25,3.4,曇時々晴,金沢
2022/1/26,6.0,曇時々晴後雨、雷を伴う,金沢
2022/1/27,4.9,曇一時みぞれ後晴,金沢
2022/1/28,2.4,雪後みぞれ時々曇,金沢
2022/1/29,3.4,曇時々雪一時みぞれ後雨,金沢
2022/1/30,2.2,曇時々雪一時晴、みぞれを伴う,金沢
2022/1/31,2.8,曇時々晴一時雪、みぞれを伴う,金沢
2022/2/1,3.5,曇後みぞれ時々雨、雷を伴う,金沢
2022/2/2,4.1,曇一時雪後みぞれ、雷を伴う,金沢
2022/2/3,4.0,曇時々みぞれ一時雨、雷を伴う,金沢
2022/2/4,2.4,みぞれ時々曇一時雪,金沢
2022/2/5,0.5,雪時々曇,金沢
2022/2/6,0.4,雪時々曇,金沢
2022/2/7,1.4,雪後曇時々晴,金沢
2022/2/8,2.6,曇一時雪、みぞれを伴う,金沢
2022/2/9,3.1,曇時々晴,金沢
2022/2/10,2.5,曇後一時みぞれ,金沢
2022/2/11,3.7,晴,金沢
2022/2/12,4.7,曇時々晴,金沢
2022/2/13,4.8,曇一時晴後一時雨,金沢
2022/2/14,5.0,曇一時みぞれ後晴,金沢
2022/2/15,5.5,雨時々曇,金沢
2022/2/16,2.6,曇時々雪一時みぞれ、雷を伴う,金沢
2022/2/17,1.4,雪時々曇、雷を伴う,金沢
2022/2/18,3.3,みぞれ時々曇一時晴,金沢
2022/2/19,3.6,曇後時々雨、みぞれを伴う,金沢
2022/2/20,3.0,みぞれ時々雨後雪、大風・雷を伴う,金沢
2022/2/21,0.6,曇後雪一時晴,金沢
2022/2/22,0.7,雪時々曇、みぞれを伴う,金沢
2022/2/23,0.5,雪時々曇,金沢
2022/2/24,1.6,雪時々曇一時晴,金沢
2022/2/25,5.0,曇一時雪、みぞれを伴う,金沢
2022/2/26,7.7,晴後時々曇,金沢
2022/2/27,7.5,雨後曇時々晴、みぞれを伴う,金沢
2022/2/28,8.0,曇一時雨後晴、みぞれを伴う,金沢
2022/3/1,7.1,曇後時々雨,金沢
2022/3/2,7.9,曇一時雨,金沢
2022/3/3,6.8,曇時々雨一時晴、みぞれを伴う,金沢
2022/3/4,6.2,晴後時々曇,金沢
2022/3/5,9.4,曇後晴時々雨、大風・雷を伴う,金沢
2022/3/6,4.3,曇一時雪後みぞれ、雷を伴う,金沢
2022/3/7,4.8,曇時々みぞれ,金沢
2022/3/8,4.6,晴一時曇,金沢
2022/3/9,6.3,晴一時曇,金沢
2022/3/10,7.4,晴時々曇,金沢
