年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.6,曇時々晴、みぞれを伴う,神戸
2022/1/2,5.1,晴,神戸
2022/1/3,8.2,晴後一時雨,神戸
2022/1/4,6.9,晴後雨時々曇,神戸
2022/1/5,5.2,曇時々晴一時雨、みぞれを伴う,神戸
2022/1/6,5.1,曇一時雪後晴、みぞれを伴う,神戸
2022/1/7,5.3,曇時々晴一時雨、みぞれを伴う,神戸
2022/1/8,5.5,晴,神戸
2022/1/9,7.3,晴後時々曇,神戸
2022/1/10,9.0,晴,神戸
2022/1/11,7.2,雨時々曇一時晴,神戸
2022/1/12,3.9,曇時々晴一時みぞれ,神戸
2022/1/13,3.9,晴後一時雨、みぞれを伴う,神戸
2022/1/14,3.4,晴一時雪、みぞれを伴う,神戸
2022/1/15,5.5,晴一時曇,神戸
2022/1/16,6.7,晴時々曇,神戸
2022/1/17,6.9,曇時々晴,神戸
2022/1/18,3.5,曇時々晴一時雪,神戸
2022/1/19,4.7,曇後晴時々雨、みぞれを伴う,神戸
2022/1/20,4.3,曇一時雪後晴、みぞれを伴う,神戸
2022/1/21,3.0,晴後雪時々みぞれ一時曇,神戸
2022/1/22,5.1,曇後晴,神戸
2022/1/23,4.7,雨時々曇,神戸
2022/1/24,6.5,曇時々雨一時晴,神戸
2022/1/25,5.3,曇時々晴,神戸
2022/1/26,7.1,晴一時曇,神戸
2022/1/27,7.5,曇時々晴,神戸
2022/1/28,7.1,晴後時々曇,神戸
2022/1/29,6.8,曇後時々晴,神戸
2022/1/30,6.8,曇時々晴,神戸
2022/1/31,5.8,曇時々晴,神戸
2022/2/1,6.2,晴後雨時々曇,神戸
2022/2/2,6.0,晴後一時雨,神戸
2022/2/3,6.5,曇一時晴,神戸
2022/2/4,6.0,曇後晴一時雨,神戸
2022/2/5,3.4,晴,神戸
2022/2/6,2.8,晴後曇一時雪、みぞれを伴う,神戸
2022/2/7,4.6,晴後一時曇,神戸
2022/2/8,6.1,曇一時晴後時々雨,神戸
2022/2/9,6.8,晴後一時曇,神戸
2022/2/10,6.5,曇後雨時々晴,神戸
2022/2/11,7.5,晴後一時雨,神戸
2022/2/12,7.2,晴,神戸
2022/2/13,5.7,雨時々曇,神戸
2022/2/14,7.8,曇後時々晴,神戸
2022/2/15,7.5,晴時々曇,神戸
2022/2/16,3.8,雪時々晴後曇,神戸
2022/2/17,1.8,晴後一時曇,神戸
2022/2/18,4.2,晴時々曇,神戸
