年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.7,晴,高知
2022/1/2,5.7,晴時々曇,高知
2022/1/3,6.2,晴一時曇,高知
2022/1/4,6.2,晴,高知
2022/1/5,6.3,曇時々晴,高知
2022/1/6,7.0,雨後晴一時曇,高知
2022/1/7,6.9,晴,高知
2022/1/8,6.2,晴,高知
2022/1/9,8.2,曇時々晴,高知
2022/1/10,9.4,晴,高知
2022/1/11,7.6,雨時々曇一時晴,高知
2022/1/12,4.4,晴,高知
2022/1/13,3.7,曇時々晴,高知
2022/1/14,3.7,晴,高知
2022/1/15,5.1,晴時々曇,高知
2022/1/16,6.8,晴時々曇,高知
2022/1/17,6.2,曇後一時晴,高知
2022/1/18,4.4,晴,高知
2022/1/19,4.2,晴,高知
2022/1/20,4.8,晴時々雪後曇一時雨,高知
2022/1/21,5.1,晴,高知
2022/1/22,6.0,晴後一時曇,高知
2022/1/23,8.2,雨,高知
2022/1/24,9.8,晴一時曇,高知
2022/1/25,7.6,曇一時雨後一時晴,高知
2022/1/26,8.9,晴,高知
2022/1/27,8.4,晴時々曇,高知
2022/1/28,8.2,晴一時曇,高知
2022/1/29,7.7,曇後時々晴,高知
2022/1/30,7.9,曇後一時晴,高知
2022/1/31,6.7,晴,高知
2022/2/1,6.2,晴後一時雨,高知
2022/2/2,6.2,晴後一時曇,高知
2022/2/3,7.3,曇,高知
2022/2/4,7.0,晴時々曇,高知
2022/2/5,4.2,晴,高知
2022/2/6,3.1,晴,高知
2022/2/7,4.8,晴後時々曇,高知
2022/2/8,6.0,雨時々曇,高知
2022/2/9,7.3,晴,高知
2022/2/10,8.2,雨後曇時々晴,高知
2022/2/11,7.7,晴後一時曇,高知
2022/2/12,9.1,曇時々晴,高知
2022/2/13,8.6,雨,高知
2022/2/14,10.1,曇後晴,高知
2022/2/15,8.8,晴,高知
2022/2/16,5.2,晴,高知
2022/2/17,2.9,晴一時雪,高知
2022/2/18,4.6,晴時々曇,高知
2022/2/19,5.8,雨一時曇、みぞれを伴う,高知
2022/2/20,6.0,曇一時雨後晴、みぞれを伴う,高知
2022/2/21,4.0,晴,高知
2022/2/22,4.6,晴,高知
2022/2/23,4.3,曇,高知
2022/2/24,4.1,晴後一時曇,高知
2022/2/25,5.5,晴,高知
2022/2/26,6.9,晴,高知
2022/2/27,10.1,晴,高知
2022/2/28,9.6,晴一時曇,高知
2022/3/1,7.5,雨時々曇,高知
2022/3/2,11.1,晴,高知
2022/3/3,9.2,晴,高知
2022/3/4,8.4,曇時々晴,高知
2022/3/5,10.9,晴,高知
2022/3/6,9.0,晴,高知
2022/3/7,8.3,曇,高知
2022/3/8,8.6,晴,高知
2022/3/9,9.7,晴一時曇,高知
2022/3/10,10.8,晴,高知
2022/3/11,12.3,曇時々晴,高知
2022/3/12,14.9,晴時々曇,高知
2022/3/13,15.9,曇後時々雨,高知
2022/3/14,18.2,晴時々曇,高知
2022/3/15,18.5,晴一時曇,高知
2022/3/16,15.9,晴,高知
2022/3/17,15.8,晴後時々曇,高知
2022/3/18,13.8,大雨後一時曇,高知
2022/3/19,12.5,曇時々晴後雨,高知
2022/3/20,11.5,曇時々晴,高知
2022/3/21,12.0,曇時々晴,高知
2022/3/22,10.8,雨後曇一時晴,高知
2022/3/23,10.3,曇後時々雨,高知
2022/3/24,11.8,晴,高知
2022/3/25,13.6,晴時々曇,高知
2022/3/26,16.7,大雨,高知
2022/3/27,16.7,晴時々曇,高知
2022/3/28,15.2,曇後一時晴,高知
2022/3/29,14.3,曇後一時晴,高知
2022/3/30,16.2,曇後時々晴,高知
2022/3/31,15.9,曇時々晴後雨,高知
2022/4/1,12.0,晴時々曇,高知
2022/4/2,9.9,曇一時晴,高知
2022/4/3,12.8,曇後晴,高知
2022/4/4,14.3,晴,高知
2022/4/5,13.6,晴後一時曇,高知
2022/4/6,15.6,晴時々曇,高知
2022/4/7,15.5,晴一時雨,高知
2022/4/8,16.6,晴,高知
2022/4/9,17.1,晴,高知
2022/4/10,17.8,晴後一時曇,高知
2022/4/11,17.6,曇時々晴一時雨,高知
2022/4/12,19.6,曇時々晴,高知
2022/4/13,20.8,晴後雨時々曇,高知
2022/4/14,20.0,曇時々雨,高知
2022/4/15,19.5,晴後雨時々曇,高知
2022/4/16,15.5,晴一時曇,高知
2022/4/17,14.8,晴,高知
2022/4/18,16.3,曇後一時晴,高知
2022/4/19,18.0,晴時々曇,高知
2022/4/20,17.2,晴,高知
2022/4/21,16.4,雨時々曇,高知
2022/4/22,18.1,晴、霧を伴う,高知
2022/4/23,17.9,曇一時晴後雨,高知
2022/4/24,17.7,雨後時々曇,高知
2022/4/25,20.2,曇一時雨,高知
2022/4/26,20.4,雨後一時曇,高知
2022/4/27,22.1,曇時々雨,高知
2022/4/28,21.3,曇時々晴一時雨,高知
2022/4/29,18.4,大雨後一時曇一時晴,高知
2022/4/30,15.8,晴,高知
2022/5/1,16.7,曇一時晴,高知
2022/5/2,17.2,晴一時曇,高知
2022/5/3,16.2,晴,高知
2022/5/4,17.0,晴後一時曇,高知
2022/5/5,19.0,曇時々晴一時雨,高知
2022/5/6,19.7,曇,高知
2022/5/7,20.4,晴一時曇,高知
2022/5/8,20.6,晴後時々曇,高知
2022/5/9,17.9,雨時々曇,高知
2022/5/10,18.1,曇時々晴,高知
2022/5/11,19.2,雨後時々曇,高知
2022/5/12,19.6,大雨,高知
2022/5/13,20.3,雨,高知
2022/5/14,22.1,晴時々曇,高知
2022/5/15,17.7,曇後一時雨,高知
2022/5/16,17.9,曇後一時雨,高知
2022/5/17,17.9,曇,高知
2022/5/18,18.9,晴一時曇,高知
2022/5/19,19.7,晴時々曇,高知
2022/5/20,19.7,曇,高知
2022/5/21,18.1,曇時々雨,高知
2022/5/22,20.0,晴,高知
2022/5/23,21.3,曇時々晴,高知
2022/5/24,21.9,晴,高知
2022/5/25,22.0,晴時々曇,高知
2022/5/26,20.4,雨時々曇,高知
2022/5/27,23.0,晴時々曇,高知
2022/5/28,22.4,晴後一時曇,高知
2022/5/29,22.6,晴時々曇,高知
2022/5/30,19.2,雨,高知
2022/5/31,23.8,晴,高知
2022/6/1,21.0,曇,高知
2022/6/2,21.0,晴,高知
2022/6/3,22.0,晴,高知
2022/6/4,23.0,晴,高知
2022/6/5,20.4,曇後雨,高知
2022/6/6,0.0,,高知
2022/6/7,0.0,,高知
2022/6/8,0.0,,高知
2022/6/9,0.0,,高知
2022/6/10,0.0,,高知
2022/6/11,0.0,,高知
2022/6/12,0.0,,高知
2022/6/13,0.0,,高知
2022/6/14,0.0,,高知
2022/6/15,0.0,,高知
2022/6/16,0.0,,高知
2022/6/17,0.0,,高知
2022/6/18,0.0,,高知
2022/6/19,0.0,,高知
2022/6/20,0.0,,高知
2022/6/21,0.0,,高知
2022/6/22,0.0,,高知
2022/6/23,0.0,,高知
2022/6/24,0.0,,高知
2022/6/25,0.0,,高知
2022/6/26,0.0,,高知
2022/6/27,0.0,,高知
2022/6/28,0.0,,高知
2022/6/29,0.0,,高知
2022/6/30,0.0,,高知
