年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.5,晴一時曇,甲府
2022/1/2,-0.3,晴一時曇,甲府
2022/1/3,2.1,晴一時曇,甲府
2022/1/4,3.5,晴一時曇,甲府
2022/1/5,2.9,晴一時曇,甲府
2022/1/6,-0.5,曇後時々雪,甲府
2022/1/7,2.1,晴一時曇,甲府
2022/1/8,1.4,晴時々曇,甲府
2022/1/9,3.3,晴時々曇,甲府
2022/1/10,6.0,晴時々曇,甲府
2022/1/11,4.5,雨時々曇,甲府
2022/1/12,4.1,晴、大風を伴う,甲府
2022/1/13,1.1,曇時々晴,甲府
2022/1/14,2.3,晴,甲府
2022/1/15,1.3,曇時々晴,甲府
2022/1/16,1.5,晴一時曇,甲府
2022/1/17,3.3,晴時々曇,甲府
2022/1/18,3.8,晴,甲府
2022/1/19,0.0,晴時々曇,甲府
2022/1/20,0.8,曇後晴一時雪,甲府
2022/1/21,1.0,晴一時曇,甲府
2022/1/22,-0.2,晴一時曇,甲府
2022/1/23,1.1,曇,甲府
2022/1/24,3.9,曇後晴,甲府
2022/1/25,3.4,晴時々曇,甲府
2022/1/26,7.0,晴時々曇,甲府
2022/1/27,4.9,晴時々曇,甲府
2022/1/28,5.4,晴一時曇,甲府
2022/1/29,4.3,曇後晴,甲府
2022/1/30,2.9,曇一時晴,甲府
2022/1/31,3.2,晴一時曇,甲府
2022/2/1,3.3,晴一時曇,甲府
2022/2/2,4.7,晴一時曇,甲府
2022/2/3,3.6,晴時々曇,甲府
2022/2/4,3.9,晴時々曇,甲府
2022/2/5,2.9,曇時々晴,甲府
2022/2/6,0.7,晴時々曇,甲府
2022/2/7,1.6,晴一時曇,甲府
2022/2/8,4.5,晴時々曇,甲府
2022/2/9,4.5,晴時々曇,甲府
2022/2/10,1.1,みぞれ,甲府
2022/2/11,2.8,晴後一時曇,甲府
2022/2/12,1.9,晴時々曇,甲府
2022/2/13,1.7,曇後一時雨、みぞれを伴う,甲府
2022/2/14,3.7,曇後時々晴,甲府
2022/2/15,4.6,曇,甲府
2022/2/16,4.4,晴時々曇,甲府
2022/2/17,1.1,晴後時々曇,甲府
2022/2/18,2.8,晴,甲府
2022/2/19,4.6,曇一時晴後一時雨,甲府
2022/2/20,6.5,雨時々曇後晴,甲府
2022/2/21,2.8,晴一時曇,甲府
2022/2/22,2.5,晴,甲府
2022/2/23,3.1,晴一時曇,甲府
2022/2/24,2.5,晴一時曇,甲府
2022/2/25,3.5,晴一時曇,甲府
2022/2/26,5.1,晴一時曇,甲府
2022/2/27,6.2,晴一時曇,甲府
2022/2/28,6.5,晴時々曇,甲府
2022/3/1,7.5,曇後晴時々雨,甲府
2022/3/2,9.0,晴後一時曇,甲府
2022/3/3,8.3,晴一時曇,甲府
2022/3/4,7.2,曇時々晴,甲府
2022/3/5,9.6,晴一時曇,甲府
2022/3/6,6.2,晴,甲府
2022/3/7,7.5,晴時々曇,甲府
2022/3/8,7.5,晴一時曇,甲府
2022/3/9,8.8,晴時々曇,甲府
2022/3/10,8.0,晴時々曇,甲府
2022/3/11,10.1,晴,甲府
2022/3/12,12.4,晴,甲府
2022/3/13,13.9,晴時々曇,甲府
2022/3/14,16.5,晴時々曇,甲府
