年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.1,晴,熊谷
2022/1/2,2.3,晴,熊谷
2022/1/3,5.4,晴,熊谷
2022/1/4,3.6,晴後一時雨,熊谷
2022/1/5,2.7,晴,熊谷
2022/1/6,-0.5,曇一時晴後時々雪,熊谷
2022/1/7,2.6,晴,熊谷
2022/1/8,4.2,晴,熊谷
2022/1/9,6.2,晴一時曇,熊谷
2022/1/10,6.7,曇後一時晴,熊谷
2022/1/11,6.0,雨時々曇,熊谷
2022/1/12,4.5,晴,熊谷
2022/1/13,4.2,晴一時曇,熊谷
2022/1/14,2.5,晴,熊谷
2022/1/15,5.0,曇時々晴,熊谷
2022/1/16,2.9,晴,熊谷
2022/1/17,5.3,晴時々曇,熊谷
2022/1/18,3.0,晴一時曇,熊谷
2022/1/19,2.7,晴,熊谷
2022/1/20,1.9,晴一時曇,熊谷
2022/1/21,2.1,晴,熊谷
2022/1/22,3.8,晴,熊谷
2022/1/23,3.7,曇一時晴,熊谷
2022/1/24,6.2,晴時々曇,熊谷
2022/1/25,3.2,曇時々晴,熊谷
2022/1/26,5.4,晴時々曇,熊谷
2022/1/27,5.8,晴,熊谷
2022/1/28,5.9,晴後一時曇,熊谷
2022/1/29,4.1,晴時々曇,熊谷
2022/1/30,4.0,晴時々曇,熊谷
2022/1/31,3.9,晴,熊谷
2022/2/1,4.9,晴,熊谷
2022/2/2,4.5,晴,熊谷
2022/2/3,4.6,晴,熊谷
2022/2/4,4.7,晴一時曇,熊谷
2022/2/5,2.1,晴後時々曇,熊谷
2022/2/6,1.1,曇時々晴,熊谷
2022/2/7,2.9,晴,熊谷
2022/2/8,4.1,晴時々曇,熊谷
2022/2/9,5.8,晴時々曇,熊谷
2022/2/10,1.5,みぞれ,熊谷
2022/2/11,4.2,晴,熊谷
2022/2/12,3.7,晴一時曇,熊谷
2022/2/13,3.1,曇一時晴後雨,熊谷
2022/2/14,4.5,曇後晴、みぞれを伴う,熊谷
2022/2/15,4.0,晴後時々曇,熊谷
2022/2/16,5.4,晴,熊谷
2022/2/17,3.5,晴,熊谷
2022/2/18,4.0,晴一時雪,熊谷
2022/2/19,3.9,曇時々晴,熊谷
2022/2/20,6.3,曇時々晴一時雨,熊谷
2022/2/21,3.0,晴,熊谷
2022/2/22,2.7,晴後時々曇,熊谷
2022/2/23,3.3,晴,熊谷
2022/2/24,3.4,晴,熊谷
2022/2/25,5.5,晴,熊谷
2022/2/26,7.4,晴,熊谷
2022/2/27,7.4,晴,熊谷
2022/2/28,9.1,晴,熊谷
2022/3/1,8.9,晴後曇一時雨,熊谷
2022/3/2,11.5,晴,熊谷
2022/3/3,8.5,晴,熊谷
2022/3/4,7.7,晴後一時曇,熊谷
2022/3/5,9.9,晴,熊谷
2022/3/6,6.5,晴後時々曇一時雨,熊谷
2022/3/7,7.1,晴,熊谷
2022/3/8,6.6,曇一時雨後晴、みぞれを伴う,熊谷
2022/3/9,8.1,晴時々曇,熊谷
2022/3/10,8.0,晴一時曇,熊谷
2022/3/11,10.9,晴時々曇,熊谷
2022/3/12,14.2,晴,熊谷
2022/3/13,13.6,曇時々晴,熊谷
2022/3/14,15.3,晴時々曇,熊谷
2022/3/15,11.8,曇一時雨後晴,熊谷
2022/3/16,12.7,曇後時々晴,熊谷
2022/3/17,13.6,晴後曇,熊谷
2022/3/18,4.7,雨,熊谷
2022/3/19,10.7,晴後雨時々曇,熊谷
2022/3/20,9.8,晴後一時曇,熊谷
2022/3/21,10.3,晴時々曇,熊谷
2022/3/22,3.5,みぞれ時々雨,熊谷
2022/3/23,5.5,曇時々晴,熊谷
