年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.2,晴一時曇,熊本
2022/1/2,5.4,晴時々曇一時雨,熊本
2022/1/3,5.6,晴一時曇,熊本
2022/1/4,5.1,晴一時曇,熊本
2022/1/5,5.8,曇後一時雨,熊本
2022/1/6,7.8,雨時々曇後晴,熊本
2022/1/7,6.2,晴時々曇,熊本
2022/1/8,6.5,晴一時曇,熊本
2022/1/9,7.9,曇時々晴,熊本
2022/1/10,6.9,晴一時曇,熊本
2022/1/11,5.1,雨時々曇一時晴、みぞれを伴う,熊本
2022/1/12,3.1,晴一時曇,熊本
2022/1/13,4.2,曇後雨時々晴、みぞれを伴う,熊本
2022/1/14,3.0,晴一時曇,熊本
2022/1/15,4.3,曇,熊本
2022/1/16,6.6,曇後雨時々晴、みぞれを伴う,熊本
2022/1/17,5.8,曇時々晴,熊本
2022/1/18,6.0,晴一時曇,熊本
2022/1/19,2.8,晴一時曇,熊本
2022/1/20,5.1,曇一時雪後晴,熊本
2022/1/21,4.5,晴時々曇,熊本
2022/1/22,6.8,曇一時晴後一時雨,熊本
2022/1/23,8.7,雨,熊本
2022/1/24,9.5,曇後一時晴,熊本
2022/1/25,8.6,曇時々晴,熊本
2022/1/26,8.8,晴一時曇,熊本
2022/1/27,7.5,曇,熊本
2022/1/28,7.2,晴時々曇,熊本
2022/1/29,6.9,曇,熊本
2022/1/30,7.0,曇後一時晴,熊本
2022/1/31,6.3,晴一時曇,熊本
2022/2/1,4.7,曇時々晴一時雨,熊本
2022/2/2,3.3,曇一時晴,熊本
2022/2/3,5.7,曇時々雨、みぞれを伴う,熊本
2022/2/4,5.8,晴時々曇,熊本
2022/2/5,3.5,雪時々曇一時晴、みぞれを伴う,熊本
2022/2/6,3.5,晴時々曇,熊本
2022/2/7,4.9,曇一時晴,熊本
2022/2/8,5.4,雨時々曇一時晴、みぞれを伴う,熊本
2022/2/9,7.2,曇時々晴,熊本
2022/2/10,8.2,曇後一時晴,熊本
2022/2/11,7.6,晴時々曇,熊本
2022/2/12,8.0,曇一時雨,熊本
2022/2/13,9.1,雨後時々曇,熊本
2022/2/14,10.0,曇後晴,熊本
2022/2/15,6.6,曇一時雨後晴,熊本
2022/2/16,4.0,曇時々雪、みぞれを伴う,熊本
2022/2/17,1.8,晴時々曇,熊本
2022/2/18,5.3,晴時々曇,熊本
2022/2/19,6.3,雨,熊本
2022/2/20,3.4,晴時々雪後曇、みぞれを伴う,熊本
2022/2/21,2.1,晴一時曇,熊本
2022/2/22,3.5,晴一時曇,熊本
2022/2/23,3.8,曇,熊本
2022/2/24,3.5,晴一時曇,熊本
2022/2/25,4.9,晴一時曇,熊本
2022/2/26,6.6,晴時々曇,熊本
2022/2/27,9.7,晴,熊本
2022/2/28,8.7,晴後時々曇,熊本
2022/3/1,9.9,雨時々曇一時晴,熊本
2022/3/2,8.8,晴一時霧,熊本
2022/3/3,8.1,晴後一時曇,熊本
2022/3/4,7.3,曇一時晴,熊本
2022/3/5,9.7,晴,熊本
2022/3/6,7.5,晴,熊本
2022/3/7,7.3,曇,熊本
2022/3/8,8.5,晴一時曇,熊本
2022/3/9,9.8,晴一時曇,熊本
2022/3/10,11.1,晴一時曇,熊本
2022/3/11,14.4,曇時々晴,熊本
2022/3/12,17.4,晴時々曇,熊本
2022/3/13,17.5,曇,熊本
2022/3/14,19.4,曇後一時雨一時晴,熊本
2022/3/15,18.0,晴一時曇,熊本
2022/3/16,16.5,晴一時曇,熊本
2022/3/17,16.1,曇時々晴,熊本
2022/3/18,13.1,大雨後一時晴,熊本
2022/3/19,10.2,曇一時晴後雨,熊本
2022/3/20,10.3,曇時々晴,熊本
2022/3/21,10.2,曇後一時雨,熊本
2022/3/22,10.7,雨後曇一時晴,熊本
2022/3/23,8.6,雨時々曇,熊本
2022/3/24,10.2,晴一時曇、霧を伴う,熊本
2022/3/25,14.4,曇時々晴,熊本
2022/3/26,15.9,雨後時々曇、雷を伴う,熊本
2022/3/27,16.2,晴時々曇,熊本
2022/3/28,14.1,曇,熊本
2022/3/29,14.7,曇,熊本
2022/3/30,18.5,曇後一時晴,熊本
2022/3/31,15.9,雨時々曇,熊本
2022/4/1,12.8,晴時々曇,熊本
2022/4/2,11.4,曇時々晴,熊本
2022/4/3,12.5,晴一時曇,熊本
