年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.7,雪時々みぞれ一時晴後曇,京都
2022/1/2,3.8,晴,京都
2022/1/3,5.7,晴,京都
2022/1/4,4.3,みぞれ時々曇一時雪後雨,京都
2022/1/5,3.6,みぞれ時々雪一時雨後曇,京都
2022/1/6,3.8,曇一時雪後晴、みぞれを伴う,京都
2022/1/7,4.4,みぞれ時々雨一時晴後曇,京都
2022/1/8,5.1,晴時々曇,京都
2022/1/9,6.2,曇時々晴,京都
2022/1/10,7.7,晴一時曇,京都
2022/1/11,5.3,雨時々曇,京都
2022/1/12,2.7,みぞれ時々雪一時曇,京都
2022/1/13,3.5,晴時々曇,京都
2022/1/14,1.5,雪後みぞれ時々雨一時曇,京都
2022/1/15,4.0,曇後時々晴,京都
2022/1/16,4.5,晴時々曇,京都
2022/1/17,5.4,曇時々晴,京都
2022/1/18,2.5,曇時々雪後みぞれ一時晴,京都
2022/1/19,2.8,晴時々雪後曇一時みぞれ,京都
2022/1/20,2.1,みぞれ時々雨一時曇,京都
2022/1/21,1.5,雪時々みぞれ一時曇,京都
2022/1/22,3.1,曇後時々晴,京都
2022/1/23,2.8,曇後時々雨,京都
2022/1/24,5.3,雨後曇時々晴,京都
2022/1/25,4.4,曇時々晴,京都
2022/1/26,5.5,晴後曇一時雨,京都
2022/1/27,5.7,曇時々晴一時雨,京都
2022/1/28,4.8,曇時々晴一時雪,京都
2022/1/29,5.0,曇,京都
2022/1/30,5.1,曇時々晴一時雨,京都
2022/1/31,4.1,曇時々晴,京都
2022/2/1,4.6,晴後曇一時雨,京都
2022/2/2,4.3,晴後曇一時雨,京都
2022/2/3,4.7,曇時々晴一時雨,京都
2022/2/4,5.2,晴後時々曇,京都
2022/2/5,2.6,晴後曇一時雪,京都
2022/2/6,2.0,晴後曇一時雪、みぞれを伴う,京都
2022/2/7,3.6,晴後時々曇,京都
2022/2/8,5.8,曇時々晴後雨,京都
2022/2/9,5.6,晴,京都
2022/2/10,5.8,曇後雨時々晴,京都
2022/2/11,6.1,晴,京都
2022/2/12,6.0,晴一時曇,京都
2022/2/13,4.4,雨時々曇,京都
2022/2/14,6.4,曇後時々晴,京都
2022/2/15,6.3,晴後曇一時雨,京都
2022/2/16,3.7,曇時々晴,京都
2022/2/17,1.4,晴後時々雪,京都
2022/2/18,3.2,晴一時雪、みぞれを伴う,京都
2022/2/19,4.3,曇後時々雨,京都
2022/2/20,4.4,曇時々晴一時雨、みぞれを伴う,京都
2022/2/21,2.2,雪時々晴後曇、みぞれを伴う,京都
2022/2/22,3.0,晴後一時曇一時雨、みぞれを伴う,京都
2022/2/23,2.5,晴後曇一時雪、みぞれを伴う,京都
2022/2/24,2.5,晴後時々曇一時雪、みぞれを伴う,京都
2022/2/25,4.1,晴後時々曇,京都
2022/2/26,6.3,晴,京都
2022/2/27,6.8,曇一時雨後晴,京都
2022/2/28,7.5,晴,京都
2022/3/1,6.2,雨時々曇,京都
2022/3/2,8.8,曇後一時雨,京都
2022/3/3,7.6,晴後曇,京都
2022/3/4,7.2,曇時々晴,京都
2022/3/5,8.3,晴後雨時々曇,京都
2022/3/6,4.5,みぞれ時々曇一時晴後雨,京都
2022/3/7,4.5,曇一時雪、みぞれを伴う,京都
2022/3/8,5.7,晴,京都
2022/3/9,7.0,曇時々晴,京都
2022/3/10,9.2,晴,京都
2022/3/11,11.3,晴,京都
2022/3/12,14.7,晴時々曇,京都
2022/3/13,16.5,曇一時晴,京都
2022/3/14,16.6,曇一時雨後晴,京都
2022/3/15,14.9,晴一時曇,京都
2022/3/16,14.2,晴,京都
2022/3/17,12.4,曇時々晴,京都
2022/3/18,10.7,雨,京都
2022/3/19,9.4,曇後時々雨,京都
2022/3/20,7.9,雨時々晴後曇,京都
2022/3/21,9.2,曇時々晴,京都
2022/3/22,7.0,雨後一時曇一時晴,京都
2022/3/23,7.6,曇時々晴一時雨,京都
2022/3/24,9.9,晴時々曇,京都
2022/3/25,12.8,晴後時々曇,京都
2022/3/26,15.0,雨時々曇,京都
2022/3/27,14.8,晴時々曇一時雨,京都
2022/3/28,10.8,曇時々晴,京都
2022/3/29,11.7,曇,京都
2022/3/30,15.7,晴後曇,京都
2022/3/31,13.1,雨時々曇,京都
2022/4/1,8.8,晴時々曇,京都
2022/4/2,8.8,曇時々晴,京都
2022/4/3,10.9,雨時々曇,京都
2022/4/4,12.1,晴,京都
2022/4/5,13.8,晴,京都
2022/4/6,15.7,晴,京都
2022/4/7,16.5,晴,京都
2022/4/8,15.4,晴,京都
2022/4/9,17.2,晴,京都
2022/4/10,19.4,晴,京都
2022/4/11,19.3,曇時々晴,京都
2022/4/12,20.9,晴,京都
2022/4/13,21.3,曇後一時雨一時晴,京都
2022/4/14,18.7,曇時々雨,京都
2022/4/15,15.6,曇時々雨,京都
2022/4/16,12.2,晴時々雨,京都
2022/4/17,14.3,晴,京都
2022/4/18,17.2,曇一時雨,京都
2022/4/19,16.3,晴,京都
2022/4/20,17.7,晴,京都
2022/4/21,16.7,雨時々曇,京都
2022/4/22,19.2,曇一時雨後晴,京都
2022/4/23,19.1,曇一時晴後時々雨,京都
2022/4/24,17.3,雨時々曇,京都
2022/4/25,21.8,曇一時雨後晴,京都
2022/4/26,20.8,雨時々曇,京都
2022/4/27,19.1,曇一時雨,京都
2022/4/28,18.2,晴一時曇,京都
2022/4/29,15.6,大雨時々曇,京都
2022/4/30,16.0,晴,京都
2022/5/1,14.5,雨後時々曇,京都
2022/5/2,13.3,晴後雨時々曇,京都
2022/5/3,14.6,晴,京都
2022/5/4,17.7,晴,京都
2022/5/5,19.8,晴,京都
2022/5/6,20.4,曇後時々晴,京都
2022/5/7,21.7,晴後一時曇,京都
2022/5/8,16.9,晴時々曇,京都
2022/5/9,14.2,曇後一時雨,京都
2022/5/10,17.6,曇一時晴,京都
2022/5/11,20.6,雨後晴時々曇,京都
2022/5/12,19.9,雨時々曇,京都
2022/5/13,20.6,雨時々曇,京都
2022/5/14,19.3,曇一時雨後時々晴,京都
2022/5/15,16.5,曇後一時雨,京都
2022/5/16,17.9,曇,京都
2022/5/17,17.8,曇,京都
2022/5/18,20.0,晴,京都
2022/5/19,21.3,晴後一時曇,京都
2022/5/20,21.0,曇,京都
2022/5/21,19.1,曇時々雨,京都
2022/5/22,22.2,晴,京都
2022/5/23,21.4,晴,京都
2022/5/24,22.9,晴,京都
2022/5/25,23.8,曇後晴一時雨、雷を伴う,京都
2022/5/26,22.8,曇後時々雨、雷を伴う,京都
2022/5/27,22.0,曇後晴一時雨、雷を伴う,京都
2022/5/28,22.5,晴一時曇,京都
2022/5/29,25.1,晴,京都
2022/5/30,23.0,曇時々晴後雨,京都
2022/5/31,20.8,雨後晴時々曇,京都
2022/6/1,20.8,曇時々晴,京都
2022/6/2,23.4,晴,京都
2022/6/3,23.3,晴,京都
2022/6/4,21.9,晴一時曇,京都
2022/6/5,21.9,曇一時晴後一時雨,京都
2022/6/6,0.0,,京都
2022/6/7,0.0,,京都
2022/6/8,0.0,,京都
2022/6/9,0.0,,京都
2022/6/10,0.0,,京都
2022/6/11,0.0,,京都
2022/6/12,0.0,,京都
2022/6/13,0.0,,京都
2022/6/14,0.0,,京都
2022/6/15,0.0,,京都
2022/6/16,0.0,,京都
2022/6/17,0.0,,京都
2022/6/18,0.0,,京都
2022/6/19,0.0,,京都
2022/6/20,0.0,,京都
2022/6/21,0.0,,京都
2022/6/22,0.0,,京都
2022/6/23,0.0,,京都
2022/6/24,0.0,,京都
2022/6/25,0.0,,京都
2022/6/26,0.0,,京都
2022/6/27,0.0,,京都
2022/6/28,0.0,,京都
2022/6/29,0.0,,京都
2022/6/30,0.0,,京都
