年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.2,晴,前橋
2022/1/2,2.0,晴,前橋
2022/1/3,5.1,晴,前橋
2022/1/4,3.5,晴後時々雨、みぞれを伴う,前橋
2022/1/5,1.7,晴,前橋
2022/1/6,0.0,曇時々晴,前橋
2022/1/7,2.6,晴,前橋
2022/1/8,3.3,晴,前橋
2022/1/9,6.5,晴後一時曇,前橋
2022/1/10,6.8,晴後一時曇,前橋
2022/1/11,5.9,雨時々曇,前橋
2022/1/12,3.6,晴,前橋
2022/1/13,2.9,晴後一時雪一時曇、みぞれを伴う,前橋
2022/1/14,1.5,晴後一時曇,前橋
2022/1/15,4.2,曇時々晴,前橋
2022/1/16,3.7,晴,前橋
2022/1/17,4.2,曇時々晴一時雨、みぞれを伴う,前橋
2022/1/18,1.9,晴一時曇,前橋
2022/1/19,2.4,晴後一時曇,前橋
2022/1/20,1.5,晴時々曇一時雪,前橋
2022/1/21,0.6,晴,前橋
2022/1/22,2.0,晴,前橋
2022/1/23,3.2,曇時々晴,前橋
2022/1/24,5.3,晴時々曇,前橋
2022/1/25,2.6,晴後時々曇,前橋
2022/1/26,4.7,晴時々曇,前橋
2022/1/27,4.7,晴,前橋
2022/1/28,4.5,晴,前橋
2022/1/29,3.8,晴,前橋
2022/1/30,3.2,晴時々曇,前橋
2022/1/31,2.8,晴,前橋
2022/2/1,4.6,晴後一時曇,前橋
2022/2/2,3.9,晴,前橋
2022/2/3,4.7,晴,前橋
2022/2/4,4.4,晴時々曇,前橋
2022/2/5,1.4,曇一時雪後晴,前橋
2022/2/6,0.2,晴一時曇,前橋
2022/2/7,2.4,晴,前橋
2022/2/8,4.4,晴時々曇,前橋
2022/2/9,5.4,晴,前橋
2022/2/10,2.1,みぞれ後時々雨,前橋
2022/2/11,4.3,晴,前橋
2022/2/12,3.6,曇時々晴,前橋
2022/2/13,4.3,曇時々晴一時雨,前橋
2022/2/14,5.1,晴時々曇,前橋
2022/2/15,4.1,曇,前橋
2022/2/16,5.1,晴,前橋
2022/2/17,2.2,晴,前橋
2022/2/18,2.9,みぞれ時々雪後晴一時曇,前橋
2022/2/19,3.9,曇時々晴,前橋
2022/2/20,5.8,曇一時雨後晴,前橋
2022/2/21,1.9,晴一時曇,前橋
2022/2/22,1.5,曇時々晴,前橋
2022/2/23,2.0,晴,前橋
2022/2/24,2.0,晴,前橋
2022/2/25,4.4,晴,前橋
2022/2/26,7.0,晴,前橋
2022/2/27,6.6,晴,前橋
2022/2/28,7.9,晴,前橋
2022/3/1,8.5,晴後曇一時雨,前橋
2022/3/2,10.3,晴,前橋
2022/3/3,6.8,晴,前橋
2022/3/4,7.2,晴後一時曇,前橋
2022/3/5,8.8,晴,前橋
2022/3/6,4.9,晴後曇時々雪一時みぞれ,前橋
2022/3/7,5.4,晴,前橋
2022/3/8,6.5,晴時々曇,前橋
2022/3/9,7.7,晴時々曇,前橋
2022/3/10,8.1,晴,前橋
2022/3/11,10.2,晴,前橋
2022/3/12,13.3,晴,前橋
2022/3/13,13.0,曇時々晴,前橋
2022/3/14,15.7,晴時々曇,前橋
2022/3/15,11.5,晴一時雨,前橋
2022/3/16,12.1,晴後一時曇,前橋
2022/3/17,13.2,曇時々晴,前橋
2022/3/18,4.6,雨,前橋
2022/3/19,9.5,晴後曇一時雨,前橋
2022/3/20,8.3,晴,前橋
2022/3/21,9.0,晴時々曇,前橋
2022/3/22,4.0,雨後一時みぞれ,前橋
2022/3/23,4.7,曇時々晴,前橋
2022/3/24,9.2,晴後一時曇,前橋
2022/3/25,11.4,晴,前橋
2022/3/26,10.8,曇後時々雨,前橋
2022/3/27,16.2,晴,前橋
2022/3/28,10.9,晴後時々曇,前橋
2022/3/29,8.2,曇,前橋
2022/3/30,14.0,晴時々曇,前橋
2022/3/31,15.0,晴後曇一時雨,前橋
2022/4/1,7.4,晴時々曇,前橋
2022/4/2,7.3,晴,前橋
2022/4/3,7.3,雨時々曇,前橋
2022/4/4,7.9,雨,前橋
2022/4/5,13.0,晴,前橋
2022/4/6,15.1,晴時々曇,前橋
2022/4/7,13.1,曇時々晴,前橋
2022/4/8,15.1,晴,前橋
2022/4/9,16.4,晴,前橋
2022/4/10,19.7,晴,前橋
2022/4/11,19.5,曇時々晴,前橋
2022/4/12,20.5,晴,前橋
2022/4/13,21.6,晴時々曇,前橋
2022/4/14,13.4,雨時々曇,前橋
2022/4/15,10.7,雨後時々曇,前橋
2022/4/16,11.7,曇一時雨後晴,前橋
2022/4/17,12.0,曇時々晴,前橋
2022/4/18,12.2,雨一時曇,前橋
2022/4/19,15.3,晴,前橋
2022/4/20,12.2,曇,前橋
2022/4/21,15.3,曇後一時雨,前橋
2022/4/22,20.7,晴,前橋
2022/4/23,20.1,晴時々曇,前橋
2022/4/24,17.1,曇後時々雨,前橋
2022/4/25,20.7,晴,前橋
2022/4/26,19.0,曇時々雨,前橋
2022/4/27,21.6,曇一時雨,前橋
2022/4/28,15.7,曇時々雨,前橋
2022/4/29,13.5,雨時々曇,前橋
2022/4/30,13.7,晴,前橋
2022/5/1,11.4,雨時々曇,前橋
2022/5/2,13.4,晴後曇一時雨、雷を伴う,前橋
2022/5/3,13.7,晴,前橋
2022/5/4,17.2,晴,前橋
2022/5/5,21.0,晴,前橋
2022/5/6,19.8,曇時々晴,前橋
2022/5/7,19.3,晴後時々曇,前橋
2022/5/8,17.7,晴時々曇,前橋
2022/5/9,12.8,雨一時曇,前橋
2022/5/10,15.5,晴後一時曇,前橋
2022/5/11,17.2,曇時々晴,前橋
2022/5/12,19.5,晴後曇一時雨,前橋
2022/5/13,18.3,雨時々曇,前橋
2022/5/14,20.4,曇時々雨一時晴,前橋
2022/5/15,18.1,曇後時々晴,前橋
2022/5/16,14.5,雨時々曇,前橋
2022/5/17,15.6,曇,前橋
2022/5/18,19.4,晴,前橋
2022/5/19,21.1,晴後一時曇,前橋
2022/5/20,21.1,曇後時々晴一時雨、雷を伴う,前橋
2022/5/21,17.8,雨時々曇,前橋
2022/5/22,19.1,曇一時雨後晴,前橋
2022/5/23,0.0,曇一時雨後晴、雷を伴う,前橋
2022/5/24,20.4,晴,前橋
2022/5/25,21.8,晴後時々曇,前橋
2022/5/26,21.1,曇後一時雨,前橋
2022/5/27,20.7,大雨後曇時々晴,前橋
2022/5/28,21.7,晴,前橋
2022/5/29,24.8,晴,前橋
2022/5/30,22.5,晴時々曇,前橋
2022/5/31,18.1,雨後曇時々晴,前橋
2022/6/1,21.2,曇時々晴,前橋
2022/6/2,21.3,晴後時々雨、雷を伴う,前橋
2022/6/3,20.5,曇後晴時々雨、雷を伴う,前橋
2022/6/4,21.1,晴,前橋
2022/6/5,20.8,晴時々雨後曇,前橋
2022/6/6,0.0,,前橋
2022/6/7,0.0,,前橋
2022/6/8,0.0,,前橋
2022/6/9,0.0,,前橋
2022/6/10,0.0,,前橋
2022/6/11,0.0,,前橋
2022/6/12,0.0,,前橋
2022/6/13,0.0,,前橋
2022/6/14,0.0,,前橋
2022/6/15,0.0,,前橋
2022/6/16,0.0,,前橋
2022/6/17,0.0,,前橋
2022/6/18,0.0,,前橋
2022/6/19,0.0,,前橋
2022/6/20,0.0,,前橋
2022/6/21,0.0,,前橋
2022/6/22,0.0,,前橋
2022/6/23,0.0,,前橋
2022/6/24,0.0,,前橋
2022/6/25,0.0,,前橋
2022/6/26,0.0,,前橋
2022/6/27,0.0,,前橋
2022/6/28,0.0,,前橋
2022/6/29,0.0,,前橋
2022/6/30,0.0,,前橋
