年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.1,晴,松山
2022/1/2,6.2,晴一時曇,松山
2022/1/3,6.7,晴,松山
2022/1/4,7.7,晴時々曇,松山
2022/1/5,5.9,晴後曇,松山
2022/1/6,6.3,雨時々曇後晴,松山
2022/1/7,6.0,晴一時曇,松山
2022/1/8,5.7,晴,松山
2022/1/9,7.9,曇時々晴,松山
2022/1/10,7.8,晴,松山
2022/1/11,6.7,雨後時々曇一時晴,松山
2022/1/12,4.3,晴時々曇,松山
2022/1/13,4.9,曇時々晴一時雨、みぞれを伴う,松山
2022/1/14,3.6,晴時々曇,松山
2022/1/15,4.3,曇時々晴,松山
2022/1/16,7.2,曇時々晴後一時雨,松山
2022/1/17,7.2,曇時々晴,松山
2022/1/18,5.3,曇時々晴一時みぞれ,松山
2022/1/19,3.9,晴一時曇,松山
2022/1/20,5.1,曇時々晴一時雨、みぞれを伴う,松山
2022/1/21,3.4,曇時々晴,松山
2022/1/22,4.7,晴時々曇,松山
2022/1/23,6.1,雨,松山
2022/1/24,6.8,曇後一時晴,松山
2022/1/25,6.2,曇後一時晴,松山
2022/1/26,7.3,晴一時曇,松山
2022/1/27,7.1,曇時々晴,松山
2022/1/28,7.0,晴一時曇,松山
2022/1/29,6.1,曇後時々晴,松山
2022/1/30,5.6,曇後一時晴,松山
2022/1/31,5.0,晴一時曇,松山
2022/2/1,5.7,晴後曇時々雨,松山
2022/2/2,5.4,晴時々曇,松山
2022/2/3,6.1,曇後時々晴,松山
2022/2/4,5.2,晴一時曇,松山
2022/2/5,3.8,曇時々晴一時雪,松山
2022/2/6,3.3,晴時々曇,松山
2022/2/7,4.1,曇時々晴,松山
2022/2/8,5.0,雨時々曇,松山
2022/2/9,6.3,晴時々曇,松山
2022/2/10,6.8,曇時々雨後晴,松山
2022/2/11,6.8,晴一時曇,松山
2022/2/12,7.8,曇時々晴,松山
2022/2/13,6.3,雨,松山
2022/2/14,7.4,曇後晴,松山
2022/2/15,7.2,曇時々晴,松山
2022/2/16,4.6,晴一時曇,松山
2022/2/17,1.3,晴時々曇一時雪,松山
2022/2/18,3.7,晴時々曇,松山
2022/2/19,4.2,雨一時曇、みぞれを伴う,松山
2022/2/20,3.8,曇一時雨後晴,松山
2022/2/21,3.1,晴一時曇,松山
2022/2/22,4.0,晴後一時曇一時雨、みぞれを伴う,松山
2022/2/23,2.9,曇後一時晴,松山
2022/2/24,3.4,晴一時曇,松山
2022/2/25,4.2,晴一時曇,松山
2022/2/26,6.3,晴,松山
2022/2/27,9.0,晴,松山
2022/2/28,8.5,晴後時々曇,松山
2022/3/1,9.4,雨時々曇,松山
2022/3/2,10.5,曇時々晴,松山
2022/3/3,8.0,晴一時曇,松山
2022/3/4,7.9,曇時々晴,松山
2022/3/5,11.0,晴一時曇,松山
2022/3/6,7.9,晴,松山
2022/3/7,6.1,曇後一時晴,松山
2022/3/8,7.0,晴一時曇,松山
2022/3/9,8.9,晴一時曇,松山
2022/3/10,10.3,晴後一時曇,松山
2022/3/11,13.1,曇後時々晴,松山
2022/3/12,16.1,曇後晴,松山
2022/3/13,17.7,曇,松山
2022/3/14,19.5,曇一時雨後晴,松山
2022/3/15,16.3,晴,松山
2022/3/16,15.7,晴,松山
2022/3/17,15.2,曇時々晴,松山
2022/3/18,10.9,雨,松山
2022/3/19,10.4,晴時々雨一時曇,松山
2022/3/20,9.6,曇時々晴,松山
2022/3/21,11.2,曇一時晴,松山
2022/3/22,9.1,雨後曇時々晴,松山
2022/3/23,7.7,曇後時々雨,松山
2022/3/24,9.4,晴一時曇,松山
2022/3/25,13.1,晴時々曇,松山
2022/3/26,17.6,雨後時々曇一時晴,松山
2022/3/27,14.3,晴時々曇,松山
2022/3/28,13.0,曇,松山
2022/3/29,12.3,曇後一時晴,松山
2022/3/30,15.7,曇時々晴,松山
2022/3/31,15.3,雨時々曇,松山
2022/4/1,10.9,晴一時曇,松山
2022/4/2,8.8,晴時々曇,松山
2022/4/3,11.0,晴一時曇,松山
2022/4/4,11.6,晴,松山
2022/4/5,12.8,晴後一時曇,松山
2022/4/6,14.7,晴一時曇,松山
2022/4/7,15.4,晴,松山
2022/4/8,15.7,晴,松山
2022/4/9,17.4,晴,松山
2022/4/10,17.9,晴後一時曇,松山
2022/4/11,18.2,曇一時晴,松山
2022/4/12,19.7,曇時々晴,松山
2022/4/13,19.6,晴後曇一時雨,松山
2022/4/14,16.3,雨時々曇、雷を伴う,松山
2022/4/15,14.8,曇時々雨,松山
2022/4/16,13.1,晴一時曇,松山
2022/4/17,13.7,晴一時曇,松山
2022/4/18,15.1,曇,松山
2022/4/19,15.8,晴時々曇,松山
2022/4/20,17.7,晴,松山
2022/4/21,15.1,雨時々曇,松山
2022/4/22,17.4,晴,松山
2022/4/23,17.6,曇後時々雨,松山
2022/4/24,16.1,雨後時々曇,松山
2022/4/25,18.7,曇時々晴,松山
2022/4/26,22.2,大雨時々曇、雷を伴う,松山
2022/4/27,20.5,雨後曇時々晴,松山
2022/4/28,19.7,晴時々曇,松山
2022/4/29,15.6,雨時々曇一時晴,松山
2022/4/30,14.9,晴後一時雨,松山
2022/5/1,15.7,曇後晴一時雨,松山
2022/5/2,15.2,晴,松山
2022/5/3,15.1,晴,松山
2022/5/4,17.4,晴後一時曇,松山
2022/5/5,19.0,晴時々曇,松山
2022/5/6,20.1,曇時々晴,松山
2022/5/7,21.0,晴時々曇,松山
2022/5/8,20.0,晴,松山
2022/5/9,17.4,曇時々雨,松山
2022/5/10,18.0,曇一時晴,松山
2022/5/11,18.5,雨後時々曇,松山
2022/5/12,19.0,雨,松山
2022/5/13,18.6,雨,松山
2022/5/14,18.5,曇時々雨後晴,松山
2022/5/15,16.0,曇後時々雨,松山
2022/5/16,16.6,曇,松山
2022/5/17,17.9,曇後時々晴,松山
2022/5/18,19.6,晴,松山
2022/5/19,20.1,曇時々晴,松山
2022/5/20,20.1,曇,松山
2022/5/21,19.6,曇,松山
2022/5/22,20.8,晴,松山
2022/5/23,21.5,曇時々晴,松山
2022/5/24,22.3,晴,松山
2022/5/25,22.7,晴、雷を伴う,松山
2022/5/26,20.9,曇後時々雨,松山
2022/5/27,21.8,晴,松山
2022/5/28,22.1,晴時々曇,松山
2022/5/29,22.8,晴,松山
2022/5/30,19.1,雨時々曇,松山
2022/5/31,21.8,晴一時曇,松山
2022/6/1,20.6,曇,松山
2022/6/2,21.8,晴,松山
2022/6/3,22.9,晴,松山
2022/6/4,23.7,晴,松山
2022/6/5,19.9,雨時々曇,松山
2022/6/6,0.0,,松山
2022/6/7,0.0,,松山
2022/6/8,0.0,,松山
2022/6/9,0.0,,松山
2022/6/10,0.0,,松山
2022/6/11,0.0,,松山
2022/6/12,0.0,,松山
2022/6/13,0.0,,松山
2022/6/14,0.0,,松山
2022/6/15,0.0,,松山
2022/6/16,0.0,,松山
2022/6/17,0.0,,松山
2022/6/18,0.0,,松山
2022/6/19,0.0,,松山
2022/6/20,0.0,,松山
2022/6/21,0.0,,松山
2022/6/22,0.0,,松山
2022/6/23,0.0,,松山
2022/6/24,0.0,,松山
2022/6/25,0.0,,松山
2022/6/26,0.0,,松山
2022/6/27,0.0,,松山
2022/6/28,0.0,,松山
2022/6/29,0.0,,松山
2022/6/30,0.0,,松山
