年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.6,雨時々曇、みぞれを伴う,松江
2022/1/2,4.4,曇時々晴一時雨,松江
2022/1/3,5.5,晴一時曇,松江
2022/1/4,6.8,雨時々曇一時晴,松江
2022/1/5,4.1,雨時々曇,松江
2022/1/6,5.6,晴後雨時々曇,松江
2022/1/7,5.8,曇後晴一時雨、みぞれを伴う,松江
2022/1/8,5.8,晴,松江
2022/1/9,6.7,曇時々晴,松江
2022/1/10,7.5,晴時々雨後曇,松江
2022/1/11,5.0,雨後みぞれ時々曇一時晴,松江
2022/1/12,3.3,曇一時雪後みぞれ時々雨,松江
2022/1/13,2.8,雪時々曇一時みぞれ、大風を伴う,松江
2022/1/14,2.7,曇時々雪後雨一時みぞれ,松江
2022/1/15,4.5,曇時々晴,松江
2022/1/16,6.9,雨時々曇一時晴,松江
2022/1/17,5.1,雨時々晴後曇,松江
2022/1/18,2.1,雪時々曇後みぞれ一時雨,松江
2022/1/19,2.5,雪時々みぞれ後雨一時曇,松江
2022/1/20,2.5,雪後みぞれ時々曇一時雨,松江
2022/1/21,3.2,雪後曇時々みぞれ一時雨,松江
2022/1/22,3.9,曇時々晴,松江
2022/1/23,3.1,曇後時々雨,松江
2022/1/24,6.3,曇時々雨,松江
2022/1/25,5.3,曇時々雨一時晴,松江
2022/1/26,6.1,雨時々曇一時晴,松江
2022/1/27,6.5,曇後晴一時雨,松江
2022/1/28,7.2,晴時々雨,松江
2022/1/29,6.1,曇時々雨一時晴,松江
2022/1/30,3.4,雨時々曇、みぞれを伴う,松江
2022/1/31,3.9,雨後曇時々晴、雷を伴う,松江
2022/2/1,3.5,雨時々雪一時みぞれ後曇,松江
2022/2/2,4.2,雨後晴時々曇、みぞれを伴う,松江
2022/2/3,5.5,曇時々晴一時雨、みぞれを伴う,松江
2022/2/4,4.1,雨一時みぞれ後曇時々雪,松江
2022/2/5,1.5,雪時々曇一時晴、みぞれを伴う,松江
2022/2/6,1.9,雪時々曇、みぞれを伴う,松江
2022/2/7,3.0,雪時々みぞれ後曇一時雨,松江
2022/2/8,4.0,雨後時々曇,松江
2022/2/9,5.7,晴時々曇一時雨,松江
2022/2/10,6.3,晴時々曇,松江
