年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.6,晴一時曇,水戸
2022/1/2,0.9,晴一時曇,水戸
2022/1/3,3.0,晴,水戸
2022/1/4,2.2,晴一時曇後一時雨,水戸
2022/1/5,1.6,晴一時曇,水戸
2022/1/6,0.0,雪時々曇,水戸
2022/1/7,1.0,晴一時曇,水戸
2022/1/8,1.4,晴一時曇,水戸
2022/1/9,4.4,晴時々曇,水戸
2022/1/10,5.9,曇後一時晴,水戸
2022/1/11,4.7,雨一時みぞれ,水戸
2022/1/12,4.1,晴一時曇,水戸
2022/1/13,2.4,晴時々曇一時雪,水戸
2022/1/14,2.8,晴,水戸
2022/1/15,2.8,曇時々晴,水戸
2022/1/16,3.4,晴,水戸
2022/1/17,3.9,晴時々曇、みぞれを伴う,水戸
2022/1/18,2.1,晴後一時曇,水戸
2022/1/19,1.6,晴時々曇,水戸
2022/1/20,2.0,晴時々曇一時雨、みぞれを伴う,水戸
2022/1/21,1.4,晴時々曇,水戸
2022/1/22,1.7,晴時々曇,水戸
2022/1/23,4.2,曇一時雪,水戸
2022/1/24,4.7,曇後晴,水戸
2022/1/25,2.7,晴後時々曇,水戸
2022/1/26,4.0,曇時々晴一時みぞれ,水戸
2022/1/27,4.5,晴時々曇,水戸
2022/1/28,4.3,晴後一時曇,水戸
2022/1/29,2.7,晴後時々曇,水戸
2022/1/30,3.0,晴後時々曇,水戸
2022/1/31,2.4,晴,水戸
2022/2/1,2.3,晴,水戸
2022/2/2,3.4,晴,水戸
2022/2/3,3.4,晴,水戸
2022/2/4,2.4,曇時々晴,水戸
2022/2/5,1.5,晴時々曇一時雪,水戸
2022/2/6,0.8,晴一時曇,水戸
2022/2/7,1.1,晴一時曇,水戸
2022/2/8,2.4,曇後時々晴,水戸
2022/2/9,3.8,晴時々曇,水戸
2022/2/10,2.8,雨時々みぞれ,水戸
2022/2/11,2.7,曇一時雪後晴、みぞれを伴う,水戸
2022/2/12,2.4,晴時々曇,水戸
2022/2/13,2.8,曇時々晴後雨,水戸
2022/2/14,3.0,曇時々晴,水戸
2022/2/15,4.0,曇一時晴後一時雨,水戸
2022/2/16,5.9,晴時々曇,水戸
2022/2/17,2.7,曇時々晴,水戸
2022/2/18,3.9,晴後一時曇,水戸
2022/2/19,4.0,曇時々雨、みぞれを伴う,水戸
2022/2/20,4.8,雨時々曇,水戸
2022/2/21,1.9,曇時々晴,水戸
2022/2/22,1.8,晴時々曇,水戸
2022/2/23,2.3,晴一時曇,水戸
2022/2/24,3.2,晴一時曇,水戸
2022/2/25,4.5,晴一時曇,水戸
2022/2/26,5.8,晴後一時曇,水戸
