年月日,平均気温,天気概況（昼）,都市
2022/1/1,5.3,晴,宮崎
2022/1/2,8.1,曇後晴,宮崎
2022/1/3,7.8,晴,宮崎
2022/1/4,8.8,晴,宮崎
2022/1/5,7.6,曇時々晴,宮崎
2022/1/6,9.0,雨後曇時々晴,宮崎
2022/1/7,6.0,晴,宮崎
2022/1/8,6.7,曇時々雨,宮崎
2022/1/9,7.9,晴後時々曇,宮崎
2022/1/10,8.1,晴,宮崎
2022/1/11,7.7,晴時々雨,宮崎
2022/1/12,4.3,晴,宮崎
2022/1/13,6.1,晴一時曇,宮崎
2022/1/14,4.9,晴,宮崎
2022/1/15,5.8,曇後一時晴,宮崎
2022/1/16,8.7,晴後曇一時雨,宮崎
2022/1/17,8.4,曇,宮崎
2022/1/18,7.0,晴時々曇,宮崎
2022/1/19,7.0,晴一時曇,宮崎
2022/1/20,7.2,晴,宮崎
2022/1/21,5.5,晴,宮崎
2022/1/22,6.1,晴後曇一時雨,宮崎
2022/1/23,10.7,雨,宮崎
2022/1/24,10.9,雨時々曇,宮崎
2022/1/25,9.6,曇一時雨,宮崎
2022/1/26,10.7,晴,宮崎
2022/1/27,10.3,雨時々曇,宮崎
2022/1/28,9.7,晴時々曇,宮崎
2022/1/29,9.9,曇後一時晴,宮崎
2022/1/30,8.4,曇時々雨,宮崎
2022/1/31,7.3,晴,宮崎
2022/2/1,7.9,晴時々曇,宮崎
2022/2/2,6.8,曇,宮崎
2022/2/3,7.1,雨時々曇,宮崎
2022/2/4,8.1,晴一時曇,宮崎
2022/2/5,5.7,晴,宮崎
2022/2/6,5.0,晴,宮崎
2022/2/7,5.7,曇,宮崎
2022/2/8,7.1,雨後時々曇,宮崎
2022/2/9,8.1,曇時々晴,宮崎
2022/2/10,9.1,雨後曇時々晴,宮崎
2022/2/11,7.9,晴,宮崎
2022/2/12,8.6,雨時々曇,宮崎
2022/2/13,11.6,雨後曇,宮崎
2022/2/14,10.4,曇一時雨後晴,宮崎
2022/2/15,9.2,晴,宮崎
2022/2/16,6.2,晴,宮崎
2022/2/17,5.3,晴後一時曇,宮崎
2022/2/18,6.3,曇時々晴,宮崎
2022/2/19,9.1,雨,宮崎
2022/2/20,6.0,曇時々晴,宮崎
2022/2/21,5.0,曇時々晴,宮崎
2022/2/22,7.4,晴,宮崎
2022/2/23,6.5,曇時々雨、みぞれを伴う,宮崎
2022/2/24,6.2,晴,宮崎
2022/2/25,7.1,晴,宮崎
2022/2/26,9.2,晴,宮崎
2022/2/27,12.5,晴,宮崎
2022/2/28,10.1,晴,宮崎
2022/3/1,12.3,雨時々曇一時晴,宮崎
2022/3/2,12.4,晴時々曇,宮崎
2022/3/3,9.4,晴後時々曇,宮崎
2022/3/4,8.6,晴後雨時々曇,宮崎
2022/3/5,12.5,晴,宮崎
2022/3/6,9.9,晴,宮崎
2022/3/7,7.8,曇,宮崎
2022/3/8,8.2,晴,宮崎
2022/3/9,9.7,晴,宮崎
2022/3/10,11.1,晴後時々曇,宮崎
2022/3/11,13.8,曇後時々晴,宮崎
2022/3/12,15.9,晴,宮崎
2022/3/13,17.4,曇,宮崎
2022/3/14,21.5,晴後曇一時雨,宮崎
2022/3/15,18.5,曇後晴,宮崎
2022/3/16,16.4,晴,宮崎
2022/3/17,16.3,曇,宮崎
2022/3/18,18.1,雨後曇一時晴,宮崎
2022/3/19,13.9,晴後時々曇,宮崎
2022/3/20,12.3,晴時々曇,宮崎
2022/3/21,10.9,雨時々曇,宮崎
2022/3/22,11.6,曇時々雨,宮崎
2022/3/23,10.6,雨時々曇,宮崎
2022/3/24,11.0,晴,宮崎
2022/3/25,14.2,曇時々晴,宮崎
2022/3/26,18.4,大雨後時々曇一時晴、雷を伴う,宮崎
2022/3/27,16.9,曇一時雨後晴,宮崎
2022/3/28,14.7,曇時々雨,宮崎
2022/3/29,12.9,雨,宮崎
2022/3/30,15.6,曇後一時雨,宮崎
2022/3/31,17.3,曇後晴時々雨,宮崎
