年月日,平均気温,天気概況（昼）,都市
2022/1/1,-6.1,曇時々晴一時雪,盛岡
2022/1/2,-2.0,曇時々雪,盛岡
2022/1/3,-2.9,晴時々曇,盛岡
2022/1/4,-4.4,曇時々雪,盛岡
2022/1/5,-5.0,晴時々曇,盛岡
2022/1/6,-4.4,晴時々曇,盛岡
2022/1/7,-2.6,雪時々曇後晴,盛岡
2022/1/8,-1.2,曇時々晴一時雪,盛岡
2022/1/9,1.0,雪時々曇後晴、みぞれを伴う,盛岡
2022/1/10,-1.4,晴,盛岡
2022/1/11,0.0,雪時々曇,盛岡
2022/1/12,-1.1,雪時々曇一時晴,盛岡
2022/1/13,-1.6,晴時々曇,盛岡
2022/1/14,-2.5,晴時々曇,盛岡
2022/1/15,-0.1,曇時々晴,盛岡
2022/1/16,-1.6,曇後時々雪,盛岡
2022/1/17,-0.4,曇時々晴一時雪,盛岡
2022/1/18,-4.2,雪後曇時々晴,盛岡
2022/1/19,-3.3,晴時々雪後曇,盛岡
2022/1/20,-2.0,曇時々晴後雪,盛岡
2022/1/21,-2.6,雪時々曇後晴,盛岡
2022/1/22,-1.4,曇一時雪後晴,盛岡
2022/1/23,-2.4,曇時々晴,盛岡
2022/1/24,-0.1,曇時々晴,盛岡
2022/1/25,-2.0,曇一時晴,盛岡
2022/1/26,-0.6,晴後曇一時雪,盛岡
2022/1/27,-0.6,晴時々曇、霧を伴う,盛岡
2022/1/28,-3.1,晴時々曇,盛岡
2022/1/29,-2.2,晴時々曇,盛岡
2022/1/30,-3.2,曇時々晴,盛岡
2022/1/31,-3.4,曇時々晴,盛岡
2022/2/1,-3.9,曇時々晴,盛岡
2022/2/2,-1.8,曇時々晴,盛岡
2022/2/3,-1.9,晴時々曇,盛岡
2022/2/4,-2.0,晴一時曇,盛岡
2022/2/5,-5.0,雪後曇時々晴,盛岡
2022/2/6,-5.1,曇一時雪後晴,盛岡
2022/2/7,-3.2,曇時々晴一時雪,盛岡
2022/2/8,-1.6,雪後曇時々晴,盛岡
2022/2/9,-1.8,晴一時曇,盛岡
2022/2/10,-2.3,曇,盛岡
2022/2/11,-1.1,曇時々晴,盛岡
2022/2/12,-1.7,晴後時々曇,盛岡
2022/2/13,1.1,晴時々曇,盛岡
2022/2/14,-0.9,晴後時々曇,盛岡
2022/2/15,-1.2,雪時々曇,盛岡
2022/2/16,0.1,曇時々雪一時みぞれ,盛岡
2022/2/17,-0.3,曇一時雪後時々晴,盛岡
2022/2/18,0.0,晴後曇一時雪、みぞれを伴う,盛岡
2022/2/19,0.0,曇一時雪,盛岡
2022/2/20,-0.1,曇後一時雪時々みぞれ一時晴,盛岡
2022/2/21,-4.5,曇時々雪一時晴,盛岡
2022/2/22,-3.8,曇時々晴,盛岡
2022/2/23,-3.0,曇時々晴,盛岡
2022/2/24,-1.4,曇時々晴一時雪,盛岡
2022/2/25,1.2,曇一時晴後時々雪,盛岡
2022/2/26,3.1,雨時々曇、みぞれを伴う,盛岡
2022/2/27,2.6,雨時々曇一時雪、みぞれを伴う,盛岡
2022/2/28,1.8,晴時々曇、霧を伴う,盛岡
2022/3/1,0.5,曇一時晴後みぞれ時々雨,盛岡
2022/3/2,2.2,晴時々曇,盛岡
2022/3/3,0.8,雪時々曇一時みぞれ,盛岡
2022/3/4,0.0,曇時々晴,盛岡
2022/3/5,0.7,曇時々晴後雨、みぞれを伴う,盛岡
2022/3/6,-0.4,雪時々曇一時晴,盛岡
2022/3/7,2.1,曇後みぞれ時々雨一時晴,盛岡
2022/3/8,2.0,曇時々晴一時雪,盛岡
2022/3/9,1.4,曇後時々晴,盛岡
2022/3/10,2.4,晴一時曇,盛岡
2022/3/11,5.8,曇時々晴,盛岡
2022/3/12,6.0,晴,盛岡
