年月日,平均気温,天気概況（昼）,都市
2022/1/1,-5.2,雪時々曇一時晴,室蘭
2022/1/2,0.0,曇一時晴後雪時々みぞれ,室蘭
2022/1/3,-5.2,雪時々曇、大風を伴う,室蘭
2022/1/4,-6.1,雪時々曇,室蘭
2022/1/5,-2.5,晴時々雪一時曇,室蘭
2022/1/6,-1.8,晴時々曇,室蘭
2022/1/7,-2.2,雪後晴時々曇,室蘭
2022/1/8,-0.3,雪時々曇一時晴後一時みぞれ,室蘭
2022/1/9,-0.6,曇時々晴一時雪,室蘭
2022/1/10,-1.5,晴時々雪一時曇,室蘭
2022/1/11,0.4,曇一時雪後みぞれ時々雨,室蘭
2022/1/12,1.1,曇後一時雪一時みぞれ,室蘭
2022/1/13,-0.1,曇後晴時々雪、大風を伴う,室蘭
2022/1/14,-0.1,雪時々曇,室蘭
2022/1/15,1.0,曇一時雪後晴,室蘭
2022/1/16,0.5,曇一時晴後みぞれ時々雪,室蘭
2022/1/17,-0.5,雪後曇時々晴、みぞれを伴う,室蘭
2022/1/18,-1.9,晴時々雪後曇,室蘭
2022/1/19,-1.0,晴,室蘭
2022/1/20,-2.0,曇一時雪,室蘭
2022/1/21,-1.7,晴時々雪一時曇,室蘭
2022/1/22,-1.5,晴後時々曇一時雪,室蘭
2022/1/23,-1.1,晴一時雪後曇,室蘭
2022/1/24,-1.2,雪後晴時々曇,室蘭
2022/1/25,-0.8,曇時々晴後雪,室蘭
2022/1/26,0.6,曇時々雪,室蘭
2022/1/27,-0.7,晴時々曇後雪,室蘭
2022/1/28,-2.0,晴後雪時々曇,室蘭
2022/1/29,-4.0,曇後雪時々晴,室蘭
2022/1/30,-6.7,雪時々曇一時晴,室蘭
2022/1/31,-6.6,雪時々曇一時晴,室蘭
2022/2/1,-2.4,晴時々曇一時雪,室蘭
2022/2/2,-1.6,雪時々曇一時晴,室蘭
2022/2/3,-2.8,曇時々晴後雪,室蘭
2022/2/4,-3.2,曇時々晴一時雪,室蘭
2022/2/5,-3.6,雪時々曇一時晴,室蘭
2022/2/6,-3.0,晴時々雪一時曇,室蘭
2022/2/7,-2.5,雪時々曇後晴,室蘭
2022/2/8,-2.1,雪一時晴後曇,室蘭
2022/2/9,-2.0,晴時々雪,室蘭
2022/2/10,-2.1,晴,室蘭
2022/2/11,-1.5,晴時々曇一時雪,室蘭
2022/2/12,-0.8,雪後曇時々晴,室蘭
2022/2/13,-0.9,晴後一時曇,室蘭
2022/2/14,-0.5,晴時々曇後雪,室蘭
2022/2/15,-1.7,雪時々曇一時晴,室蘭
2022/2/16,-0.2,曇時々雪,室蘭
2022/2/17,-0.3,雪時々曇後晴,室蘭
2022/2/18,-0.9,晴後時々雪,室蘭
2022/2/19,-0.3,曇時々晴一時雪,室蘭
2022/2/20,-0.5,雪時々曇後晴,室蘭
2022/2/21,-2.9,雪、大風を伴う,室蘭
2022/2/22,-2.6,雪時々曇,室蘭
2022/2/23,-2.2,雪時々曇,室蘭
2022/2/24,-1.5,曇時々雪一時晴,室蘭
2022/2/25,0.7,曇時々雪一時晴,室蘭
2022/2/26,3.5,晴後曇一時雨、みぞれを伴う,室蘭
2022/2/27,1.8,みぞれ後曇時々晴,室蘭
2022/2/28,0.7,曇時々雪後晴,室蘭
2022/3/1,1.1,曇後みぞれ一時雪,室蘭
2022/3/2,0.5,曇一時雪後晴,室蘭
2022/3/3,0.2,雪時々みぞれ一時曇,室蘭
2022/3/4,0.8,晴,室蘭
2022/3/5,0.6,曇後みぞれ一時雨,室蘭
2022/3/6,0.3,曇後雪時々晴、みぞれを伴う,室蘭
2022/3/7,1.9,晴時々曇,室蘭
2022/3/8,1.9,曇一時雪後晴、みぞれを伴う,室蘭
2022/3/9,1.8,晴,室蘭
2022/3/10,3.2,晴,室蘭
2022/3/11,3.7,曇後時々雨一時晴、みぞれを伴う,室蘭
2022/3/12,3.7,晴後一時曇,室蘭
2022/3/13,2.1,曇時々晴,室蘭
2022/3/14,2.6,曇時々雨、みぞれを伴う,室蘭
2022/3/15,0.9,みぞれ一時雪,室蘭
2022/3/16,2.6,曇後一時雨一時晴、みぞれを伴う,室蘭
2022/3/17,2.1,曇後雨時々晴、みぞれを伴う,室蘭
2022/3/18,1.4,晴後時々曇,室蘭
2022/3/19,1.5,雪後曇時々晴、みぞれを伴う,室蘭
2022/3/20,1.9,曇時々晴,室蘭
2022/3/21,1.1,晴時々雪一時曇、みぞれを伴う,室蘭
2022/3/22,2.9,晴時々曇一時雨、みぞれを伴う,室蘭
2022/3/23,3.0,曇時々晴,室蘭
2022/3/24,3.2,晴時々曇,室蘭
2022/3/25,5.4,晴後時々曇,室蘭
2022/3/26,4.3,曇後一時雨,室蘭
2022/3/27,6.0,晴時々曇,室蘭
2022/3/28,4.3,晴一時曇後時々雨、みぞれを伴う,室蘭
2022/3/29,5.8,晴,室蘭
2022/3/30,5.5,曇時々晴,室蘭
2022/3/31,4.4,晴時々曇,室蘭
2022/4/1,1.5,晴時々雪後曇、みぞれを伴う,室蘭
2022/4/2,4.0,晴,室蘭
2022/4/3,6.1,晴一時曇後一時雨,室蘭
2022/4/4,5.0,晴,室蘭
2022/4/5,5.3,晴一時霧,室蘭
2022/4/6,6.0,曇時々晴一時雨,室蘭
2022/4/7,3.6,晴後時々曇,室蘭
2022/4/8,4.1,晴、みぞれを伴う,室蘭
2022/4/9,7.9,晴後時々曇,室蘭
2022/4/10,7.1,晴一時霧後曇時々雨,室蘭
2022/4/11,9.1,晴時々曇,室蘭
2022/4/12,14.0,晴時々曇一時雨,室蘭
2022/4/13,7.9,曇一時雨,室蘭
2022/4/14,4.8,曇時々晴,室蘭
