年月日,平均気温,天気概況（昼）,都市
2022/1/1,-3.4,曇一時雪後晴,長野
2022/1/2,-3.4,晴時々曇,長野
2022/1/3,0.4,晴時々曇一時雪,長野
2022/1/4,-1.1,雪一時みぞれ、雷を伴う,長野
2022/1/5,-3.3,曇時々晴一時雪,長野
2022/1/6,-3.3,曇時々晴,長野
2022/1/7,-1.8,曇時々晴一時雪,長野
2022/1/8,-2.6,晴時々曇,長野
2022/1/9,0.8,晴時々曇,長野
2022/1/10,2.6,曇時々晴一時雨、みぞれを伴う,長野
2022/1/11,3.5,雨時々曇、みぞれを伴う,長野
2022/1/12,-1.3,曇一時雪後時々晴,長野
2022/1/13,-2.8,曇後雪,長野
2022/1/14,-3.2,雪時々曇,長野
2022/1/15,-3.0,曇時々晴,長野
2022/1/16,-1.4,曇時々晴,長野
2022/1/17,-0.4,雪時々曇、みぞれを伴う,長野
2022/1/18,-2.5,曇時々雪,長野
2022/1/19,-2.7,晴時々曇,長野
2022/1/20,-2.9,雪時々曇,長野
2022/1/21,-3.7,曇時々雪,長野
2022/1/22,-4.5,晴時々曇,長野
2022/1/23,-3.4,曇一時晴,長野
2022/1/24,0.6,曇一時雪,長野
2022/1/25,-0.2,晴時々曇,長野
2022/1/26,1.2,曇時々晴一時雪、みぞれを伴う,長野
2022/1/27,-0.1,曇時々晴一時雪、みぞれを伴う,長野
2022/1/28,-1.2,曇時々晴一時雪,長野
2022/1/29,-0.2,曇一時雪後晴,長野
2022/1/30,-1.3,曇時々雪一時晴,長野
2022/1/31,-1.0,曇時々晴,長野
2022/2/1,-0.7,晴後時々曇,長野
2022/2/2,-0.3,曇一時雪後時々晴,長野
2022/2/3,0.5,曇時々晴一時雪,長野
2022/2/4,-0.3,晴時々曇一時雪,長野
2022/2/5,-2.9,雪時々曇,長野
2022/2/6,-3.5,雪時々曇,長野
2022/2/7,-2.5,曇時々晴,長野
2022/2/8,-0.8,曇時々晴,長野
2022/2/9,0.5,晴時々曇,長野
2022/2/10,-0.8,雪一時曇、みぞれを伴う,長野
2022/2/11,-0.3,曇時々晴一時雪、みぞれを伴う,長野
2022/2/12,-0.6,曇時々晴,長野
2022/2/13,-0.6,曇一時晴後一時みぞれ,長野
2022/2/14,1.0,曇一時雪後晴,長野
2022/2/15,2.5,曇時々晴一時雨,長野
2022/2/16,0.4,曇,長野
2022/2/17,-2.1,曇時々雪一時晴,長野
2022/2/18,-1.2,雪時々曇、雷を伴う,長野
2022/2/19,0.2,曇一時晴、みぞれを伴う,長野
2022/2/20,0.5,曇時々みぞれ一時雪,長野
2022/2/21,-3.7,雪一時曇,長野
2022/2/22,-3.3,雪時々曇,長野
2022/2/23,-2.8,曇時々晴一時雪,長野
2022/2/24,-2.8,晴一時曇,長野
2022/2/25,-1.3,晴一時曇,長野
2022/2/26,1.6,晴一時曇,長野
2022/2/27,0.8,みぞれ時々曇後雨一時晴,長野
2022/2/28,2.8,晴時々曇,長野
2022/3/1,3.3,曇一時晴後雨,長野
2022/3/2,3.7,晴時々曇,長野
2022/3/3,1.6,晴後一時雨、みぞれを伴う,長野
2022/3/4,2.2,晴後一時曇,長野
2022/3/5,4.1,晴後時々曇,長野
2022/3/6,-0.5,雪時々曇、みぞれを伴う,長野
2022/3/7,1.0,曇時々晴一時雪,長野
2022/3/8,1.7,晴時々曇,長野
2022/3/9,2.8,晴,長野
2022/3/10,3.8,晴時々曇,長野
2022/3/11,7.0,晴時々曇,長野
2022/3/12,7.3,晴一時曇,長野
2022/3/13,9.9,曇時々晴,長野
2022/3/14,10.8,晴一時雨後時々曇,長野
2022/3/15,10.1,晴時々曇,長野
2022/3/16,8.1,晴,長野
2022/3/17,5.7,晴後時々曇,長野
2022/3/18,4.2,雨時々曇,長野
2022/3/19,4.4,曇時々雨一時晴,長野
2022/3/20,2.5,みぞれ一時曇後晴時々雨,長野
2022/3/21,3.5,晴時々曇,長野
2022/3/22,1.1,みぞれ時々曇,長野
2022/3/23,3.6,曇時々晴,長野
2022/3/24,6.9,晴一時曇,長野
2022/3/25,9.6,晴,長野
2022/3/26,13.7,雨時々曇,長野
2022/3/27,9.6,曇一時雨後晴,長野
2022/3/28,5.0,曇時々晴一時雨,長野
2022/3/29,8.7,曇,長野
2022/3/30,11.2,晴後一時曇,長野
2022/3/31,7.5,曇時々雨,長野
2022/4/1,3.4,曇後晴,長野
2022/4/2,4.9,晴,長野
2022/4/3,6.7,晴一時曇後時々雨,長野
2022/4/4,8.1,曇一時雨,長野
2022/4/5,11.2,晴一時曇,長野
2022/4/6,10.9,晴時々曇,長野
2022/4/7,12.5,曇時々晴,長野
2022/4/8,9.0,晴,長野
2022/4/9,13.4,晴,長野
2022/4/10,15.9,晴,長野
2022/4/11,16.8,曇時々晴,長野
2022/4/12,17.8,晴,長野
2022/4/13,16.4,晴時々曇,長野
2022/4/14,12.9,雨時々曇,長野
2022/4/15,11.1,曇時々雨,長野
2022/4/16,7.7,曇時々晴一時雨,長野
2022/4/17,8.5,晴後一時雨,長野
2022/4/18,10.1,雨時々曇,長野
2022/4/19,10.4,晴,長野
2022/4/20,13.0,晴,長野
2022/4/21,14.5,曇後一時雨,長野
2022/4/22,15.6,晴,長野
2022/4/23,13.1,曇時々晴,長野
2022/4/24,15.0,曇,長野
2022/4/25,18.0,晴,長野
2022/4/26,20.3,曇後雨,長野
2022/4/27,14.8,曇一時雨,長野
2022/4/28,13.1,曇後晴,長野
2022/4/29,11.4,曇後雨,長野
2022/4/30,11.0,晴一時雨,長野
2022/5/1,9.9,雨時々曇,長野
2022/5/2,9.5,晴後曇一時雨,長野
2022/5/3,9.8,晴,長野
2022/5/4,14.6,晴,長野
2022/5/5,17.5,晴,長野
2022/5/6,19.4,晴時々曇,長野
2022/5/7,19.3,晴後一時曇,長野
2022/5/8,11.9,晴後時々曇,長野
2022/5/9,9.4,曇後時々雨,長野
2022/5/10,0.0,晴時々曇,長野
2022/5/11,17.8,曇時々晴,長野
2022/5/12,20.2,晴時々曇後一時雨,長野
2022/5/13,18.9,曇後時々雨,長野
2022/5/14,15.8,曇一時雨,長野
2022/5/15,13.0,曇,長野
2022/5/16,13.5,曇,長野
2022/5/17,14.4,曇,長野
2022/5/18,16.3,晴一時曇,長野
2022/5/19,18.1,晴後時々曇,長野
2022/5/20,18.1,曇、雷を伴う,長野
2022/5/21,15.8,雨,長野
2022/5/22,16.4,曇一時雨後時々晴,長野
2022/5/23,15.8,晴一時曇,長野
2022/5/24,17.8,晴,長野
2022/5/25,19.6,晴一時雨、雷を伴う,長野
2022/5/26,19.5,曇時々晴後一時雨,長野
2022/5/27,18.3,晴時々雨一時曇、雷を伴う,長野
2022/5/28,18.4,晴,長野
2022/5/29,20.3,晴,長野
2022/5/30,22.0,晴後一時曇,長野
2022/5/31,18.9,曇後時々晴,長野
2022/6/1,17.8,曇時々晴,長野
2022/6/2,19.9,晴後一時雨一時曇、雷を伴う,長野
2022/6/3,17.4,曇一時雨後晴、雷を伴う,長野
2022/6/4,16.5,晴時々曇,長野
2022/6/5,18.9,曇時々晴,長野
2022/6/6,0.0,,長野
2022/6/7,0.0,,長野
2022/6/8,0.0,,長野
2022/6/9,0.0,,長野
2022/6/10,0.0,,長野
2022/6/11,0.0,,長野
2022/6/12,0.0,,長野
2022/6/13,0.0,,長野
2022/6/14,0.0,,長野
2022/6/15,0.0,,長野
2022/6/16,0.0,,長野
2022/6/17,0.0,,長野
2022/6/18,0.0,,長野
2022/6/19,0.0,,長野
2022/6/20,0.0,,長野
2022/6/21,0.0,,長野
2022/6/22,0.0,,長野
2022/6/23,0.0,,長野
2022/6/24,0.0,,長野
2022/6/25,0.0,,長野
2022/6/26,0.0,,長野
2022/6/27,0.0,,長野
2022/6/28,0.0,,長野
2022/6/29,0.0,,長野
2022/6/30,0.0,,長野
