年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.9,晴,長崎
2022/1/2,7.0,曇一時雨後晴,長崎
2022/1/3,7.1,晴,長崎
2022/1/4,6.7,晴後一時曇,長崎
2022/1/5,7.1,曇一時雨,長崎
2022/1/6,8.0,晴一時曇,長崎
2022/1/7,7.2,晴時々曇,長崎
2022/1/8,8.1,晴,長崎
2022/1/9,8.5,曇後一時晴,長崎
2022/1/10,8.2,晴,長崎
2022/1/11,6.3,雨時々曇一時雪、みぞれを伴う,長崎
2022/1/12,4.5,曇,長崎
2022/1/13,5.1,雨一時晴後曇、みぞれを伴う,長崎
2022/1/14,4.7,晴,長崎
2022/1/15,5.5,曇後一時雨,長崎
2022/1/16,8.3,曇時々雨一時晴,長崎
2022/1/17,7.1,曇時々晴,長崎
2022/1/18,6.3,晴時々曇,長崎
2022/1/19,4.7,晴,長崎
2022/1/20,6.6,曇一時雨後晴,長崎
2022/1/21,6.3,晴後一時曇,長崎
2022/1/22,7.4,曇後一時雨,長崎
2022/1/23,8.5,大雨,長崎
2022/1/24,9.2,曇後時々晴,長崎
2022/1/25,8.0,晴時々曇,長崎
2022/1/26,9.2,晴一時曇,長崎
2022/1/27,8.7,曇,長崎
2022/1/28,8.5,晴後一時曇,長崎
2022/1/29,7.8,曇後一時晴,長崎
2022/1/30,7.9,曇時々晴,長崎
2022/1/31,6.3,晴,長崎
2022/2/1,7.1,曇時々雨一時晴,長崎
2022/2/2,5.3,曇一時晴,長崎
2022/2/3,6.5,曇一時雨,長崎
2022/2/4,6.1,晴時々曇,長崎
2022/2/5,4.5,雪時々曇一時みぞれ,長崎
2022/2/6,4.2,曇時々晴,長崎
2022/2/7,6.4,曇一時晴,長崎
2022/2/8,6.5,曇一時雨,長崎
2022/2/9,7.9,晴後時々曇,長崎
2022/2/10,8.8,曇後一時雨一時晴,長崎
2022/2/11,8.1,晴時々曇,長崎
2022/2/12,9.8,曇,長崎
2022/2/13,9.0,曇時々雨,長崎
2022/2/14,10.2,曇後晴,長崎
2022/2/15,8.1,曇一時雨後晴,長崎
2022/2/16,4.5,曇時々雪後みぞれ一時雨,長崎
2022/2/17,2.0,曇一時雪後晴,長崎
2022/2/18,5.8,曇時々晴,長崎
2022/2/19,6.2,雨後一時曇,長崎
2022/2/20,3.7,曇時々雪一時晴,長崎
2022/2/21,3.9,晴一時曇,長崎
2022/2/22,5.7,晴時々曇,長崎
2022/2/23,4.7,曇,長崎
2022/2/24,3.9,晴,長崎
2022/2/25,6.0,晴,長崎
2022/2/26,8.3,晴時々曇,長崎
2022/2/27,10.5,晴,長崎
2022/2/28,9.1,晴後時々曇,長崎
2022/3/1,13.5,曇時々雨,長崎
2022/3/2,9.8,晴後時々曇,長崎
2022/3/3,9.3,晴後一時曇,長崎
2022/3/4,8.9,曇時々晴,長崎
2022/3/5,10.8,晴一時曇,長崎
2022/3/6,7.8,晴,長崎
2022/3/7,8.4,曇後一時晴,長崎
2022/3/8,9.1,晴,長崎
2022/3/9,10.6,晴,長崎
2022/3/10,11.5,晴一時曇,長崎
2022/3/11,14.7,晴時々曇,長崎
2022/3/12,17.1,晴,長崎
2022/3/13,18.5,曇時々雨,長崎
2022/3/14,19.1,曇時々雨一時晴,長崎
2022/3/15,15.6,晴一時曇,長崎
2022/3/16,15.6,晴,長崎
2022/3/17,15.3,曇時々晴,長崎
2022/3/18,12.9,雨後曇時々晴,長崎
2022/3/19,10.4,曇時々雨,長崎
2022/3/20,10.5,曇時々晴一時雨,長崎
2022/3/21,10.1,曇後時々雨,長崎
2022/3/22,11.2,曇一時雨,長崎
2022/3/23,9.2,曇後雨時々晴,長崎
2022/3/24,10.5,晴,長崎
2022/3/25,14.9,曇時々晴,長崎
2022/3/26,16.3,雨後曇,長崎
2022/3/27,15.7,晴時々曇,長崎
2022/3/28,13.8,曇,長崎
2022/3/29,14.7,曇後時々晴,長崎
2022/3/30,18.4,曇一時雨,長崎
2022/3/31,16.5,雨時々曇,長崎
2022/4/1,12.4,晴後時々曇,長崎
2022/4/2,11.1,晴時々曇,長崎
2022/4/3,12.2,晴,長崎
2022/4/4,13.3,晴,長崎
2022/4/5,13.2,晴後時々曇,長崎
2022/4/6,15.0,晴一時曇,長崎
2022/4/7,15.0,晴一時曇,長崎
2022/4/8,15.7,晴,長崎
2022/4/9,16.6,晴,長崎
2022/4/10,17.9,晴後一時曇,長崎
2022/4/11,17.8,雨時々曇,長崎
2022/4/12,19.8,曇一時雨後晴,長崎
2022/4/13,18.7,曇時々晴,長崎
2022/4/14,15.9,雨時々曇,長崎
2022/4/15,15.0,曇時々晴,長崎
2022/4/16,13.6,晴時々曇,長崎
2022/4/17,14.9,晴,長崎
2022/4/18,15.4,曇後一時雨,長崎
2022/4/19,15.9,晴時々曇,長崎
2022/4/20,17.4,晴,長崎
2022/4/21,15.5,雨,長崎
2022/4/22,17.1,晴,長崎
2022/4/23,17.3,雨,長崎
2022/4/24,18.9,曇時々雨一時晴,長崎
2022/4/25,21.2,晴時々曇,長崎
2022/4/26,22.2,大雨時々曇、雷を伴う,長崎
2022/4/27,20.6,曇後時々晴一時雨,長崎
2022/4/28,20.2,晴,長崎
2022/4/29,17.2,曇時々雨、雷を伴う,長崎
2022/4/30,15.7,晴時々曇,長崎
2022/5/1,16.3,曇,長崎
2022/5/2,16.9,晴一時曇,長崎
2022/5/3,17.1,晴,長崎
2022/5/4,17.3,晴後時々曇,長崎
2022/5/5,20.0,晴後曇,長崎
2022/5/6,21.1,曇時々晴,長崎
2022/5/7,21.4,曇時々晴,長崎
2022/5/8,20.6,晴,長崎
2022/5/9,19.7,雨後曇時々晴,長崎
2022/5/10,21.0,曇一時晴,長崎
2022/5/11,20.6,雨時々曇,長崎
2022/5/12,21.1,雨後時々曇,長崎
2022/5/13,20.0,雨,長崎
2022/5/14,19.4,晴一時雨,長崎
2022/5/15,17.1,曇時々雨,長崎
2022/5/16,17.7,曇後時々晴,長崎
2022/5/17,18.9,晴一時曇,長崎
2022/5/18,20.2,晴,長崎
2022/5/19,19.8,曇,長崎
2022/5/20,19.6,曇時々雨,長崎
2022/5/21,20.2,曇時々晴,長崎
2022/5/22,20.6,晴一時曇,長崎
2022/5/23,20.5,曇後一時晴,長崎
2022/5/24,21.8,晴時々曇,長崎
2022/5/25,22.8,晴,長崎
2022/5/26,20.7,曇後時々雨,長崎
2022/5/27,21.0,晴,長崎
2022/5/28,21.9,曇時々晴,長崎
2022/5/29,21.9,曇後雨一時晴,長崎
2022/5/30,21.2,曇時々雨,長崎
2022/5/31,22.2,晴時々曇,長崎
2022/6/1,21.4,曇後一時雨,長崎
2022/6/2,21.8,晴,長崎
2022/6/3,22.5,晴,長崎
2022/6/4,23.8,晴後時々曇,長崎
2022/6/5,20.3,雨,長崎
2022/6/6,0.0,,長崎
2022/6/7,0.0,,長崎
2022/6/8,0.0,,長崎
2022/6/9,0.0,,長崎
2022/6/10,0.0,,長崎
2022/6/11,0.0,,長崎
2022/6/12,0.0,,長崎
2022/6/13,0.0,,長崎
2022/6/14,0.0,,長崎
2022/6/15,0.0,,長崎
2022/6/16,0.0,,長崎
2022/6/17,0.0,,長崎
2022/6/18,0.0,,長崎
2022/6/19,0.0,,長崎
2022/6/20,0.0,,長崎
2022/6/21,0.0,,長崎
2022/6/22,0.0,,長崎
2022/6/23,0.0,,長崎
2022/6/24,0.0,,長崎
2022/6/25,0.0,,長崎
2022/6/26,0.0,,長崎
2022/6/27,0.0,,長崎
2022/6/28,0.0,,長崎
2022/6/29,0.0,,長崎
2022/6/30,0.0,,長崎
