年月日,平均気温,天気概況（昼）,都市
2022/1/1,1.4,晴,名古屋
2022/1/2,2.2,晴,名古屋
2022/1/3,4.5,晴時々曇,名古屋
2022/1/4,4.7,晴一時雨,名古屋
2022/1/5,3.3,晴,名古屋
2022/1/6,3.1,曇一時雪,名古屋
2022/1/7,3.9,晴,名古屋
2022/1/8,3.8,快晴,名古屋
2022/1/9,5.5,薄曇時々晴,名古屋
2022/1/10,8.4,晴,名古屋
2022/1/11,5.7,雨時々曇,名古屋
2022/1/12,2.9,晴,名古屋
2022/1/13,2.9,曇後晴一時雪,名古屋
2022/1/14,2.0,晴一時雪,名古屋
2022/1/15,3.4,薄曇時々晴,名古屋
2022/1/16,4.3,晴,名古屋
2022/1/17,5.7,曇後一時晴,名古屋
2022/1/18,2.5,晴一時雪,名古屋
2022/1/19,2.1,晴時々曇,名古屋
2022/1/20,2.5,晴時々曇,名古屋
2022/1/21,2.1,晴,名古屋
2022/1/22,2.8,快晴,名古屋
2022/1/23,2.0,曇後時々雨、みぞれを伴う,名古屋
2022/1/24,5.6,曇後晴,名古屋
2022/1/25,5.9,曇一時晴,名古屋
2022/1/26,6.9,晴後時々曇,名古屋
2022/1/27,7.0,晴時々薄曇,名古屋
2022/1/28,5.8,晴一時曇,名古屋
2022/1/29,5.5,曇,名古屋
2022/1/30,4.8,曇一時晴,名古屋
2022/1/31,4.6,晴,名古屋
2022/2/1,5.1,晴時々曇,名古屋
2022/2/2,4.6,晴後一時曇,名古屋
2022/2/3,4.6,曇一時晴,名古屋
2022/2/4,4.8,晴時々曇,名古屋
2022/2/5,1.6,雪時々曇,名古屋
2022/2/6,0.9,雪時々曇後晴,名古屋
2022/2/7,2.7,晴一時曇,名古屋
2022/2/8,5.3,曇時々晴,名古屋
2022/2/9,6.0,晴後薄曇,名古屋
2022/2/10,3.8,雨一時雪,名古屋
2022/2/11,5.9,快晴,名古屋
2022/2/12,5.8,薄曇後時々晴,名古屋
2022/2/13,4.5,曇後雨,名古屋
2022/2/14,7.0,曇後晴,名古屋
2022/2/15,8.0,曇一時晴,名古屋
2022/2/16,4.3,晴一時曇,名古屋
2022/2/17,1.0,晴時々曇一時雪,名古屋
2022/2/18,3.7,晴,名古屋
2022/2/19,4.4,曇一時晴後雨,名古屋
2022/2/20,4.6,晴時々曇,名古屋
2022/2/21,1.7,晴時々曇一時雪,名古屋
2022/2/22,2.2,曇時々晴一時みぞれ,名古屋
2022/2/23,2.6,晴後一時曇,名古屋
2022/2/24,2.9,晴,名古屋
2022/2/25,4.4,晴,名古屋
2022/2/26,7.6,晴,名古屋
2022/2/27,7.0,晴時々曇一時雨,名古屋
2022/2/28,8.9,晴,名古屋
2022/3/1,6.0,曇後雨,名古屋
2022/3/2,8.6,晴後時々曇,名古屋
2022/3/3,8.1,晴時々曇,名古屋
2022/3/4,8.0,晴後薄曇,名古屋
2022/3/5,8.7,晴後曇時々雨,名古屋
2022/3/6,4.7,晴時々雨,名古屋
2022/3/7,5.4,薄曇,名古屋
2022/3/8,6.8,晴,名古屋
2022/3/9,7.7,薄曇後一時晴,名古屋
2022/3/10,9.4,薄曇時々晴,名古屋
2022/3/11,11.1,晴後時々薄曇,名古屋
2022/3/12,14.4,快晴,名古屋
2022/3/13,16.0,薄曇,名古屋
2022/3/14,16.9,晴後時々薄曇,名古屋
2022/3/15,15.0,晴一時曇,名古屋
2022/3/16,14.3,晴,名古屋
2022/3/17,13.8,曇時々晴,名古屋
2022/3/18,11.0,雨一時曇,名古屋
2022/3/19,10.3,曇時々晴,名古屋
2022/3/20,9.1,晴後時々薄曇,名古屋
2022/3/21,10.0,曇時々晴,名古屋
2022/3/22,7.6,雨後曇時々晴,名古屋
2022/3/23,7.6,曇,名古屋
2022/3/24,10.8,晴,名古屋
2022/3/25,12.4,晴後薄曇,名古屋
2022/3/26,15.0,雨時々曇,名古屋
2022/3/27,15.1,晴一時薄曇,名古屋
2022/3/28,12.0,薄曇,名古屋
2022/3/29,12.5,曇,名古屋
2022/3/30,16.6,晴後薄曇,名古屋
2022/3/31,14.7,曇,名古屋
2022/4/1,10.1,曇時々晴,名古屋
2022/4/2,9.4,曇,名古屋
2022/4/3,10.6,雨時々曇,名古屋
2022/4/4,13.9,晴,名古屋
2022/4/5,14.6,晴後一時薄曇,名古屋
2022/4/6,16.7,晴,名古屋
2022/4/7,16.3,晴時々薄曇,名古屋
2022/4/8,16.3,快晴,名古屋
2022/4/9,17.1,晴,名古屋
2022/4/10,19.6,晴,名古屋
2022/4/11,19.5,薄曇一時晴,名古屋
2022/4/12,20.4,晴,名古屋
2022/4/13,22.4,薄曇一時晴,名古屋
2022/4/14,19.8,曇時々雨,名古屋
2022/4/15,16.9,曇一時雨,名古屋
2022/4/16,15.2,晴,名古屋
2022/4/17,12.5,曇後雨,名古屋
2022/4/18,13.6,雨後一時曇,名古屋
2022/4/19,16.1,薄曇一時晴,名古屋
2022/4/20,16.8,晴,名古屋
2022/4/21,16.3,薄曇後雨,名古屋
2022/4/22,19.7,晴,名古屋
2022/4/23,19.5,曇時々晴,名古屋
2022/4/24,17.2,雨時々曇,名古屋
2022/4/25,20.9,晴後時々薄曇,名古屋
2022/4/26,21.3,曇一時雨,名古屋
2022/4/27,20.8,曇一時雨,名古屋
2022/4/28,18.2,曇後晴,名古屋
2022/4/29,15.9,曇後大雨,名古屋
2022/4/30,15.2,晴後時々曇,名古屋
2022/5/1,13.9,雨時々曇,名古屋
2022/5/2,14.1,薄曇時々晴,名古屋
2022/5/3,15.1,快晴,名古屋
2022/5/4,17.4,晴,名古屋
2022/5/5,19.9,晴後一時薄曇,名古屋
2022/5/6,19.6,薄曇後一時晴,名古屋
2022/5/7,21.2,晴,名古屋
2022/5/8,18.7,晴一時薄曇,名古屋
2022/5/9,14.4,曇後雨,名古屋
2022/5/10,16.7,薄曇,名古屋
2022/5/11,19.5,曇後晴,名古屋
2022/5/12,18.9,雨一時曇,名古屋
2022/5/13,19.6,雨時々曇,名古屋
2022/5/14,19.8,曇後晴,名古屋
2022/5/15,16.9,曇後一時雨,名古屋
2022/5/16,17.3,曇,名古屋
2022/5/17,17.2,曇,名古屋
2022/5/18,19.8,晴一時薄曇,名古屋
2022/5/19,21.3,薄曇一時晴,名古屋
2022/5/20,21.3,曇,名古屋
2022/5/21,18.4,雨時々曇,名古屋
2022/5/22,21.8,晴一時曇,名古屋
2022/5/23,22.6,晴,名古屋
2022/5/24,22.2,晴,名古屋
2022/5/25,22.6,晴時々曇,名古屋
2022/5/26,19.9,曇時々雨,名古屋
2022/5/27,22.5,薄曇時々晴,名古屋
2022/5/28,22.7,晴時々薄曇,名古屋
2022/5/29,25.3,快晴,名古屋
2022/5/30,23.9,晴後曇,名古屋
2022/5/31,20.1,雨時々曇後晴,名古屋
2022/6/1,21.0,薄曇一時晴,名古屋
2022/6/2,23.2,晴,名古屋
2022/6/3,23.9,晴,名古屋
2022/6/4,22.3,晴一時薄曇,名古屋
2022/6/5,22.8,曇一時晴,名古屋
2022/6/6,0.0,,名古屋
2022/6/7,0.0,,名古屋
2022/6/8,0.0,,名古屋
2022/6/9,0.0,,名古屋
2022/6/10,0.0,,名古屋
2022/6/11,0.0,,名古屋
2022/6/12,0.0,,名古屋
2022/6/13,0.0,,名古屋
2022/6/14,0.0,,名古屋
2022/6/15,0.0,,名古屋
2022/6/16,0.0,,名古屋
2022/6/17,0.0,,名古屋
2022/6/18,0.0,,名古屋
2022/6/19,0.0,,名古屋
2022/6/20,0.0,,名古屋
2022/6/21,0.0,,名古屋
2022/6/22,0.0,,名古屋
2022/6/23,0.0,,名古屋
2022/6/24,0.0,,名古屋
2022/6/25,0.0,,名古屋
2022/6/26,0.0,,名古屋
2022/6/27,0.0,,名古屋
2022/6/28,0.0,,名古屋
2022/6/29,0.0,,名古屋
2022/6/30,0.0,,名古屋
