年月日,平均気温,天気概況（昼）,都市
2022/1/1,17.0,晴後曇,那覇
2022/1/2,16.7,曇時々雨,那覇
2022/1/3,18.0,晴,那覇
2022/1/4,18.5,晴後一時曇,那覇
2022/1/5,19.8,曇一時晴,那覇
2022/1/6,19.5,曇一時雨,那覇
2022/1/7,18.4,晴時々曇,那覇
2022/1/8,19.0,晴時々曇,那覇
2022/1/9,18.7,晴一時曇,那覇
2022/1/10,19.5,晴後曇,那覇
2022/1/11,16.0,雨後曇,那覇
2022/1/12,14.7,曇一時雨,那覇
2022/1/13,14.7,曇時々雨,那覇
2022/1/14,15.0,曇後晴,那覇
2022/1/15,15.9,曇時々晴,那覇
2022/1/16,18.1,曇一時晴,那覇
2022/1/17,15.8,曇時々雨,那覇
2022/1/18,16.2,曇一時雨,那覇
2022/1/19,15.9,曇一時雨,那覇
2022/1/20,15.9,晴,那覇
2022/1/21,16.5,晴後曇,那覇
2022/1/22,18.6,曇一時晴,那覇
2022/1/23,20.6,雨後曇,那覇
2022/1/24,21.1,曇時々晴,那覇
2022/1/25,19.2,晴一時曇,那覇
2022/1/26,19.0,晴後時々曇,那覇
2022/1/27,20.5,晴後曇,那覇
2022/1/28,19.5,晴後曇,那覇
2022/1/29,18.0,雨一時曇,那覇
2022/1/30,17.3,曇後一時雨,那覇
2022/1/31,15.4,曇後晴,那覇
2022/2/1,17.3,曇時々晴,那覇
2022/2/2,18.2,曇時々雨,那覇
2022/2/3,18.8,大雨時々曇後一時晴,那覇
2022/2/4,16.6,曇一時雨,那覇
2022/2/5,15.6,晴一時曇,那覇
2022/2/6,15.2,晴後一時曇,那覇
2022/2/7,17.7,曇後時々晴,那覇
2022/2/8,19.7,晴時々曇,那覇
2022/2/9,18.7,曇時々晴,那覇
2022/2/10,17.3,曇一時雨,那覇
2022/2/11,17.9,晴,那覇
2022/2/12,20.7,曇一時雨,那覇
2022/2/13,20.6,曇時々雨一時晴,那覇
2022/2/14,17.7,雨後一時曇,那覇
2022/2/15,17.9,晴,那覇
2022/2/16,16.2,曇一時雨,那覇
2022/2/17,13.9,雨一時曇,那覇
2022/2/18,15.2,雨一時曇,那覇
2022/2/19,18.4,曇後時々雨,那覇
2022/2/20,14.4,雨時々曇,那覇
2022/2/21,14.4,曇時々雨,那覇
2022/2/22,15.4,曇一時雨,那覇
2022/2/23,16.0,大雨,那覇
2022/2/24,15.4,曇,那覇
2022/2/25,15.7,晴時々曇,那覇
2022/2/26,18.4,曇時々晴,那覇
2022/2/27,18.9,晴一時曇,那覇
2022/2/28,20.2,晴時々曇,那覇
2022/3/1,21.7,晴,那覇
2022/3/2,18.8,雨時々曇,那覇
2022/3/3,17.8,晴,那覇
2022/3/4,20.4,曇時々晴後一時雨,那覇
2022/3/5,21.1,晴時々曇,那覇
2022/3/6,18.4,晴一時曇,那覇
2022/3/7,15.7,雨時々曇,那覇
2022/3/8,17.2,晴,那覇
2022/3/9,17.7,快晴,那覇
2022/3/10,18.7,晴,那覇
2022/3/11,20.3,曇,那覇
2022/3/12,19.9,晴,那覇
2022/3/13,21.7,晴,那覇
2022/3/14,21.7,曇時々晴,那覇
2022/3/15,21.3,曇時々晴,那覇
2022/3/16,22.1,晴,那覇
2022/3/17,22.5,曇,那覇
2022/3/18,21.5,曇時々雨、雷を伴う,那覇
2022/3/19,20.3,曇一時晴,那覇
2022/3/20,20.8,晴時々曇,那覇
2022/3/21,22.3,曇一時晴,那覇
2022/3/22,21.5,曇時々雨,那覇
2022/3/23,19.2,雨後一時曇,那覇
2022/3/24,19.5,曇後一時晴,那覇
2022/3/25,22.0,曇一時雨,那覇
2022/3/26,22.7,雨一時曇,那覇
2022/3/27,19.1,大雨後曇,那覇
2022/3/28,18.2,雨時々曇,那覇
2022/3/29,21.0,曇,那覇
2022/3/30,22.5,雨一時曇,那覇
2022/3/31,23.8,曇一時霧雨,那覇
2022/4/1,20.2,曇,那覇
2022/4/2,17.5,雨時々曇,那覇
2022/4/3,17.7,雨,那覇
2022/4/4,19.1,晴後時々曇,那覇
2022/4/5,19.5,晴,那覇
2022/4/6,20.3,曇後晴,那覇
2022/4/7,20.2,晴,那覇
2022/4/8,21.2,晴,那覇
2022/4/9,21.9,晴,那覇
2022/4/10,23.0,曇時々雨,那覇
2022/4/11,24.2,晴時々曇一時雨,那覇
2022/4/12,24.0,晴,那覇
2022/4/13,24.0,晴時々曇,那覇
2022/4/14,24.1,晴時々曇,那覇
2022/4/15,23.8,晴一時雨,那覇
2022/4/16,21.4,晴,那覇
2022/4/17,20.3,曇後一時晴,那覇
2022/4/18,21.4,曇時々晴,那覇
2022/4/19,21.0,曇時々雨,那覇
2022/4/20,22.2,曇一時晴,那覇
2022/4/21,24.0,晴時々曇一時雨,那覇
2022/4/22,25.3,曇時々晴一時雨,那覇
2022/4/23,25.4,曇後時々晴,那覇
2022/4/24,24.1,晴時々雨、雷を伴う,那覇
2022/4/25,25.9,晴,那覇
2022/4/26,26.3,晴時々曇,那覇
2022/4/27,26.5,曇後時々晴,那覇
2022/4/28,26.7,晴一時曇,那覇
2022/4/29,25.5,曇時々雨,那覇
2022/4/30,23.0,曇,那覇
2022/5/1,21.3,曇時々雨,那覇
2022/5/2,18.2,雨,那覇
2022/5/3,21.6,曇後時々晴,那覇
2022/5/4,21.7,雨一時曇,那覇
2022/5/5,22.9,雨時々曇,那覇
2022/5/6,23.6,曇時々雨,那覇
2022/5/7,25.2,曇時々雨一時晴,那覇
2022/5/8,25.1,曇,那覇
2022/5/9,24.6,曇,那覇
2022/5/10,24.4,曇後時々晴,那覇
2022/5/11,25.4,曇一時雨,那覇
2022/5/12,26.2,晴時々曇一時雨,那覇
2022/5/13,25.8,雨後時々曇,那覇
2022/5/14,23.6,雨一時曇,那覇
2022/5/15,22.1,雨時々曇,那覇
2022/5/16,18.6,雨,那覇
2022/5/17,19.6,雨後時々曇,那覇
2022/5/18,22.9,薄曇時々晴,那覇
2022/5/19,23.8,曇後一時雨,那覇
