年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.6,晴一時雪後曇,奈良
2022/1/2,3.4,晴一時曇,奈良
2022/1/3,6.6,晴,奈良
2022/1/4,5.6,晴後曇時々雨,奈良
2022/1/5,3.3,曇時々晴、みぞれを伴う,奈良
2022/1/6,2.1,雪時々曇後みぞれ一時晴,奈良
2022/1/7,3.5,曇後一時雨一時晴、みぞれを伴う,奈良
2022/1/8,4.2,晴一時曇,奈良
2022/1/9,4.9,曇時々晴,奈良
2022/1/10,6.6,晴,奈良
2022/1/11,4.3,雨時々曇、みぞれを伴う,奈良
2022/1/12,3.1,曇時々晴一時雪,奈良
2022/1/13,3.5,曇一時雪後晴、みぞれを伴う,奈良
2022/1/14,2.3,曇時々晴,奈良
2022/1/15,3.9,曇後時々晴,奈良
2022/1/16,4.9,晴時々曇,奈良
2022/1/17,6.1,曇時々晴,奈良
2022/1/18,2.7,曇後晴一時雪、みぞれを伴う,奈良
2022/1/19,1.8,晴後曇時々雪一時みぞれ,奈良
2022/1/20,2.4,曇一時雪後晴、みぞれを伴う,奈良
2022/1/21,1.7,晴時々曇,奈良
2022/1/22,3.2,曇後晴,奈良
2022/1/23,1.9,曇時々雪後雨一時みぞれ,奈良
2022/1/24,4.2,曇一時雨後晴、霧を伴う,奈良
2022/1/25,3.1,曇時々晴,奈良
2022/1/26,5.2,晴後一時雨一時曇,奈良
2022/1/27,5.4,曇時々晴,奈良
2022/1/28,4.3,晴後曇一時雨,奈良
2022/1/29,4.9,曇後一時晴,奈良
2022/1/30,4.3,曇時々晴,奈良
2022/1/31,3.2,曇時々晴,奈良
2022/2/1,4.3,晴後曇時々雨,奈良
2022/2/2,4.5,晴時々曇,奈良
2022/2/3,4.8,曇後一時晴,奈良
2022/2/4,3.9,晴時々曇,奈良
2022/2/5,2.8,曇時々晴,奈良
2022/2/6,2.1,晴後一時曇,奈良
2022/2/7,2.9,晴時々曇,奈良
2022/2/8,4.4,曇後雨時々晴,奈良
2022/2/9,4.2,霧一時曇後晴,奈良
2022/2/10,3.9,曇後雨時々晴,奈良
2022/2/11,4.7,晴一時曇,奈良
2022/2/12,5.0,晴時々曇,奈良
2022/2/13,2.6,雨時々曇、みぞれを伴う,奈良
2022/2/14,4.8,曇後時々晴,奈良
2022/2/15,6.0,晴時々曇,奈良
2022/2/16,3.6,晴時々曇,奈良
2022/2/17,1.6,曇時々晴,奈良
2022/2/18,3.3,曇時々晴,奈良
2022/2/19,4.1,曇後時々雨,奈良
2022/2/20,4.6,曇一時雨後時々晴、みぞれを伴う,奈良
2022/2/21,2.1,晴後曇,奈良
2022/2/22,3.0,曇時々晴、みぞれを伴う,奈良
2022/2/23,2.0,曇時々晴一時雪、みぞれを伴う,奈良
2022/2/24,1.8,曇時々晴,奈良
2022/2/25,3.5,晴一時曇,奈良
2022/2/26,5.8,晴,奈良
2022/2/27,7.9,曇一時雨後晴,奈良
2022/2/28,7.0,晴,奈良
2022/3/1,5.5,曇一時晴後雨,奈良
2022/3/2,8.4,曇後雨時々晴,奈良
2022/3/3,7.9,晴後一時雨,奈良
2022/3/4,6.5,曇時々晴,奈良
2022/3/5,9.4,晴,奈良
2022/3/6,4.7,曇後晴一時雨,奈良
2022/3/7,4.2,曇,奈良
2022/3/8,5.0,晴,奈良
2022/3/9,6.4,晴時々曇,奈良
2022/3/10,8.3,晴一時曇,奈良
2022/3/11,10.5,晴時々曇,奈良
2022/3/12,14.4,晴一時曇,奈良
2022/3/13,16.0,曇時々晴,奈良
2022/3/14,16.6,曇一時雨後晴,奈良
2022/3/15,15.6,晴時々曇,奈良
2022/3/16,13.6,晴,奈良
2022/3/17,12.0,曇時々晴,奈良
2022/3/18,10.4,雨,奈良
2022/3/19,9.0,曇後時々雨,奈良
2022/3/20,7.3,曇時々晴一時雨,奈良
2022/3/21,8.8,曇一時雨,奈良
2022/3/22,6.0,雨後時々曇一時晴,奈良
2022/3/23,6.7,曇一時晴後一時雨,奈良
2022/3/24,9.2,晴時々曇,奈良
2022/3/25,12.4,晴後一時曇,奈良
2022/3/26,14.7,雨時々曇,奈良
2022/3/27,14.2,晴時々曇,奈良
2022/3/28,10.7,曇時々晴,奈良
2022/3/29,10.7,曇,奈良
2022/3/30,15.0,晴後一時曇,奈良
2022/3/31,12.3,雨時々曇,奈良
2022/4/1,8.1,晴一時曇,奈良
2022/4/2,8.6,曇一時晴,奈良
2022/4/3,9.9,雨時々曇,奈良
2022/4/4,11.8,晴時々曇,奈良
2022/4/5,12.2,晴,奈良
2022/4/6,15.0,晴時々曇,奈良
2022/4/7,15.5,晴,奈良
2022/4/8,15.0,晴,奈良
2022/4/9,16.2,晴,奈良
2022/4/10,18.6,晴後一時曇,奈良
2022/4/11,18.4,曇時々晴一時雨,奈良
2022/4/12,19.9,晴一時曇,奈良
2022/4/13,20.8,曇一時雨後晴,奈良
2022/4/14,20.2,曇時々雨,奈良
2022/4/15,15.3,曇時々雨,奈良
2022/4/16,12.2,晴一時雨,奈良
2022/4/17,13.5,晴,奈良
2022/4/18,16.2,曇,奈良
2022/4/19,15.7,晴,奈良
2022/4/20,16.7,晴,奈良
2022/4/21,16.0,曇後雨,奈良
2022/4/22,17.9,曇後晴,奈良
2022/4/23,18.9,曇時々晴,奈良
2022/4/24,16.8,雨時々曇,奈良
2022/4/25,21.3,晴時々曇,奈良
2022/4/26,21.8,曇時々雨,奈良
2022/4/27,18.8,曇時々雨,奈良
2022/4/28,17.7,晴時々曇,奈良
2022/4/29,15.5,大雨時々曇,奈良
2022/4/30,15.2,晴時々曇,奈良
2022/5/1,14.0,雨時々曇一時晴,奈良
2022/5/2,12.9,晴時々雨一時曇,奈良
2022/5/3,13.7,晴,奈良
2022/5/4,16.6,晴後一時曇,奈良
2022/5/5,18.8,晴時々曇,奈良
2022/5/6,19.1,曇後一時晴,奈良
2022/5/7,20.5,晴,奈良
2022/5/8,16.9,晴時々曇,奈良
2022/5/9,13.1,雨時々曇,奈良
2022/5/10,16.8,曇一時晴,奈良
2022/5/11,20.6,雨後晴時々曇,奈良
2022/5/12,19.2,雨,奈良
2022/5/13,20.2,雨時々曇,奈良
2022/5/14,18.6,曇時々雨一時晴,奈良
2022/5/15,15.4,曇後一時雨,奈良
2022/5/16,17.0,曇,奈良
2022/5/17,16.8,曇,奈良
2022/5/18,19.4,晴一時曇,奈良
2022/5/19,20.2,晴後一時曇,奈良
2022/5/20,19.7,曇,奈良
2022/5/21,18.3,曇時々雨,奈良
2022/5/22,21.1,晴,奈良
2022/5/23,20.9,晴後時々曇,奈良
2022/5/24,21.9,晴,奈良
2022/5/25,22.7,曇時々晴一時雨、雷を伴う,奈良
2022/5/26,22.0,曇後時々雨一時晴、雷を伴う,奈良
2022/5/27,21.2,曇一時雨後晴,奈良
2022/5/28,22.1,晴,奈良
2022/5/29,24.1,晴,奈良
2022/5/30,22.2,曇時々晴一時雨,奈良
2022/5/31,19.7,雨後曇時々晴,奈良
2022/6/1,19.2,曇時々晴,奈良
2022/6/2,22.1,晴,奈良
2022/6/3,22.8,晴後一時曇,奈良
2022/6/4,21.7,晴一時曇,奈良
2022/6/5,21.0,曇一時晴後一時雨,奈良
2022/6/6,0.0,,奈良
2022/6/7,0.0,,奈良
2022/6/8,0.0,,奈良
2022/6/9,0.0,,奈良
2022/6/10,0.0,,奈良
2022/6/11,0.0,,奈良
2022/6/12,0.0,,奈良
2022/6/13,0.0,,奈良
2022/6/14,0.0,,奈良
2022/6/15,0.0,,奈良
2022/6/16,0.0,,奈良
2022/6/17,0.0,,奈良
2022/6/18,0.0,,奈良
2022/6/19,0.0,,奈良
2022/6/20,0.0,,奈良
2022/6/21,0.0,,奈良
2022/6/22,0.0,,奈良
2022/6/23,0.0,,奈良
2022/6/24,0.0,,奈良
2022/6/25,0.0,,奈良
2022/6/26,0.0,,奈良
2022/6/27,0.0,,奈良
2022/6/28,0.0,,奈良
2022/6/29,0.0,,奈良
2022/6/30,0.0,,奈良
