年月日,平均気温,天気概況（昼）,都市
2022/1/1,0.7,曇時々雪一時晴、あられを伴う,新潟
2022/1/2,3.0,雪後雨時々曇、雷・あられを伴う,新潟
2022/1/3,2.0,曇後雪時々みぞれ,新潟
2022/1/4,1.3,雪一時雨,新潟
2022/1/5,0.5,雪時々曇、あられを伴う,新潟
2022/1/6,0.8,薄曇時々晴,新潟
2022/1/7,2.6,晴一時雪、あられを伴う,新潟
2022/1/8,3.5,晴時々曇,新潟
2022/1/9,4.8,曇時々雨、雷・あられを伴う,新潟
2022/1/10,3.7,晴後一時薄曇,新潟
2022/1/11,4.9,曇後雨,新潟
2022/1/12,1.8,雪一時曇、あられを伴う,新潟
2022/1/13,2.3,曇後雪,新潟
2022/1/14,1.4,雪時々曇、あられを伴う,新潟
2022/1/15,4.4,曇時々晴,新潟
2022/1/16,3.1,雨時々曇,新潟
2022/1/17,2.7,雪時々曇一時雨、あられを伴う,新潟
2022/1/18,1.0,曇時々雪一時晴,新潟
2022/1/19,0.9,雪時々曇、あられを伴う,新潟
2022/1/20,1.0,雪時々曇、あられを伴う,新潟
2022/1/21,1.3,雪時々晴一時曇,新潟
2022/1/22,2.1,曇,新潟
2022/1/23,2.9,曇,新潟
2022/1/24,3.9,曇一時みぞれ,新潟
2022/1/25,3.4,曇,新潟
2022/1/26,4.7,曇時々雨一時雪,新潟
2022/1/27,4.4,曇一時晴,新潟
2022/1/28,3.3,曇時々晴一時みぞれ、あられを伴う,新潟
2022/1/29,1.8,雪時々曇,新潟
2022/1/30,1.9,曇一時雪後晴,新潟
2022/1/31,1.6,曇時々雪、あられを伴う,新潟
2022/2/1,2.4,曇時々晴後一時雪,新潟
2022/2/2,2.5,曇時々晴,新潟
2022/2/3,1.4,雪時々みぞれ、あられを伴う,新潟
2022/2/4,0.9,雪時々曇、あられを伴う,新潟
2022/2/5,0.3,曇時々晴一時雪,新潟
2022/2/6,0.4,曇一時雪、あられを伴う,新潟
2022/2/7,1.5,曇時々晴,新潟
2022/2/8,1.1,雪後みぞれ一時曇,新潟
2022/2/9,2.2,曇時々晴一時みぞれ,新潟
2022/2/10,1.7,曇後みぞれ,新潟
2022/2/11,2.2,曇一時雨,新潟
2022/2/12,3.3,曇後時々雨,新潟
2022/2/13,4.6,曇,新潟
2022/2/14,3.3,曇後晴,新潟
2022/2/15,3.6,雨時々曇、あられを伴う,新潟
2022/2/16,1.9,雪一時曇、雷・あられを伴う,新潟
2022/2/17,1.2,曇時々雪、あられを伴う,新潟
2022/2/18,3.8,曇時々雨後一時晴、あられを伴う,新潟
2022/2/19,3.3,曇,新潟
2022/2/20,1.8,雨後雪一時みぞれ,新潟
2022/2/21,0.1,曇時々晴一時雪,新潟
2022/2/22,0.2,雪時々曇、あられを伴う,新潟
2022/2/23,1.0,曇後晴,新潟
2022/2/24,2.4,晴一時雪,新潟
2022/2/25,4.5,晴一時雨後時々曇、あられを伴う,新潟
2022/2/26,6.3,曇一時晴,新潟
2022/2/27,5.0,曇時々雨,新潟
2022/2/28,6.3,曇時々雨,新潟
