年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.9,晴,大分
2022/1/2,6.3,曇時々晴,大分
2022/1/3,7.3,晴,大分
2022/1/4,8.2,晴,大分
2022/1/5,6.5,曇後一時雨,大分
2022/1/6,8.3,雨時々曇後晴,大分
2022/1/7,6.7,晴,大分
2022/1/8,6.1,晴,大分
2022/1/9,7.8,晴時々曇,大分
2022/1/10,7.4,晴,大分
2022/1/11,6.6,雨時々曇一時晴,大分
2022/1/12,4.9,晴,大分
2022/1/13,4.5,曇時々晴後雨、みぞれを伴う,大分
2022/1/14,4.6,晴,大分
2022/1/15,4.0,曇時々晴,大分
2022/1/16,7.1,晴後曇一時雨,大分
2022/1/17,7.6,曇時々晴,大分
2022/1/18,5.7,曇一時雨後晴,大分
2022/1/19,4.3,晴,大分
2022/1/20,5.7,晴時々雨後曇,大分
2022/1/21,5.5,曇時々晴,大分
2022/1/22,5.5,曇時々晴,大分
2022/1/23,7.5,雨,大分
2022/1/24,8.7,曇時々晴,大分
2022/1/25,7.1,曇後時々晴,大分
2022/1/26,7.7,晴時々曇,大分
2022/1/27,8.0,曇時々晴,大分
2022/1/28,7.4,晴,大分
2022/1/29,7.0,曇後一時晴,大分
2022/1/30,7.6,曇後一時晴,大分
2022/1/31,7.3,晴時々曇,大分
2022/2/1,6.0,曇時々晴一時雨,大分
2022/2/2,6.1,曇時々晴,大分
2022/2/3,6.6,曇後一時晴,大分
2022/2/4,6.2,晴一時曇,大分
2022/2/5,4.7,晴,大分
2022/2/6,4.0,晴,大分
2022/2/7,5.3,曇時々晴,大分
2022/2/8,5.9,雨時々曇,大分
2022/2/9,6.2,晴後時々曇,大分
2022/2/10,8.1,雨後曇時々晴,大分
2022/2/11,7.5,晴後曇一時雨,大分
2022/2/12,7.6,曇後一時晴,大分
2022/2/13,7.5,雨,大分
2022/2/14,8.1,曇後時々晴,大分
2022/2/15,8.0,晴一時曇,大分
2022/2/16,5.0,晴,大分
2022/2/17,1.7,晴後一時曇,大分
2022/2/18,3.4,曇後時々晴,大分
2022/2/19,5.3,雨、みぞれを伴う,大分
2022/2/20,4.7,曇一時雪後晴、みぞれを伴う,大分
2022/2/21,4.0,晴,大分
2022/2/22,5.0,晴,大分
2022/2/23,4.3,曇,大分
2022/2/24,4.1,晴,大分
2022/2/25,5.2,晴,大分
2022/2/26,6.2,晴,大分
2022/2/27,9.7,晴,大分
2022/2/28,7.8,晴,大分
2022/3/1,10.4,雨時々曇,大分
2022/3/2,11.6,晴,大分
2022/3/3,9.1,晴,大分
2022/3/4,7.7,曇時々晴一時雨,大分
2022/3/5,11.9,晴,大分
2022/3/6,8.1,晴,大分
2022/3/7,5.7,曇後一時晴,大分
2022/3/8,7.4,晴,大分
2022/3/9,8.7,晴,大分
2022/3/10,9.4,晴一時曇,大分
2022/3/11,11.9,曇時々晴,大分
2022/3/12,14.9,晴時々曇,大分
2022/3/13,15.4,曇,大分
2022/3/14,17.7,曇時々晴,大分
2022/3/15,17.1,晴,大分
2022/3/16,14.5,晴,大分
2022/3/17,14.2,曇時々晴,大分
2022/3/18,11.2,大雨後時々曇,大分
2022/3/19,11.5,曇後雨時々晴,大分
2022/3/20,10.0,曇時々晴,大分
2022/3/21,10.5,曇一時晴,大分
2022/3/22,9.9,雨後曇一時晴,大分
2022/3/23,8.5,雨時々曇,大分
2022/3/24,9.8,晴,大分
2022/3/25,14.0,晴後時々曇,大分
2022/3/26,17.8,雨後時々曇一時晴,大分
2022/3/27,16.5,晴時々曇,大分
2022/3/28,13.2,曇,大分
2022/3/29,12.6,曇後一時晴,大分
2022/3/30,15.2,曇時々雨,大分
2022/3/31,14.4,雨時々曇,大分
2022/4/1,11.7,晴時々曇一時雨,大分
2022/4/2,9.4,曇時々晴,大分
2022/4/3,10.5,晴時々曇,大分
2022/4/4,12.0,晴,大分
2022/4/5,12.2,晴後時々曇,大分
2022/4/6,15.1,晴,大分
2022/4/7,14.5,晴,大分
2022/4/8,16.1,晴,大分
2022/4/9,16.4,晴,大分
2022/4/10,17.1,晴後一時曇,大分
2022/4/11,17.2,曇一時晴後一時雨,大分
2022/4/12,19.0,曇時々晴,大分
2022/4/13,18.5,曇時々晴一時雨,大分
2022/4/14,16.3,雨時々曇、雷を伴う,大分
2022/4/15,14.9,曇一時雨,大分
2022/4/16,13.9,晴一時曇,大分
2022/4/17,14.3,晴,大分
2022/4/18,14.6,曇,大分
2022/4/19,16.0,晴時々曇,大分
2022/4/20,16.4,晴,大分
2022/4/21,14.5,雨時々曇,大分
2022/4/22,16.5,晴、霧を伴う,大分
2022/4/23,16.5,雨時々曇,大分
2022/4/24,16.4,雨後時々曇,大分
2022/4/25,17.1,晴時々曇、霧を伴う,大分
2022/4/26,21.9,曇時々雨,大分
2022/4/27,21.4,雨後曇時々晴、雷を伴う,大分
2022/4/28,19.3,晴時々曇,大分
2022/4/29,17.4,雨時々曇,大分
2022/4/30,14.6,晴時々曇,大分
2022/5/1,16.4,曇,大分
2022/5/2,16.5,曇時々晴,大分
