年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.8,晴時々曇一時雨、みぞれを伴う,岡山
2022/1/2,3.7,晴一時曇,岡山
2022/1/3,5.2,晴,岡山
2022/1/4,5.5,晴時々曇,岡山
2022/1/5,4.0,晴後曇一時雨,岡山
2022/1/6,5.1,みぞれ時々曇後晴,岡山
2022/1/7,5.1,晴時々曇,岡山
2022/1/8,3.2,晴,岡山
2022/1/9,5.8,曇時々晴,岡山
2022/1/10,7.0,晴時々曇,岡山
2022/1/11,4.4,雨後曇時々晴,岡山
2022/1/12,2.8,晴時々雪一時みぞれ,岡山
2022/1/13,2.5,晴時々曇一時雪、みぞれを伴う,岡山
2022/1/14,2.2,晴一時雪後曇、みぞれを伴う,岡山
2022/1/15,3.6,晴時々曇,岡山
2022/1/16,5.1,晴後曇一時雨,岡山
2022/1/17,5.2,晴時々曇,岡山
2022/1/18,3.2,曇時々晴一時雪、みぞれを伴う,岡山
2022/1/19,2.8,晴一時曇後時々雨,岡山
2022/1/20,2.6,晴後一時雪一時曇、みぞれを伴う,岡山
2022/1/21,2.7,晴一時雪後曇、みぞれを伴う,岡山
2022/1/22,4.1,晴一時曇,岡山
2022/1/23,3.0,雨時々曇、みぞれを伴う,岡山
2022/1/24,5.4,曇一時雨後晴,岡山
2022/1/25,2.7,曇時々晴,岡山
2022/1/26,5.0,晴時々曇,岡山
2022/1/27,7.0,曇時々晴,岡山
2022/1/28,6.0,晴一時曇,岡山
2022/1/29,5.9,曇後一時晴,岡山
2022/1/30,5.0,曇時々晴,岡山
2022/1/31,4.7,晴後一時雨一時曇,岡山
2022/2/1,3.5,晴後曇一時雨,岡山
2022/2/2,3.7,晴後時々曇,岡山
2022/2/3,5.1,曇時々晴,岡山
2022/2/4,4.3,晴一時曇,岡山
2022/2/5,1.8,晴一時曇後一時雪,岡山
2022/2/6,1.5,晴後時々雪、みぞれを伴う,岡山
2022/2/7,3.4,晴後曇,岡山
2022/2/8,5.1,曇一時晴,岡山
2022/2/9,4.8,晴後時々曇,岡山
2022/2/10,5.1,雨時々曇一時みぞれ後晴,岡山
2022/2/11,5.1,晴後曇一時雨,岡山
2022/2/12,5.5,晴一時曇,岡山
2022/2/13,3.9,雨一時曇,岡山
2022/2/14,6.1,曇後晴,岡山
2022/2/15,5.2,曇時々晴後雨,岡山
2022/2/16,2.6,晴時々曇,岡山
2022/2/17,0.7,晴一時雪後時々曇,岡山
2022/2/18,2.5,晴一時曇,岡山
2022/2/19,2.1,曇時々雪一時みぞれ後雨,岡山
