年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.7,晴一時曇,佐賀
2022/1/2,5.2,雨時々曇後晴,佐賀
2022/1/3,5.6,晴一時曇,佐賀
2022/1/4,5.4,晴一時曇,佐賀
2022/1/5,6.1,曇後一時雨,佐賀
2022/1/6,7.8,曇時々晴一時雨,佐賀
2022/1/7,6.5,晴,佐賀
2022/1/8,6.6,晴後一時曇,佐賀
2022/1/9,7.5,曇一時晴,佐賀
2022/1/10,7.7,晴,佐賀
2022/1/11,6.0,雨時々曇一時晴、みぞれを伴う,佐賀
2022/1/12,3.9,晴時々曇,佐賀
2022/1/13,3.8,雨時々雪一時曇、みぞれを伴う,佐賀
2022/1/14,3.4,晴,佐賀
2022/1/15,3.8,曇後一時雨,佐賀
2022/1/16,4.8,曇時々雨、みぞれを伴う,佐賀
2022/1/17,5.8,曇時々晴,佐賀
2022/1/18,5.5,晴一時曇、みぞれを伴う,佐賀
2022/1/19,3.4,晴,佐賀
2022/1/20,5.3,晴一時雪後曇、みぞれを伴う,佐賀
2022/1/21,6.3,曇時々晴,佐賀
2022/1/22,7.6,曇時々晴,佐賀
2022/1/23,8.1,雨,佐賀
2022/1/24,9.0,曇時々晴,佐賀
2022/1/25,8.2,晴,佐賀
2022/1/26,9.3,晴一時曇,佐賀
2022/1/27,8.0,曇後時々晴,佐賀
2022/1/28,7.3,晴後一時曇,佐賀
2022/1/29,6.6,曇後一時晴,佐賀
2022/1/30,6.9,曇後時々晴,佐賀
2022/1/31,6.4,晴,佐賀
2022/2/1,5.0,雨一時雪後曇、みぞれを伴う,佐賀
2022/2/2,4.3,曇一時晴,佐賀
2022/2/3,6.0,曇後時々晴,佐賀
2022/2/4,5.4,晴一時曇,佐賀
2022/2/5,3.7,曇後雪時々みぞれ一時雨,佐賀
2022/2/6,3.9,晴時々曇一時雪,佐賀
2022/2/7,5.2,曇一時晴,佐賀
2022/2/8,6.5,雨後曇時々晴,佐賀
2022/2/9,8.1,晴一時曇,佐賀
2022/2/10,8.5,雨時々曇,佐賀
2022/2/11,7.5,曇時々晴一時雨,佐賀
2022/2/12,9.2,曇時々晴,佐賀
2022/2/13,8.7,雨後曇,佐賀
2022/2/14,9.5,曇後晴,佐賀
2022/2/15,7.1,晴時々曇,佐賀
