年月日,平均気温,天気概況（昼）,都市
2022/1/1,-7.7,雪後一時晴,札幌
2022/1/2,-3.8,曇後時々雪,札幌
2022/1/3,-6.9,雪,札幌
2022/1/4,-6.3,雪時々曇,札幌
2022/1/5,-2.6,雪時々曇,札幌
2022/1/6,-5.2,晴,札幌
2022/1/7,-5.4,曇後晴,札幌
2022/1/8,-3.2,曇時々晴後雪,札幌
2022/1/9,-1.6,雪時々晴,札幌
2022/1/10,-3.8,晴後曇一時雪,札幌
2022/1/11,-1.3,曇後雪、みぞれを伴う,札幌
2022/1/12,1.0,雪時々曇,札幌
2022/1/13,0.4,雪時々曇,札幌
2022/1/14,-0.2,雪、あられを伴う,札幌
2022/1/15,0.9,雪後一時あられ,札幌
2022/1/16,0.0,曇後時々雪,札幌
2022/1/17,-0.1,晴一時雪,札幌
2022/1/18,-2.9,晴後曇時々雪,札幌
2022/1/19,-2.8,晴,札幌
2022/1/20,-5.2,薄曇時々晴,札幌
2022/1/21,-3.8,雪一時曇,札幌
2022/1/22,-3.2,大雪,札幌
2022/1/23,-3.7,晴後一時曇,札幌
2022/1/24,-3.3,曇時々雪,札幌
2022/1/25,-3.3,雪後晴,札幌
2022/1/26,-0.6,曇一時雪,札幌
2022/1/27,-1.3,曇時々晴一時雪,札幌
2022/1/28,-3.8,晴後一時雪,札幌
2022/1/29,-5.5,雪時々晴,札幌
2022/1/30,-7.3,晴一時雪,札幌
2022/1/31,-7.8,雪,札幌
2022/2/1,-3.6,晴後時々雪,札幌
2022/2/2,-2.4,晴時々雪,札幌
2022/2/3,-3.5,晴一時雪,札幌
2022/2/4,-4.2,晴時々曇,札幌
2022/2/5,-4.9,晴後雪,札幌
2022/2/6,-4.1,大雪後一時晴,札幌
2022/2/7,-2.6,晴,札幌
2022/2/8,-3.9,晴時々雪,札幌
2022/2/9,-2.7,雪時々晴一時曇,札幌
2022/2/10,-4.3,晴,札幌
2022/2/11,-3.2,晴,札幌
2022/2/12,-2.5,晴一時薄曇,札幌
2022/2/13,-1.0,晴,札幌
2022/2/14,-2.0,雪時々曇後晴,札幌
2022/2/15,-4.1,曇時々雪,札幌
2022/2/16,-2.3,雪後晴,札幌
2022/2/17,-1.8,晴一時雪,札幌
2022/2/18,-2.9,晴時々曇後一時雪,札幌
2022/2/19,-1.8,曇,札幌
2022/2/20,-0.6,雪時々曇一時晴、あられを伴う,札幌
2022/2/21,-2.3,雪、大風を伴う,札幌
2022/2/22,-2.4,雪、あられを伴う,札幌
2022/2/23,-2.5,雪一時晴、あられを伴う,札幌
