年月日,平均気温,天気概況（昼）,都市
2022/1/1,-2.0,雪時々晴,仙台
2022/1/2,2.5,晴時々曇,仙台
2022/1/3,1.7,晴,仙台
2022/1/4,-1.2,雪一時曇,仙台
2022/1/5,-0.8,晴,仙台
2022/1/6,0.3,薄曇時々晴,仙台
2022/1/7,0.7,晴一時雪,仙台
2022/1/8,2.0,晴,仙台
2022/1/9,3.8,晴,仙台
2022/1/10,3.5,晴一時曇,仙台
2022/1/11,1.6,雨一時曇、みぞれを伴う,仙台
2022/1/12,1.0,雪一時曇,仙台
2022/1/13,1.7,晴後一時雪,仙台
2022/1/14,0.7,雪時々曇一時晴,仙台
2022/1/15,3.8,晴時々曇,仙台
2022/1/16,4.1,曇一時晴,仙台
2022/1/17,3.1,晴,仙台
2022/1/18,-0.7,雪,仙台
2022/1/19,1.8,晴後一時曇,仙台
2022/1/20,1.9,薄曇後一時晴,仙台
2022/1/21,1.3,晴一時曇,仙台
2022/1/22,2.7,晴時々曇,仙台
2022/1/23,3.4,曇一時晴,仙台
2022/1/24,3.4,晴一時曇,仙台
2022/1/25,2.8,晴時々薄曇,仙台
2022/1/26,3.2,晴時々曇一時雪,仙台
2022/1/27,2.7,晴,仙台
2022/1/28,1.5,晴後一時雪,仙台
2022/1/29,2.2,晴後一時薄曇,仙台
2022/1/30,0.7,晴時々曇一時雪,仙台
2022/1/31,0.3,晴時々雪一時曇,仙台
2022/2/1,1.9,晴一時曇,仙台
2022/2/2,2.1,雪後晴、あられを伴う,仙台
2022/2/3,1.4,曇時々晴,仙台
2022/2/4,0.5,晴後一時雪,仙台
2022/2/5,-0.9,晴一時薄曇,仙台
2022/2/6,-0.5,晴,仙台
2022/2/7,0.4,晴一時雪,仙台
2022/2/8,1.8,曇時々晴,仙台
2022/2/9,2.7,晴一時薄曇,仙台
2022/2/10,0.1,雪一時みぞれ,仙台
2022/2/11,1.3,晴一時曇,仙台
2022/2/12,2.0,晴時々薄曇,仙台
2022/2/13,4.2,薄曇一時晴,仙台
2022/2/14,3.0,晴,仙台
2022/2/15,0.9,雪後時々みぞれ,仙台
2022/2/16,2.6,晴一時曇,仙台
2022/2/17,2.1,晴一時雪,仙台
2022/2/18,2.4,晴時々雪,仙台
2022/2/19,2.7,曇,仙台
2022/2/20,1.9,曇後晴,仙台
2022/2/21,-1.8,雪,仙台
2022/2/22,-1.3,雪時々曇一時晴,仙台
2022/2/23,0.0,晴一時雪,仙台
2022/2/24,1.9,晴一時雪,仙台
2022/2/25,4.1,晴一時雪,仙台
2022/2/26,6.7,晴時々薄曇,仙台
2022/2/27,6.2,晴時々雨一時曇,仙台
2022/2/28,5.6,曇時々晴,仙台
2022/3/1,6.0,曇,仙台
2022/3/2,6.2,晴,仙台
2022/3/3,4.3,晴一時雨、みぞれを伴う,仙台
2022/3/4,4.0,晴一時雪,仙台
2022/3/5,5.0,晴後曇一時雨,仙台
