年月日,平均気温,天気概況（昼）,都市
2022/1/1,6.2,晴,下関
2022/1/2,7.4,晴後一時曇,下関
2022/1/3,9.0,晴,下関
2022/1/4,9.0,曇時々晴一時雨,下関
2022/1/5,7.1,曇一時晴後一時雨,下関
2022/1/6,8.1,曇一時雨後晴,下関
2022/1/7,8.1,晴,下関
2022/1/8,8.4,晴,下関
2022/1/9,8.8,曇,下関
2022/1/10,8.5,晴時々曇,下関
2022/1/11,6.7,雨後曇一時雪、みぞれを伴う,下関
2022/1/12,4.7,曇,下関
2022/1/13,5.2,曇後みぞれ時々雨一時晴,下関
2022/1/14,4.2,曇後時々晴,下関
2022/1/15,5.3,曇時々晴,下関
2022/1/16,7.9,雨時々曇一時晴,下関
2022/1/17,7.4,晴時々曇,下関
2022/1/18,4.9,晴時々曇、みぞれを伴う,下関
2022/1/19,5.3,晴後雨時々曇,下関
2022/1/20,6.2,曇時々晴一時雨、みぞれを伴う,下関
2022/1/21,6.2,曇一時晴,下関
2022/1/22,6.2,晴,下関
2022/1/23,6.8,雨,下関
2022/1/24,7.7,雨後曇一時晴,下関
2022/1/25,7.3,晴時々曇,下関
2022/1/26,8.7,曇時々晴,下関
2022/1/27,8.1,曇時々晴,下関
2022/1/28,8.2,晴時々曇,下関
2022/1/29,7.1,曇後時々晴,下関
2022/1/30,6.9,曇後一時晴,下関
2022/1/31,6.8,曇一時雨後晴,下関
2022/2/1,6.9,雨後曇時々晴,下関
2022/2/2,6.8,曇時々晴,下関
2022/2/3,6.6,曇時々晴,下関
2022/2/4,0.0,曇時々晴,下関
2022/2/5,3.8,雪時々晴一時曇、みぞれを伴う,下関
2022/2/6,3.9,曇一時晴,下関
2022/2/7,6.3,曇一時晴,下関
2022/2/8,6.4,曇一時晴後一時雨,下関
2022/2/9,7.6,晴,下関
2022/2/10,8.8,曇時々雨,下関
2022/2/11,8.4,晴時々雨,下関
2022/2/12,8.5,曇時々晴,下関
2022/2/13,7.2,雨後時々曇,下関
2022/2/14,8.7,曇後晴,下関
2022/2/15,8.0,曇時々晴,下関
2022/2/16,3.5,曇時々雪、みぞれを伴う,下関
2022/2/17,0.9,曇時々雪,下関
2022/2/18,5.2,曇後晴、みぞれを伴う,下関
2022/2/19,6.0,雨,下関
2022/2/20,4.4,曇一時雨、みぞれを伴う,下関
2022/2/21,3.9,曇一時雪後晴,下関
2022/2/22,4.6,晴,下関
2022/2/23,3.6,曇一時雪、みぞれを伴う,下関
2022/2/24,4.1,晴時々曇,下関
2022/2/25,6.7,晴,下関
2022/2/26,8.3,晴一時曇,下関
2022/2/27,9.4,晴,下関
2022/2/28,9.1,晴後一時曇,下関
2022/3/1,10.3,雨時々曇,下関
2022/3/2,9.8,晴一時曇,下関
2022/3/3,9.6,晴,下関
2022/3/4,8.4,曇時々晴,下関
2022/3/5,10.7,晴,下関
2022/3/6,6.8,晴,下関
2022/3/7,6.7,曇時々晴,下関
2022/3/8,8.8,晴,下関
2022/3/9,10.2,晴,下関
2022/3/10,11.0,晴後一時曇,下関
2022/3/11,13.3,曇時々晴,下関
2022/3/12,15.5,曇時々晴一時雨,下関
2022/3/13,15.3,曇時々雨,下関
2022/3/14,16.7,曇時々雨一時晴,下関
2022/3/15,14.4,晴時々雨,下関
2022/3/16,14.2,晴,下関
2022/3/17,14.7,曇時々晴,下関
2022/3/18,11.4,雨後一時曇,下関
2022/3/19,9.9,曇後雨時々晴,下関
2022/3/20,9.9,曇一時雨,下関
2022/3/21,11.9,曇一時雨,下関
2022/3/22,10.1,曇一時雨,下関
2022/3/23,8.7,曇後時々雨,下関
2022/3/24,10.5,晴時々曇,下関
2022/3/25,13.3,曇時々晴一時雨,下関
2022/3/26,15.4,雨時々曇一時晴,下関
2022/3/27,14.7,晴時々曇,下関
2022/3/28,12.4,曇,下関
2022/3/29,12.5,曇後時々晴,下関
2022/3/30,14.8,曇後時々雨一時晴,下関
2022/3/31,14.1,曇時々雨,下関
2022/4/1,11.4,晴後一時曇,下関
2022/4/2,10.0,曇後晴,下関
2022/4/3,11.1,晴,下関
2022/4/4,11.9,晴,下関
2022/4/5,13.1,晴後時々曇,下関
2022/4/6,15.2,晴,下関
