年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.9,曇時々晴,高松
2022/1/2,5.5,晴一時薄曇,高松
2022/1/3,6.8,晴一時薄曇,高松
2022/1/4,8.0,晴,高松
2022/1/5,5.3,曇一時晴,高松
2022/1/6,5.6,雨時々曇後晴,高松
2022/1/7,6.3,晴時々曇,高松
2022/1/8,4.2,快晴,高松
2022/1/9,6.4,曇一時晴,高松
2022/1/10,7.2,晴一時曇,高松
2022/1/11,5.2,雨時々曇、雷を伴う,高松
2022/1/12,4.2,晴,高松
2022/1/13,4.3,晴一時薄曇,高松
2022/1/14,3.9,晴時々曇,高松
2022/1/15,3.9,曇一時晴,高松
2022/1/16,6.7,晴一時曇,高松
2022/1/17,7.3,曇後時々晴,高松
2022/1/18,4.6,曇時々晴一時みぞれ,高松
2022/1/19,3.6,晴時々曇,高松
2022/1/20,4.7,晴一時曇,高松
2022/1/21,3.9,晴時々曇,高松
2022/1/22,3.0,晴,高松
2022/1/23,4.0,雨一時曇,高松
2022/1/24,6.6,曇一時晴,高松
2022/1/25,5.0,曇後時々晴,高松
2022/1/26,5.9,晴時々曇,高松
2022/1/27,6.6,晴一時曇,高松
2022/1/28,7.7,晴一時曇,高松
2022/1/29,7.3,曇一時晴,高松
2022/1/30,6.1,曇時々晴,高松
2022/1/31,6.6,晴,高松
2022/2/1,5.7,晴後時々曇,高松
2022/2/2,6.1,晴後薄曇,高松
2022/2/3,6.8,曇時々晴,高松
2022/2/4,5.3,晴一時曇,高松
2022/2/5,3.4,晴,高松
2022/2/6,3.2,晴後一時曇,高松
2022/2/7,4.6,晴後時々曇,高松
2022/2/8,5.4,曇後時々雨,高松
2022/2/9,5.5,晴一時薄曇,高松
2022/2/10,5.7,雨後晴,高松
2022/2/11,5.9,晴,高松
2022/2/12,6.3,薄曇後晴,高松
2022/2/13,4.8,雨,高松
2022/2/14,6.1,曇後晴,高松
2022/2/15,6.8,晴,高松
2022/2/16,4.0,晴一時曇,高松
2022/2/17,1.9,晴後一時曇,高松
2022/2/18,3.7,曇時々晴,高松
2022/2/19,3.3,曇後雨,高松
2022/2/20,4.7,晴一時曇,高松
2022/2/21,3.3,晴一時曇,高松
2022/2/22,4.0,晴,高松
2022/2/23,3.8,晴時々曇,高松
2022/2/24,4.0,晴一時曇,高松
2022/2/25,4.8,晴,高松
2022/2/26,6.3,快晴,高松
2022/2/27,9.2,晴,高松
2022/2/28,8.3,晴,高松
2022/3/1,6.2,雨一時曇,高松
2022/3/2,10.2,曇時々晴,高松
2022/3/3,9.5,晴,高松
2022/3/4,7.0,晴後曇,高松
2022/3/5,9.9,晴,高松
2022/3/6,7.8,晴,高松
2022/3/7,5.8,薄曇,高松
2022/3/8,6.9,晴,高松
2022/3/9,8.2,薄曇時々晴,高松
2022/3/10,9.3,晴後一時薄曇,高松
2022/3/11,10.6,薄曇後一時晴,高松
2022/3/12,15.6,曇後晴,高松
2022/3/13,14.9,曇一時晴,高松
2022/3/14,16.6,晴時々曇,高松
2022/3/15,17.1,晴一時曇,高松
2022/3/16,15.1,快晴,高松
2022/3/17,13.3,薄曇一時晴,高松
2022/3/18,9.8,雨,高松
2022/3/19,10.5,曇一時晴後時々雨,高松
2022/3/20,9.0,薄曇時々晴,高松
2022/3/21,10.4,曇時々晴,高松
2022/3/22,7.6,雨後晴,高松
2022/3/23,7.6,曇後雨,高松
2022/3/24,11.1,晴一時曇,高松
2022/3/25,12.2,晴時々薄曇,高松
2022/3/26,15.8,曇時々雨,高松
2022/3/27,15.8,晴時々曇,高松
2022/3/28,12.6,曇一時晴,高松
2022/3/29,10.4,曇後一時晴,高松
2022/3/30,13.6,薄曇時々晴,高松
2022/3/31,13.8,曇後雨,高松
2022/4/1,10.1,晴一時曇,高松
2022/4/2,8.1,薄曇一時晴,高松
2022/4/3,10.4,晴一時曇,高松
2022/4/4,13.3,晴一時曇,高松
2022/4/5,12.5,晴後時々曇,高松
2022/4/6,16.4,曇時々晴,高松
2022/4/7,16.1,晴一時薄曇,高松
2022/4/8,16.0,快晴,高松
2022/4/9,16.8,快晴,高松
2022/4/10,17.7,晴後一時薄曇,高松
2022/4/11,17.1,曇,高松
2022/4/12,19.1,晴後一時曇,高松
2022/4/13,19.8,曇一時霧,高松
2022/4/14,17.6,曇一時雨,高松
2022/4/15,14.7,雨時々曇,高松
2022/4/16,13.8,晴一時薄曇,高松
2022/4/17,13.8,晴一時薄曇,高松
2022/4/18,16.1,曇,高松
2022/4/19,17.3,薄曇後一時晴,高松
2022/4/20,17.8,快晴,高松
2022/4/21,15.5,曇後雨,高松
2022/4/22,19.0,晴一時曇,高松
2022/4/23,20.0,曇一時晴,高松
2022/4/24,17.0,雨一時曇,高松
2022/4/25,19.8,曇時々晴、霧を伴う,高松
2022/4/26,20.9,曇時々雨,高松
2022/4/27,20.2,曇,高松
2022/4/28,18.5,晴一時曇,高松
2022/4/29,15.3,雨時々曇,高松
2022/4/30,14.6,晴一時曇,高松
2022/5/1,16.0,曇一時雨,高松
2022/5/2,15.7,晴一時雨,高松
2022/5/3,15.2,晴,高松
2022/5/4,17.2,晴一時薄曇,高松
