年月日,平均気温,天気概況（昼）,都市
2022/1/1,2.8,雪時々みぞれ後曇,鳥取
2022/1/2,2.9,晴後曇一時雨,鳥取
2022/1/3,4.6,晴一時雨,鳥取
2022/1/4,3.2,雨時々曇,鳥取
2022/1/5,2.1,みぞれ後雨時々曇,鳥取
2022/1/6,4.6,曇後晴一時雨、みぞれを伴う,鳥取
2022/1/7,4.7,曇時々みぞれ一時雨,鳥取
2022/1/8,5.5,晴,鳥取
2022/1/9,6.1,曇一時晴後一時雨,鳥取
2022/1/10,6.0,晴時々曇,鳥取
2022/1/11,4.5,雨時々曇一時みぞれ,鳥取
2022/1/12,1.8,みぞれ一時雪後時々曇,鳥取
2022/1/13,1.1,みぞれ一時曇後雪、雷を伴う,鳥取
2022/1/14,3.1,曇時々みぞれ一時雪,鳥取
2022/1/15,3.5,曇時々晴,鳥取
2022/1/16,5.4,曇一時晴後時々雨,鳥取
2022/1/17,4.5,曇時々晴一時雪、みぞれを伴う,鳥取
2022/1/18,2.2,雪後みぞれ時々曇,鳥取
2022/1/19,1.5,みぞれ一時雪後雨時々曇,鳥取
2022/1/20,2.5,みぞれ時々曇一時雪、雷を伴う,鳥取
2022/1/21,3.2,みぞれ時々雪一時雨後曇,鳥取
2022/1/22,2.9,曇後時々晴,鳥取
2022/1/23,2.6,雨時々曇,鳥取
2022/1/24,5.6,曇時々雨,鳥取
2022/1/25,4.6,曇,鳥取
2022/1/26,5.7,曇時々雨、みぞれを伴う,鳥取
2022/1/27,4.9,雨後曇時々晴,鳥取
2022/1/28,3.5,雨後一時晴,鳥取
2022/1/29,4.4,雨時々曇,鳥取
2022/1/30,3.0,雨時々曇,鳥取
2022/1/31,2.4,雨時々曇一時みぞれ,鳥取
2022/2/1,3.3,曇時々晴後雨、みぞれを伴う,鳥取
2022/2/2,3.8,みぞれ一時雨後晴、雷を伴う,鳥取
2022/2/3,3.9,雨時々曇、みぞれを伴う,鳥取
2022/2/4,3.7,みぞれ後雨時々曇一時晴,鳥取
2022/2/5,0.8,雪時々曇一時晴、雷を伴う,鳥取
2022/2/6,0.3,雪、みぞれを伴う,鳥取
2022/2/7,2.4,雪時々みぞれ後曇一時雨,鳥取
2022/2/8,3.2,雨時々曇一時みぞれ,鳥取
2022/2/9,3.7,晴時々みぞれ後曇一時雨,鳥取
2022/2/10,4.3,曇時々晴,鳥取
2022/2/11,4.4,雨時々曇後晴、みぞれを伴う,鳥取
2022/2/12,4.5,晴時々曇,鳥取
2022/2/13,4.0,雨時々曇,鳥取
2022/2/14,5.8,曇一時雨後晴,鳥取
2022/2/15,6.9,晴後曇時々雨,鳥取
2022/2/16,2.1,雪後曇時々晴,鳥取
2022/2/17,-0.1,雪時々曇、雷を伴う,鳥取
2022/2/18,2.2,みぞれ時々雪後曇一時雨,鳥取
2022/2/19,1.8,雨時々曇、みぞれを伴う,鳥取
2022/2/20,1.9,みぞれ時々雪一時雨,鳥取
2022/2/21,1.6,曇時々雪、みぞれを伴う,鳥取
2022/2/22,0.3,雪時々みぞれ一時曇,鳥取
2022/2/23,-0.3,雪時々みぞれ,鳥取
2022/2/24,1.1,雪後みぞれ時々曇,鳥取
2022/2/25,2.5,曇一時晴,鳥取
2022/2/26,4.7,晴時々曇,鳥取
2022/2/27,6.2,曇時々雨,鳥取
2022/2/28,5.6,晴時々曇,鳥取
2022/3/1,6.3,雨時々曇,鳥取
2022/3/2,7.1,曇時々雨後晴,鳥取
2022/3/3,6.2,晴後曇一時雨,鳥取
2022/3/4,7.5,晴後時々曇,鳥取
2022/3/5,9.9,晴時々曇一時雨,鳥取
2022/3/6,5.9,雨時々曇、みぞれを伴う,鳥取
2022/3/7,5.3,曇一時雨,鳥取
2022/3/8,4.5,晴,鳥取
2022/3/9,6.3,晴時々曇,鳥取
2022/3/10,7.2,晴後一時曇,鳥取
2022/3/11,10.8,晴,鳥取
2022/3/12,13.0,晴時々曇,鳥取
2022/3/13,16.5,曇一時雨,鳥取
2022/3/14,14.1,曇時々雨一時晴,鳥取
2022/3/15,11.9,曇一時雨後晴,鳥取
2022/3/16,11.8,晴,鳥取
2022/3/17,9.7,曇一時晴,鳥取
2022/3/18,7.5,大雨,鳥取
2022/3/19,7.3,雨,鳥取
2022/3/20,6.3,雨後曇時々晴,鳥取
2022/3/21,7.6,曇一時雨後晴,鳥取
2022/3/22,7.0,雨時々曇後晴,鳥取
2022/3/23,6.7,曇後一時雨,鳥取
2022/3/24,8.9,晴時々曇,鳥取
2022/3/25,13.0,曇時々晴,鳥取
2022/3/26,16.9,雨時々曇、大風を伴う,鳥取
2022/3/27,12.8,晴時々曇,鳥取
2022/3/28,10.0,曇後時々晴,鳥取
2022/3/29,11.3,曇後一時晴,鳥取
2022/3/30,16.9,晴後時々曇,鳥取
2022/3/31,11.5,雨時々曇,鳥取
2022/4/1,9.0,晴後曇一時雨,鳥取
2022/4/2,7.2,晴一時雨,鳥取
2022/4/3,8.1,晴一時雨後曇、みぞれを伴う,鳥取
2022/4/4,9.0,晴,鳥取
2022/4/5,10.2,晴後一時曇,鳥取
2022/4/6,12.4,晴時々曇,鳥取
2022/4/7,13.1,晴後雨時々曇,鳥取
2022/4/8,13.0,晴一時雨,鳥取
2022/4/9,17.8,晴,鳥取
2022/4/10,17.7,晴,鳥取
2022/4/11,19.5,曇時々晴,鳥取
2022/4/12,21.0,晴後一時曇,鳥取
