年月日,平均気温,天気概況（昼）,都市
2022/1/1,-0.8,×,富山
2022/1/2,1.2,×,富山
2022/1/3,3.3,×,富山
2022/1/4,2.3,×,富山
2022/1/5,0.7,×,富山
2022/1/6,2.0,×,富山
2022/1/7,2.0,曇後雪時々みぞれ,富山
2022/1/8,4.5,晴一時曇,富山
2022/1/9,5.2,曇一時みぞれ後雨,富山
2022/1/10,4.7,晴時々曇,富山
2022/1/11,4.2,雨一時曇,富山
2022/1/12,0.4,雪時々曇,富山
2022/1/13,0.4,雪時々みぞれ、雷を伴う,富山
2022/1/14,0.2,雪時々曇,富山
2022/1/15,1.6,曇一時雪,富山
2022/1/16,2.9,曇時々雪一時みぞれ,富山
2022/1/17,2.0,みぞれ時々雨一時曇,富山
2022/1/18,-0.4,雪時々曇,富山
2022/1/19,0.5,曇一時晴後みぞれ時々雪,富山
2022/1/20,0.8,雪時々曇一時みぞれ,富山
2022/1/21,-0.7,雪後曇時々晴,富山
2022/1/22,0.9,曇,富山
2022/1/23,1.6,曇時々晴,富山
2022/1/24,3.3,曇一時みぞれ,富山
2022/1/25,3.4,曇時々晴,富山
2022/1/26,4.9,曇時々晴後雨,富山
2022/1/27,3.6,曇一時雨後晴、みぞれを伴う,富山
2022/1/28,1.4,雪一時曇後みぞれ,富山
2022/1/29,2.2,みぞれ時々曇一時雪後雨,富山
2022/1/30,1.4,みぞれ時々雪,富山
2022/1/31,2.3,曇時々晴,富山
2022/2/1,2.9,曇時々晴後雨、みぞれを伴う,富山
2022/2/2,2.6,みぞれ時々曇一時雨,富山
2022/2/3,3.1,みぞれ時々雨一時曇,富山
2022/2/4,2.2,みぞれ時々曇一時雨,富山
2022/2/5,-0.4,雪時々曇,富山
2022/2/6,-0.5,雪,富山
2022/2/7,0.9,曇一時雪後晴,富山
2022/2/8,2.0,曇時々晴後雨、みぞれを伴う,富山
2022/2/9,3.1,晴時々曇、みぞれを伴う,富山
2022/2/10,1.1,曇後みぞれ時々雪,富山
2022/2/11,2.8,みぞれ時々曇後晴,富山
2022/2/12,3.8,曇時々晴,富山
2022/2/13,4.3,曇一時晴後一時雨,富山
2022/2/14,4.7,曇時々晴,富山
2022/2/15,3.9,曇一時晴後雨、みぞれを伴う,富山
2022/2/16,0.9,雪時々みぞれ一時曇、雷を伴う,富山
2022/2/17,-0.4,雪時々曇、雷を伴う,富山
2022/2/18,1.6,曇一時雪後みぞれ、雷を伴う,富山
2022/2/19,1.7,曇後一時雨、みぞれを伴う,富山
2022/2/20,1.8,雨後みぞれ一時雪、雷を伴う,富山
2022/2/21,-0.6,雪時々曇,富山
2022/2/22,0.0,雪時々曇一時晴、みぞれを伴う,富山
2022/2/23,-0.5,雪,富山
2022/2/24,0.7,晴時々曇一時雪,富山
2022/2/25,3.0,曇一時雪、みぞれを伴う,富山
2022/2/26,6.3,晴後時々曇,富山
2022/2/27,5.6,雨時々曇、雷を伴う,富山
2022/2/28,6.8,曇時々晴,富山
2022/3/1,6.9,曇後時々雨,富山
2022/3/2,7.1,曇時々雨一時晴,富山
2022/3/3,5.0,雨時々曇一時晴、みぞれを伴う,富山
2022/3/4,5.0,晴後時々曇,富山
2022/3/5,8.0,晴後雨時々曇、雷を伴う,富山
2022/3/6,2.1,みぞれ時々雪一時雨、雷を伴う,富山
2022/3/7,3.9,曇時々みぞれ一時雨,富山
2022/3/8,3.9,曇後晴,富山
2022/3/9,5.8,晴,富山
2022/3/10,7.0,晴時々曇,富山
2022/3/11,11.5,晴後一時曇,富山
2022/3/12,10.8,晴,富山
2022/3/13,14.8,曇一時雨,富山
2022/3/14,10.9,曇時々雨,富山
2022/3/15,12.2,晴後雨時々曇,富山
2022/3/16,10.4,晴,富山
2022/3/17,8.2,曇,富山
2022/3/18,6.3,雨,富山
2022/3/19,6.4,雨時々曇,富山
2022/3/20,6.2,雨後曇時々晴,富山
2022/3/21,6.3,曇時々雨一時晴,富山
2022/3/22,5.4,雨後曇時々晴,富山
2022/3/23,5.0,曇,富山
2022/3/24,8.9,晴後曇一時雨,富山
2022/3/25,10.5,晴,富山
2022/3/26,17.0,雨時々曇、大風を伴う,富山
2022/3/27,11.8,曇一時雨後晴,富山
2022/3/28,9.4,曇時々晴,富山
2022/3/29,8.4,曇,富山
2022/3/30,16.3,晴後一時曇,富山
2022/3/31,9.7,雨時々曇,富山
2022/4/1,7.3,曇時々晴,富山
2022/4/2,6.7,晴,富山
2022/4/3,8.3,晴後曇一時雨,富山
2022/4/4,10.7,晴時々曇,富山
2022/4/5,12.1,曇一時雨後晴,富山
2022/4/6,13.3,曇時々晴,富山
2022/4/7,12.5,晴後一時雨一時曇,富山
2022/4/8,10.4,晴,富山
2022/4/9,17.6,晴,富山
2022/4/10,19.6,晴,富山
2022/4/11,19.1,曇後時々晴,富山
2022/4/12,20.6,晴,富山
2022/4/13,16.4,曇時々晴,富山
2022/4/14,11.5,雨時々曇、雷を伴う,富山
2022/4/15,11.2,雨,富山
2022/4/16,9.7,雨後曇時々晴,富山
2022/4/17,10.1,晴,富山
2022/4/18,12.6,曇後一時雨,富山
2022/4/19,11.9,晴,富山
2022/4/20,14.7,晴,富山
2022/4/21,18.4,曇後一時雨,富山
2022/4/22,16.8,曇一時雨後晴,富山
2022/4/23,15.8,曇一時雨,富山
2022/4/24,14.9,曇一時雨,富山
2022/4/25,19.0,晴時々曇,富山
2022/4/26,21.1,雨時々曇,富山
2022/4/27,15.5,曇時々雨,富山
2022/4/28,12.8,晴,富山
2022/4/29,10.7,大雨時々曇,富山
2022/4/30,11.5,晴時々曇,富山
2022/5/1,10.2,雨後一時曇,富山
2022/5/2,11.8,晴後曇一時雨,富山
2022/5/3,12.6,晴,富山
2022/5/4,18.6,晴,富山
2022/5/5,18.6,晴,富山
2022/5/6,19.2,晴,富山
2022/5/7,19.2,晴後曇一時雨,富山
2022/5/8,14.0,晴後時々曇,富山
