年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.0,雪時々曇一時みぞれ,津
2022/1/2,4.5,晴,津
2022/1/3,8.2,晴一時曇,津
2022/1/4,7.1,晴後一時雨,津
2022/1/5,4.3,晴一時雪,津
2022/1/6,4.2,曇時々雪一時みぞれ,津
2022/1/7,5.0,曇時々晴一時みぞれ,津
2022/1/8,5.2,晴,津
2022/1/9,5.7,晴時々曇,津
2022/1/10,8.6,晴,津
2022/1/11,5.8,雨時々曇,津
2022/1/12,4.1,晴一時雪後みぞれ時々曇,津
2022/1/13,4.8,晴一時曇後時々雨、みぞれを伴う,津
2022/1/14,3.5,晴後雪時々みぞれ一時雨,津
2022/1/15,5.6,曇後一時晴,津
2022/1/16,6.3,晴,津
2022/1/17,7.4,曇時々晴一時雨,津
2022/1/18,3.8,晴後雪時々曇、みぞれを伴う,津
2022/1/19,3.4,晴後曇時々みぞれ一時雨,津
2022/1/20,3.3,晴一時雨後雪時々みぞれ,津
2022/1/21,2.5,晴後雪時々曇,津
2022/1/22,4.4,晴,津
2022/1/23,2.8,曇後雨時々みぞれ,津
2022/1/24,6.3,曇後晴,津
2022/1/25,5.8,晴後時々曇,津
2022/1/26,8.1,晴後一時曇,津
2022/1/27,7.1,曇時々晴,津
2022/1/28,5.7,曇時々晴一時雨,津
2022/1/29,6.2,曇時々晴,津
2022/1/30,5.8,曇時々晴一時雪,津
2022/1/31,5.0,晴,津
2022/2/1,6.2,晴後一時雨一時曇,津
2022/2/2,5.8,晴一時雪後曇、みぞれを伴う,津
2022/2/3,6.1,曇後時々晴一時雨,津
2022/2/4,5.3,曇後晴一時雨,津
2022/2/5,3.9,晴後一時雪,津
2022/2/6,3.4,晴後一時雪一時曇,津
2022/2/7,3.9,晴一時雪後曇、みぞれを伴う,津
2022/2/8,5.7,曇時々晴後雨,津
2022/2/9,6.4,晴時々曇,津
2022/2/10,5.7,雨時々曇一時晴,津
2022/2/11,7.6,晴,津
2022/2/12,6.7,晴一時曇,津
2022/2/13,4.3,雨時々曇,津
2022/2/14,7.2,曇後時々晴,津
2022/2/15,7.6,晴一時雨後曇,津
2022/2/16,4.9,晴後一時曇,津
2022/2/17,2.3,晴時々曇一時雪,津
2022/2/18,4.3,晴,津
2022/2/19,4.2,曇時々晴後雨,津
2022/2/20,5.7,雨時々曇後晴,津
2022/2/21,3.1,晴後曇一時雪、みぞれを伴う,津
2022/2/22,4.2,晴後一時雨一時曇、みぞれを伴う,津
2022/2/23,3.1,晴後曇時々みぞれ一時雪,津
2022/2/24,2.7,晴一時曇、みぞれを伴う,津
2022/2/25,5.1,晴一時曇,津
2022/2/26,7.1,晴,津
2022/2/27,8.4,晴時々雨,津
2022/2/28,8.8,晴一時曇,津
2022/3/1,6.2,曇一時晴後雨,津
2022/3/2,9.6,曇時々晴一時雨,津
2022/3/3,8.9,晴時々曇,津
2022/3/4,7.6,曇時々晴,津
2022/3/5,8.3,晴後一時雨,津
2022/3/6,5.8,曇後晴時々雨、みぞれを伴う,津
2022/3/7,5.9,曇一時雪,津
2022/3/8,7.4,晴,津
2022/3/9,8.3,晴後曇一時雨,津
2022/3/10,8.8,晴,津
2022/3/11,9.2,晴後時々曇,津
2022/3/12,13.4,晴一時雨,津
2022/3/13,14.1,曇後一時晴,津
2022/3/14,16.0,曇一時雨後晴,津
2022/3/15,14.9,晴一時曇,津
2022/3/16,13.3,晴,津
2022/3/17,14.3,晴後時々曇,津
2022/3/18,10.9,大雨一時曇,津
2022/3/19,10.3,曇時々晴一時雨,津
2022/3/20,8.9,晴一時雨後曇,津
2022/3/21,10.1,曇時々晴,津
2022/3/22,7.2,雨後一時曇一時晴,津
2022/3/23,7.1,曇一時雨,津
2022/3/24,10.9,晴後時々曇,津
2022/3/25,11.2,晴後時々曇,津
2022/3/26,14.1,雨一時曇,津
2022/3/27,14.9,晴時々曇,津
2022/3/28,11.3,曇一時晴,津
2022/3/29,11.6,曇,津
2022/3/30,14.8,晴時々曇,津
2022/3/31,13.5,曇時々雨,津
2022/4/1,9.2,曇後晴,津
2022/4/2,8.6,曇後一時雨,津
2022/4/3,9.8,雨時々曇,津
2022/4/4,13.0,晴一時曇,津
2022/4/5,13.8,晴,津
2022/4/6,15.0,晴時々曇,津
2022/4/7,15.3,晴後時々曇,津
2022/4/8,16.1,晴,津
2022/4/9,14.9,晴,津
2022/4/10,17.4,晴,津
2022/4/11,17.7,曇時々晴,津
2022/4/12,18.8,晴,津
2022/4/13,20.6,曇後晴一時雨,津
2022/4/14,17.9,雨時々曇,津
2022/4/15,16.8,曇時々雨,津
2022/4/16,13.2,晴時々曇,津
2022/4/17,12.3,雨時々曇,津
2022/4/18,14.3,雨時々曇,津
2022/4/19,17.1,晴,津
2022/4/20,15.6,晴,津
2022/4/21,15.4,雨時々曇,津
2022/4/22,19.7,晴,津
2022/4/23,20.3,曇時々晴,津
