年月日,平均気温,天気概況（昼）,都市
2022/1/1,0.9,晴一時曇,宇都宮
2022/1/2,0.4,晴,宇都宮
2022/1/3,2.1,晴一時曇,宇都宮
2022/1/4,1.2,晴一時曇後一時雨、みぞれを伴う,宇都宮
2022/1/5,0.6,晴,宇都宮
2022/1/6,-0.7,曇時々晴,宇都宮
2022/1/7,0.4,晴,宇都宮
2022/1/8,1.4,晴一時曇,宇都宮
2022/1/9,3.3,晴後一時曇,宇都宮
2022/1/10,5.7,曇後一時晴,宇都宮
2022/1/11,4.8,雨時々曇,宇都宮
2022/1/12,2.6,晴一時曇,宇都宮
2022/1/13,1.8,晴時々曇、みぞれを伴う,宇都宮
2022/1/14,2.0,晴,宇都宮
2022/1/15,2.0,曇時々晴,宇都宮
2022/1/16,2.4,晴,宇都宮
2022/1/17,2.9,晴時々曇、みぞれを伴う,宇都宮
2022/1/18,1.5,晴一時曇,宇都宮
2022/1/19,1.0,晴,宇都宮
2022/1/20,2.0,晴後一時曇,宇都宮
2022/1/21,0.4,曇時々晴一時雪,宇都宮
2022/1/22,0.8,晴,宇都宮
2022/1/23,3.3,曇一時晴,宇都宮
2022/1/24,4.2,晴時々曇,宇都宮
2022/1/25,1.9,曇時々晴,宇都宮
2022/1/26,4.8,曇一時雪後晴、みぞれを伴う,宇都宮
2022/1/27,4.6,晴,宇都宮
2022/1/28,3.1,晴,宇都宮
2022/1/29,2.3,晴,宇都宮
2022/1/30,2.6,晴後時々曇,宇都宮
2022/1/31,1.5,晴,宇都宮
2022/2/1,3.0,晴,宇都宮
2022/2/2,3.0,晴,宇都宮
2022/2/3,3.3,晴一時曇,宇都宮
2022/2/4,2.2,晴一時曇,宇都宮
2022/2/5,1.0,晴時々曇,宇都宮
2022/2/6,-0.1,晴時々曇,宇都宮
2022/2/7,0.8,晴,宇都宮
2022/2/8,2.5,曇後晴,宇都宮
2022/2/9,3.8,晴時々曇,宇都宮
2022/2/10,2.0,みぞれ一時雪後時々雨,宇都宮
2022/2/11,3.5,晴時々曇,宇都宮
2022/2/12,2.2,曇時々晴,宇都宮
2022/2/13,3.0,晴後雨時々曇,宇都宮
2022/2/14,4.0,晴時々曇,宇都宮
2022/2/15,3.7,曇,宇都宮
2022/2/16,4.6,晴,宇都宮
2022/2/17,1.6,晴後時々曇,宇都宮
2022/2/18,3.8,晴時々曇,宇都宮
2022/2/19,4.1,曇,宇都宮
2022/2/20,5.2,曇時々雨後晴,宇都宮
2022/2/21,1.6,晴時々曇,宇都宮
2022/2/22,1.3,晴,宇都宮
2022/2/23,1.5,晴,宇都宮
2022/2/24,2.4,晴,宇都宮
2022/2/25,3.6,晴,宇都宮
2022/2/26,6.0,晴,宇都宮
2022/2/27,6.7,晴,宇都宮
2022/2/28,6.8,晴一時曇,宇都宮
2022/3/1,8.6,晴後曇一時雨,宇都宮
