年月日,平均気温,天気概況（昼）,都市
2022/1/1,4.7,曇時々みぞれ後晴一時雨,和歌山
2022/1/2,4.8,晴,和歌山
2022/1/3,6.0,晴時々曇、みぞれを伴う,和歌山
2022/1/4,7.6,晴時々雨一時曇,和歌山
2022/1/5,5.8,晴時々曇,和歌山
2022/1/6,4.3,みぞれ一時雪後曇時々晴,和歌山
2022/1/7,6.0,晴後時々曇,和歌山
2022/1/8,4.8,晴,和歌山
2022/1/9,6.8,曇時々晴,和歌山
2022/1/10,8.2,晴,和歌山
2022/1/11,6.5,雨時々曇、雷を伴う,和歌山
2022/1/12,4.8,晴後雨時々曇、みぞれを伴う,和歌山
2022/1/13,4.9,晴時々曇一時みぞれ,和歌山
2022/1/14,4.4,曇後時々晴一時雨、みぞれを伴う,和歌山
2022/1/15,5.2,曇時々晴,和歌山
2022/1/16,7.0,晴時々曇,和歌山
2022/1/17,7.1,曇,和歌山
2022/1/18,4.7,曇後時々みぞれ時々晴一時雪,和歌山
2022/1/19,4.1,曇時々雪後晴一時雨,和歌山
2022/1/20,4.1,曇一時雪後晴、みぞれを伴う,和歌山
2022/1/21,3.7,晴後曇時々みぞれ一時雨,和歌山
2022/1/22,5.4,晴時々曇,和歌山
2022/1/23,4.0,みぞれ時々曇一時雪後雨,和歌山
2022/1/24,6.7,曇時々晴一時雨,和歌山
2022/1/25,4.6,曇時々晴,和歌山
2022/1/26,7.0,晴一時曇,和歌山
2022/1/27,6.9,晴,和歌山
2022/1/28,6.3,晴時々曇,和歌山
2022/1/29,6.0,曇後一時晴,和歌山
2022/1/30,5.6,曇時々晴,和歌山
2022/1/31,5.5,曇一時雨後時々晴,和歌山
2022/2/1,5.7,晴後曇一時雨,和歌山
2022/2/2,6.1,晴時々曇,和歌山
2022/2/3,6.4,曇後一時晴,和歌山
2022/2/4,5.6,晴時々曇,和歌山
2022/2/5,4.1,晴時々曇一時雪,和歌山
2022/2/6,3.8,曇時々晴,和歌山
2022/2/7,4.8,晴一時曇,和歌山
2022/2/8,5.0,曇後雨,和歌山
2022/2/9,6.0,晴時々曇,和歌山
2022/2/10,5.5,曇後雨時々晴,和歌山
2022/2/11,6.1,晴,和歌山
2022/2/12,6.8,晴一時曇,和歌山
2022/2/13,4.4,雨一時雪,和歌山
2022/2/14,6.8,曇後時々晴,和歌山
2022/2/15,7.7,晴時々曇,和歌山
2022/2/16,4.6,曇時々晴一時雪、みぞれを伴う,和歌山
2022/2/17,2.6,晴後一時曇,和歌山
2022/2/18,4.3,曇時々晴,和歌山
2022/2/19,4.7,雨時々曇,和歌山
2022/2/20,5.8,晴時々曇,和歌山
2022/2/21,3.9,晴後一時曇,和歌山
2022/2/22,4.3,曇一時雨後晴、みぞれを伴う,和歌山
2022/2/23,4.0,曇時々晴,和歌山
2022/2/24,4.0,晴後時々曇,和歌山
2022/2/25,4.5,晴後一時雨,和歌山
2022/2/26,6.6,晴,和歌山
2022/2/27,8.1,晴一時雨,和歌山
2022/2/28,8.4,晴後時々曇,和歌山
2022/3/1,8.4,曇一時晴後雨,和歌山
2022/3/2,10.3,雨後曇時々晴,和歌山
2022/3/3,9.7,晴,和歌山
2022/3/4,8.5,曇時々晴,和歌山
2022/3/5,11.2,晴後一時曇,和歌山
2022/3/6,7.3,晴後一時曇,和歌山
2022/3/7,6.5,曇一時晴,和歌山
2022/3/8,6.7,晴,和歌山
2022/3/9,8.2,晴,和歌山
2022/3/10,9.8,晴,和歌山
2022/3/11,11.3,曇一時晴,和歌山
2022/3/12,14.7,晴一時曇,和歌山
2022/3/13,16.8,曇時々晴,和歌山
2022/3/14,17.4,曇時々晴一時雨,和歌山
2022/3/15,17.6,晴一時曇,和歌山
2022/3/16,14.9,晴,和歌山
2022/3/17,14.3,曇時々晴,和歌山
2022/3/18,11.2,大雨,和歌山
2022/3/19,10.7,曇後雨一時晴,和歌山
2022/3/20,9.1,曇時々晴,和歌山
2022/3/21,10.6,曇後時々晴,和歌山
2022/3/22,7.8,雨後時々曇一時晴,和歌山
2022/3/23,8.0,曇後一時雨,和歌山
2022/3/24,10.9,晴,和歌山
2022/3/25,13.2,晴時々曇,和歌山
2022/3/26,18.2,雨時々曇,和歌山
2022/3/27,15.5,晴一時曇,和歌山
2022/3/28,12.3,曇一時晴,和歌山
2022/3/29,11.2,曇後一時雨,和歌山
2022/3/30,14.6,晴,和歌山
2022/3/31,14.1,曇時々雨,和歌山
2022/4/1,9.6,晴一時曇,和歌山
2022/4/2,9.1,曇後一時晴,和歌山
2022/4/3,11.3,雨時々曇,和歌山
2022/4/4,13.2,晴,和歌山
2022/4/5,12.9,晴後時々曇,和歌山
2022/4/6,15.3,晴後一時曇,和歌山
2022/4/7,15.3,晴,和歌山
2022/4/8,16.1,晴,和歌山
2022/4/9,16.1,晴,和歌山
2022/4/10,17.4,晴,和歌山
2022/4/11,18.1,曇時々晴,和歌山
2022/4/12,19.3,晴,和歌山
2022/4/13,20.0,曇時々雨後晴,和歌山
2022/4/14,20.0,曇時々雨一時晴,和歌山
2022/4/15,16.2,曇後一時雨,和歌山
2022/4/16,13.6,晴時々曇,和歌山
2022/4/17,14.6,晴,和歌山
2022/4/18,16.7,曇時々晴,和歌山
2022/4/19,17.6,晴時々曇,和歌山
2022/4/20,17.0,晴,和歌山
2022/4/21,16.1,雨時々曇,和歌山
2022/4/22,18.4,曇一時雨後晴,和歌山
2022/4/23,18.8,曇時々晴,和歌山
2022/4/24,17.6,雨後時々曇,和歌山
2022/4/25,20.1,曇一時雨後晴,和歌山
2022/4/26,22.5,曇時々雨、大風を伴う,和歌山
2022/4/27,20.4,曇時々雨,和歌山
2022/4/28,18.7,晴時々曇,和歌山
2022/4/29,16.6,雨時々曇、大風を伴う,和歌山
2022/4/30,14.9,晴一時曇,和歌山
2022/5/1,15.2,雨後曇時々晴,和歌山
2022/5/2,14.6,晴,和歌山
2022/5/3,15.1,晴,和歌山
2022/5/4,17.1,晴,和歌山
2022/5/5,18.2,晴時々曇,和歌山
2022/5/6,18.6,曇後一時晴,和歌山
2022/5/7,20.4,晴,和歌山
2022/5/8,18.7,晴,和歌山
2022/5/9,15.0,雨時々曇,和歌山
2022/5/10,17.3,曇後一時晴,和歌山
2022/5/11,19.0,雨後曇時々晴,和歌山
2022/5/12,19.0,雨,和歌山
2022/5/13,19.7,雨一時曇,和歌山
2022/5/14,20.0,曇後時々晴,和歌山
2022/5/15,16.9,曇後一時雨,和歌山
2022/5/16,17.5,曇,和歌山
2022/5/17,17.6,曇,和歌山
2022/5/18,19.7,晴,和歌山
2022/5/19,20.3,晴後時々曇,和歌山
2022/5/20,20.4,曇,和歌山
2022/5/21,18.8,曇時々雨,和歌山
2022/5/22,21.1,晴,和歌山
2022/5/23,22.7,晴後時々曇,和歌山
2022/5/24,21.9,晴,和歌山
2022/5/25,22.7,晴時々曇,和歌山
2022/5/26,22.0,晴後曇一時雨,和歌山
2022/5/27,22.2,晴時々曇,和歌山
2022/5/28,23.7,晴,和歌山
2022/5/29,23.7,晴,和歌山
2022/5/30,21.3,曇時々晴後雨,和歌山
2022/5/31,22.0,曇一時雨後晴,和歌山
2022/6/1,20.5,曇一時晴,和歌山
2022/6/2,22.0,晴,和歌山
2022/6/3,23.5,晴,和歌山
2022/6/4,22.7,晴一時曇後一時雨,和歌山
2022/6/5,21.2,曇後時々雨,和歌山
2022/6/6,0.0,,和歌山
2022/6/7,0.0,,和歌山
2022/6/8,0.0,,和歌山
2022/6/9,0.0,,和歌山
2022/6/10,0.0,,和歌山
2022/6/11,0.0,,和歌山
2022/6/12,0.0,,和歌山
2022/6/13,0.0,,和歌山
2022/6/14,0.0,,和歌山
2022/6/15,0.0,,和歌山
2022/6/16,0.0,,和歌山
2022/6/17,0.0,,和歌山
2022/6/18,0.0,,和歌山
2022/6/19,0.0,,和歌山
2022/6/20,0.0,,和歌山
2022/6/21,0.0,,和歌山
2022/6/22,0.0,,和歌山
2022/6/23,0.0,,和歌山
2022/6/24,0.0,,和歌山
2022/6/25,0.0,,和歌山
2022/6/26,0.0,,和歌山
2022/6/27,0.0,,和歌山
2022/6/28,0.0,,和歌山
2022/6/29,0.0,,和歌山
2022/6/30,0.0,,和歌山
