年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.4,快晴,['weather_data']
2022/1/2,3.5,曇後晴,['weather_data']
2022/1/3,5.5,晴,['weather_data']
2022/1/4,5.2,快晴,['weather_data']
2022/1/5,4.1,快晴,['weather_data']
2022/1/6,0.7,曇後雪,['weather_data']
2022/1/7,2.6,快晴,['weather_data']
2022/1/8,4.5,快晴,['weather_data']
2022/1/9,6.3,晴後薄曇,['weather_data']
2022/1/10,7.7,曇一時晴,['weather_data']
2022/1/11,5.7,雨一時曇,['weather_data']
2022/1/12,5.0,快晴,['weather_data']
2022/1/13,5.7,晴時々曇,['weather_data']
2022/1/14,4.4,快晴,['weather_data']
2022/1/15,5.5,薄曇,['weather_data']
2022/1/16,5.4,快晴,['weather_data']
2022/1/17,6.0,薄曇時々晴,['weather_data']
2022/1/18,4.4,快晴,['weather_data']
2022/1/19,3.7,晴時々曇,['weather_data']
2022/1/20,3.4,快晴,['weather_data']
2022/1/21,3.0,晴,['weather_data']
2022/1/22,4.5,快晴,['weather_data']
2022/1/23,5.1,曇,['weather_data']
2022/1/24,6.4,曇一時晴,['weather_data']
2022/1/25,5.2,晴後曇,['weather_data']
2022/1/26,5.5,曇後晴,['weather_data']
2022/1/27,6.8,薄曇後時々晴,['weather_data']
2022/1/28,6.6,曇時々晴,['weather_data']
2022/1/29,5.9,曇後時々晴,['weather_data']
2022/1/30,5.2,曇,['weather_data']
2022/1/31,4.9,快晴,['weather_data']
2022/2/1,5.6,晴,['weather_data']
2022/2/2,5.5,晴,['weather_data']
2022/2/3,5.8,晴時々薄曇,['weather_data']
2022/2/4,4.9,曇,['weather_data']
2022/2/5,3.5,晴一時曇,['weather_data']
2022/2/6,2.3,晴時々曇,['weather_data']
2022/2/7,4.5,晴,['weather_data']
2022/2/8,5.3,曇後晴,['weather_data']
2022/2/9,6.2,晴時々薄曇,['weather_data']
2022/2/10,2.3,みぞれ一時雨後一時雪,['weather_data']
2022/2/11,4.1,晴一時曇,['weather_data']
2022/2/12,4.7,薄曇後時々晴,['weather_data']
2022/2/13,3.1,曇後雨,['weather_data']
2022/2/14,3.9,曇後一時晴,['weather_data']
2022/2/15,5.5,晴時々曇,['weather_data']
2022/2/16,6.0,晴,['weather_data']
2022/2/17,4.6,晴,['weather_data']
2022/2/18,5.7,快晴,['weather_data']
2022/2/19,5.0,曇後一時雨,['weather_data']
2022/2/20,5.9,曇時々雨,['weather_data']
2022/2/21,4.1,快晴,['weather_data']
2022/2/22,4.4,晴,['weather_data']
2022/2/23,4.4,晴,['weather_data']
2022/2/24,4.8,晴一時曇,['weather_data']
2022/2/25,6.5,快晴,['weather_data']
2022/2/26,8.6,晴,['weather_data']
2022/2/27,9.5,快晴,['weather_data']
2022/2/28,9.8,晴後時々曇,['weather_data']
2022/3/1,11.0,薄曇後一時晴,['weather_data']
2022/3/2,11.2,曇時々晴,['weather_data']
2022/3/3,9.5,晴一時曇,['weather_data']
2022/3/4,8.1,薄曇時々晴,['weather_data']
2022/3/5,11.2,快晴,['weather_data']
2022/3/6,8.1,晴後一時曇,['weather_data']
2022/3/7,8.3,晴後薄曇,['weather_data']
2022/3/8,6.3,雨後曇,['weather_data']
2022/3/9,7.9,晴後薄曇,['weather_data']
2022/3/10,9.0,晴時々薄曇,['weather_data']
2022/3/11,12.0,晴後一時薄曇,['weather_data']
2022/3/12,14.6,晴,['weather_data']
2022/3/13,14.7,薄曇,['weather_data']
2022/3/14,16.4,晴一時雨,['weather_data']
2022/3/15,12.7,曇後晴,['weather_data']
2022/3/16,14.1,曇後晴,['weather_data']
2022/3/17,14.1,曇一時晴,['weather_data']
2022/3/18,5.2,雨時々曇,['weather_data']
2022/3/19,10.1,晴後曇一時雨,['weather_data']
2022/3/20,9.9,晴後曇,['weather_data']
2022/3/21,9.6,曇後一時晴,['weather_data']
2022/3/22,3.7,雨一時みぞれ,['weather_data']
2022/3/23,5.2,薄曇,['weather_data']
2022/3/24,8.2,晴,['weather_data']
2022/3/25,12.2,快晴,['weather_data']
2022/3/26,16.1,曇後時々雨,['weather_data']
2022/3/27,16.2,曇一時晴,['weather_data']
2022/3/28,13.5,晴時々曇,['weather_data']
2022/3/29,10.2,曇,['weather_data']
2022/3/30,14.5,曇一時晴,['weather_data']
2022/3/31,15.1,曇,['weather_data']
2022/4/1,7.6,曇一時雨,['weather_data']
2022/4/2,8.5,薄曇時々晴,['weather_data']
2022/4/3,8.2,雨一時曇,['weather_data']
2022/4/4,8.5,大雨,['weather_data']
2022/4/5,12.6,曇一時雨後晴,['weather_data']
2022/4/6,15.5,曇後晴,['weather_data']
2022/4/7,14.3,曇,['weather_data']
2022/4/8,15.4,快晴,['weather_data']
2022/4/9,17.2,快晴,['weather_data']
2022/4/10,19.6,快晴,['weather_data']
2022/4/11,18.9,薄曇,['weather_data']
2022/4/12,20.0,快晴,['weather_data']
2022/4/13,20.8,薄曇,['weather_data']
2022/4/14,12.3,雨,['weather_data']
2022/4/15,10.1,雨,['weather_data']
2022/4/16,12.5,曇時々晴一時雨,['weather_data']
2022/4/17,13.7,曇,['weather_data']
2022/4/18,14.3,曇時々雨,['weather_data']
2022/4/19,15.3,曇時々晴,['weather_data']
2022/4/20,12.2,曇時々雨,['weather_data']
2022/4/21,16.4,薄曇,['weather_data']
2022/4/22,19.2,晴時々曇,['weather_data']
2022/4/23,20.8,曇時々晴,['weather_data']
2022/4/24,17.3,曇後雨,['weather_data']
2022/4/25,19.9,晴,['weather_data']
2022/4/26,21.3,曇一時雨,['weather_data']
2022/4/27,23.0,曇一時雨,['weather_data']
2022/4/28,16.9,曇後晴,['weather_data']
2022/4/29,12.9,雨一時曇,['weather_data']
2022/4/30,12.6,晴,['weather_data']
2022/5/1,12.7,曇後雨,['weather_data']
2022/5/2,13.3,曇一時晴,['weather_data']
2022/5/3,15.2,快晴,['weather_data']
2022/5/4,17.9,快晴,['weather_data']
2022/5/5,19.8,薄曇時々晴,['weather_data']
2022/5/6,19.5,薄曇,['weather_data']
2022/5/7,18.5,曇時々雨後一時晴,['weather_data']
2022/5/8,18.3,曇時々晴,['weather_data']
2022/5/9,14.1,曇時々雨,['weather_data']
2022/5/10,16.5,薄曇一時晴,['weather_data']
2022/5/11,18.7,薄曇後一時晴,['weather_data']
2022/5/12,19.4,曇後雨,['weather_data']
2022/5/13,18.8,雨,['weather_data']
2022/5/14,21.8,雨後薄曇,['weather_data']
2022/5/15,17.5,曇,['weather_data']
2022/5/16,14.5,雨時々曇,['weather_data']
2022/5/17,15.7,曇時々雨,['weather_data']
2022/5/18,18.8,薄曇,['weather_data']
2022/5/19,20.5,晴後薄曇,['weather_data']
2022/5/20,21.2,薄曇,['weather_data']
2022/5/21,18.2,曇時々大雨,['weather_data']
2022/5/22,19.0,曇時々晴,['weather_data']
2022/5/23,19.6,晴一時曇,['weather_data']
2022/5/24,20.9,晴一時曇,['weather_data']
2022/5/25,21.8,薄曇一時晴,['weather_data']
2022/5/26,21.6,薄曇,['weather_data']
2022/5/27,21.0,大雨後曇,['weather_data']
2022/5/28,22.4,晴,['weather_data']
2022/5/29,24.1,快晴,['weather_data']
2022/5/30,22.3,晴後一時曇,['weather_data']
2022/5/31,18.7,曇時々雨,['weather_data']
2022/6/1,21.8,薄曇,['weather_data']
2022/6/2,22.5,晴,['weather_data']
2022/6/3,20.6,薄曇後時々雨、雷を伴う,['weather_data']
2022/6/4,20.3,晴一時薄曇,['weather_data']
2022/6/5,21.5,曇,['weather_data']
2022/6/6,0.0,,['weather_data']
2022/6/7,0.0,,['weather_data']
2022/6/8,0.0,,['weather_data']
2022/6/9,0.0,,['weather_data']
2022/6/10,0.0,,['weather_data']
2022/6/11,0.0,,['weather_data']
2022/6/12,0.0,,['weather_data']
2022/6/13,0.0,,['weather_data']
2022/6/14,0.0,,['weather_data']
2022/6/15,0.0,,['weather_data']
2022/6/16,0.0,,['weather_data']
2022/6/17,0.0,,['weather_data']
2022/6/18,0.0,,['weather_data']
2022/6/19,0.0,,['weather_data']
2022/6/20,0.0,,['weather_data']
2022/6/21,0.0,,['weather_data']
2022/6/22,0.0,,['weather_data']
2022/6/23,0.0,,['weather_data']
2022/6/24,0.0,,['weather_data']
2022/6/25,0.0,,['weather_data']
2022/6/26,0.0,,['weather_data']
2022/6/27,0.0,,['weather_data']
2022/6/28,0.0,,['weather_data']
2022/6/29,0.0,,['weather_data']
2022/6/30,0.0,,['weather_data']
