年月日,平均気温,天気概況（昼）,都市
2022/1/1,-3.7,雪,山形
2022/1/2,0.0,曇一時雪、みぞれを伴う,山形
2022/1/3,-0.6,雪一時晴後曇,山形
2022/1/4,-2.1,雪,山形
2022/1/5,-3.3,雪後曇時々晴,山形
2022/1/6,-3.6,晴時々曇,山形
2022/1/7,-1.2,雪時々曇一時晴,山形
2022/1/8,1.1,曇一時雪後晴,山形
2022/1/9,1.3,みぞれ一時雪後雨時々曇,山形
2022/1/10,-0.4,晴一時曇、霧を伴う,山形
2022/1/11,-1.3,雪時々曇一時みぞれ,山形
2022/1/12,-1.0,雪,山形
2022/1/13,-0.7,雪時々曇,山形
2022/1/14,-1.7,雪時々曇,山形
2022/1/15,1.1,曇時々晴一時雪後時々みぞれ,山形
2022/1/16,1.1,曇後みぞれ時々雪一時雨,山形
2022/1/17,0.2,雪一時晴後曇、みぞれを伴う,山形
2022/1/18,-2.8,雪,山形
2022/1/19,-1.2,曇時々雪,山形
2022/1/20,-0.8,曇時々晴後雪,山形
2022/1/21,-2.4,曇時々晴一時雪,山形
2022/1/22,-0.1,雪一時晴後曇時々みぞれ,山形
2022/1/23,0.2,曇時々晴,山形
2022/1/24,1.2,曇時々晴,山形
2022/1/25,0.4,晴時々曇,山形
2022/1/26,0.7,晴時々雪後曇、みぞれを伴う,山形
2022/1/27,0.4,雪時々晴後曇、みぞれを伴う,山形
2022/1/28,-1.4,雪時々曇一時晴,山形
2022/1/29,-0.4,雪時々晴後曇,山形
2022/1/30,-1.2,曇時々晴後雪,山形
2022/1/31,-1.7,曇時々雪,山形
2022/2/1,0.1,曇時々晴一時雪,山形
2022/2/2,-0.3,曇時々雪,山形
2022/2/3,-0.7,雪時々曇,山形
2022/2/4,-1.1,曇時々雪,山形
2022/2/5,-2.7,雪時々曇,山形
2022/2/6,-3.1,雪,山形
2022/2/7,-1.5,曇時々雪,山形
2022/2/8,-0.1,曇時々雪一時晴、みぞれを伴う,山形
2022/2/9,0.5,曇時々晴,山形
2022/2/10,-1.8,曇時々雪,山形
2022/2/11,0.4,曇一時雪後晴,山形
2022/2/12,0.4,曇時々晴,山形
2022/2/13,2.5,晴後一時曇,山形
2022/2/14,0.6,晴時々曇,山形
2022/2/15,-0.7,曇時々晴後雪、みぞれを伴う,山形
2022/2/16,0.4,曇後晴時々雪一時みぞれ,山形
2022/2/17,0.3,曇時々雪一時晴,山形
2022/2/18,0.1,雪時々晴後曇一時みぞれ,山形
2022/2/19,-0.1,曇,山形
2022/2/20,0.3,曇時々みぞれ一時雨後一時雪,山形
2022/2/21,-3.8,雪,山形
2022/2/22,-3.2,雪,山形
2022/2/23,-2.6,雪後曇時々晴,山形
2022/2/24,-0.7,雪時々曇一時晴,山形
2022/2/25,1.6,雪後みぞれ時々曇一時雨,山形
2022/2/26,4.3,曇時々雨、みぞれを伴う,山形
2022/2/27,3.7,雨時々曇一時みぞれ,山形
2022/2/28,3.2,曇後雨時々晴、みぞれを伴う,山形
2022/3/1,2.9,晴後雨時々曇,山形
2022/3/2,3.8,曇時々晴一時みぞれ,山形
2022/3/3,1.5,みぞれ時々雨一時雪,山形
2022/3/4,2.1,曇時々雪後晴、みぞれを伴う,山形
2022/3/5,1.8,曇時々晴後雨,山形
2022/3/6,-0.3,雪,山形
2022/3/7,1.6,晴時々雪後曇、みぞれを伴う,山形
2022/3/8,2.5,曇時々晴,山形
2022/3/9,2.7,晴時々曇,山形
2022/3/10,3.6,曇時々晴,山形
2022/3/11,6.2,曇時々晴,山形
2022/3/12,7.5,曇一時雨後晴,山形
2022/3/13,3.1,みぞれ時々曇一時雪後雨,山形
2022/3/14,5.6,曇一時雨,山形
2022/3/15,7.0,雨時々曇一時晴,山形
2022/3/16,5.5,曇時々晴,山形
2022/3/17,5.4,曇時々晴一時雨,山形
2022/3/18,0.9,曇一時雪後みぞれ,山形
2022/3/19,3.0,曇一時みぞれ,山形
2022/3/20,4.2,曇時々みぞれ一時雨,山形
2022/3/21,3.0,雨後曇時々晴、みぞれを伴う,山形
2022/3/22,1.2,曇一時雪後一時晴,山形
2022/3/23,2.5,曇時々晴,山形
2022/3/24,5.6,曇後晴一時雨,山形
2022/3/25,8.3,晴,山形
2022/3/26,6.4,雨時々曇,山形
2022/3/27,9.0,曇一時雨後晴,山形
2022/3/28,6.5,雨後晴時々曇、みぞれを伴う,山形
2022/3/29,6.5,曇時々晴,山形
2022/3/30,10.4,晴,山形
2022/3/31,6.6,雨後時々曇,山形
2022/4/1,4.4,曇時々みぞれ一時晴,山形
2022/4/2,4.8,晴,山形
2022/4/3,7.5,晴,山形
2022/4/4,7.7,雨後一時曇,山形
2022/4/5,9.5,曇一時雨,山形
2022/4/6,10.5,曇時々晴,山形
2022/4/7,8.1,晴後一時雨,山形
2022/4/8,8.3,晴一時雨,山形
2022/4/9,11.9,晴,山形
2022/4/10,16.2,晴,山形
2022/4/11,16.6,晴後時々曇,山形
2022/4/12,17.3,晴,山形
2022/4/13,15.5,曇時々晴,山形
2022/4/14,9.3,雨時々曇,山形
2022/4/15,7.6,雨,山形
2022/4/16,8.2,雨後曇時々晴,山形
2022/4/17,9.3,晴,山形
2022/4/18,12.0,晴後曇一時雨,山形
2022/4/19,11.2,晴一時曇,山形
2022/4/20,11.9,晴,山形
2022/4/21,16.1,晴後一時曇,山形
2022/4/22,16.3,曇時々晴,山形
2022/4/23,15.5,曇時々晴一時雨,山形
2022/4/24,13.4,曇時々晴,山形
2022/4/25,17.9,晴,山形
2022/4/26,17.7,曇後一時雨,山形
2022/4/27,15.9,曇一時雨,山形
2022/4/28,12.3,晴,山形
2022/4/29,8.2,曇時々晴後雨,山形
2022/4/30,7.7,晴時々曇,山形
2022/5/1,8.0,雨時々曇,山形
2022/5/2,10.5,晴後時々曇,山形
2022/5/3,10.3,曇時々雨後晴,山形
2022/5/4,16.4,晴,山形
2022/5/5,18.5,晴,山形
2022/5/6,20.1,晴,山形
2022/5/7,20.0,晴後時々曇,山形
2022/5/8,13.7,晴,山形
2022/5/9,12.9,曇後一時晴,山形
2022/5/10,14.8,晴,山形
2022/5/11,17.2,晴,山形
2022/5/12,19.9,曇一時晴,山形
2022/5/13,20.2,曇時々雨,山形
2022/5/14,18.2,曇後一時晴一時雨,山形
