年月日,平均気温,天気概況（昼）,都市
2022/1/1,3.4,晴,横浜
2022/1/2,4.6,晴時々曇,横浜
2022/1/3,6.4,晴,横浜
2022/1/4,6.2,晴,横浜
2022/1/5,4.9,晴,横浜
2022/1/6,1.1,雪時々曇,横浜
2022/1/7,3.5,晴,横浜
2022/1/8,5.7,晴,横浜
2022/1/9,7.2,晴後時々曇,横浜
2022/1/10,8.3,曇一時晴後時々雨,横浜
2022/1/11,6.1,雨時々曇,横浜
2022/1/12,6.1,晴,横浜
2022/1/13,5.5,晴時々曇,横浜
2022/1/14,4.9,晴,横浜
2022/1/15,5.9,晴時々曇,横浜
2022/1/16,6.7,晴,横浜
2022/1/17,7.2,曇時々晴,横浜
2022/1/18,5.1,晴,横浜
2022/1/19,4.5,曇時々晴,横浜
2022/1/20,4.1,晴,横浜
2022/1/21,3.8,晴,横浜
2022/1/22,5.1,晴一時曇,横浜
2022/1/23,5.3,曇一時晴,横浜
2022/1/24,7.0,曇後一時晴,横浜
2022/1/25,5.2,曇時々晴一時雨,横浜
2022/1/26,6.0,曇一時雨後晴,横浜
2022/1/27,6.9,曇時々晴,横浜
2022/1/28,6.9,曇時々晴,横浜
2022/1/29,6.3,曇後時々晴,横浜
2022/1/30,5.6,曇時々晴,横浜
2022/1/31,5.5,晴後一時曇,横浜
2022/2/1,6.4,晴,横浜
2022/2/2,6.6,晴,横浜
2022/2/3,6.2,晴時々曇,横浜
2022/2/4,5.7,曇後一時晴,横浜
2022/2/5,4.2,晴後時々曇,横浜
2022/2/6,3.0,晴後時々曇,横浜
2022/2/7,4.7,晴,横浜
2022/2/8,5.9,曇後時々晴,横浜
2022/2/9,6.5,晴後一時曇,横浜
2022/2/10,2.7,雨後時々みぞれ,横浜
2022/2/11,4.9,晴一時曇,横浜
2022/2/12,5.8,晴一時曇,横浜
2022/2/13,3.7,みぞれ時々曇後雨,横浜
2022/2/14,4.5,曇一時みぞれ,横浜
2022/2/15,6.5,晴一時雨,横浜
2022/2/16,6.7,晴,横浜
2022/2/17,4.8,晴時々曇,横浜
2022/2/18,6.6,晴,横浜
2022/2/19,5.3,曇後時々雨,横浜
2022/2/20,6.2,雨時々曇一時晴,横浜
2022/2/21,4.8,晴,横浜
2022/2/22,4.9,晴,横浜
2022/2/23,4.8,晴,横浜
2022/2/24,5.2,晴時々曇,横浜
2022/2/25,6.7,晴,横浜
2022/2/26,9.0,晴,横浜
2022/2/27,10.5,晴,横浜
2022/2/28,9.7,晴後一時曇,横浜
2022/3/1,11.4,晴後曇一時雨,横浜
2022/3/2,11.6,曇時々晴,横浜
2022/3/3,10.1,晴時々曇一時雨,横浜
2022/3/4,8.7,曇時々晴,横浜
2022/3/5,11.6,晴,横浜
2022/3/6,8.2,晴後時々曇,横浜
2022/3/7,8.5,晴後一時曇,横浜
2022/3/8,6.7,曇時々雨,横浜
2022/3/9,8.5,晴後一時曇,横浜
2022/3/10,9.6,晴,横浜
2022/3/11,12.2,晴,横浜
2022/3/12,14.7,晴,横浜
2022/3/13,14.9,曇時々晴,横浜
2022/3/14,17.2,晴一時雨,横浜
2022/3/15,12.6,雨時々曇後晴,横浜
2022/3/16,14.6,晴時々曇,横浜
2022/3/17,14.2,晴時々曇,横浜
2022/3/18,5.9,雨時々曇,横浜
2022/3/19,10.3,曇時々晴一時雨,横浜
2022/3/20,10.7,曇時々晴,横浜
2022/3/21,9.9,曇後時々晴,横浜
2022/3/22,4.6,雨、みぞれを伴う,横浜
2022/3/23,6.1,曇時々晴一時雨,横浜
2022/3/24,8.5,晴,横浜
2022/3/25,12.4,晴,横浜
2022/3/26,16.3,曇後時々雨,横浜
2022/3/27,16.7,曇時々晴一時雨,横浜
2022/3/28,14.0,曇時々晴,横浜
2022/3/29,10.8,曇一時雨,横浜
2022/3/30,14.4,曇一時雨後晴,横浜
2022/3/31,15.9,曇時々晴,横浜
2022/4/1,8.0,雨後曇時々晴,横浜
2022/4/2,9.0,晴時々曇,横浜
2022/4/3,8.4,雨,横浜
2022/4/4,8.8,大雨,横浜
2022/4/5,12.8,晴時々曇,横浜
2022/4/6,16.0,曇後晴,横浜
2022/4/7,15.0,曇時々晴,横浜
2022/4/8,15.7,晴,横浜
2022/4/9,17.2,晴,横浜
2022/4/10,19.4,晴,横浜
2022/4/11,19.2,晴時々曇,横浜
2022/4/12,20.1,晴,横浜
2022/4/13,20.9,晴時々曇,横浜
2022/4/14,13.1,雨時々曇,横浜
2022/4/15,10.7,雨,横浜
2022/4/16,12.1,曇時々雨一時晴,横浜
2022/4/17,13.4,曇時々晴後雨,横浜
2022/4/18,14.5,曇後時々雨,横浜
2022/4/19,15.3,曇時々晴,横浜
2022/4/20,12.7,曇時々雨,横浜
2022/4/21,16.0,曇時々晴一時雨,横浜
2022/4/22,19.4,晴一時曇,横浜
2022/4/23,20.7,晴時々曇,横浜
2022/4/24,17.8,雨時々曇,横浜
2022/4/25,19.7,晴,横浜
2022/4/26,20.8,曇時々雨,横浜
2022/4/27,22.5,雨一時晴後曇,横浜
2022/4/28,16.9,曇後時々晴,横浜
2022/4/29,13.6,雨時々曇,横浜
2022/4/30,12.9,晴,横浜
2022/5/1,13.3,雨時々曇,横浜
2022/5/2,14.2,曇後晴時々雨、雷を伴う,横浜
2022/5/3,15.3,晴,横浜
2022/5/4,18.3,晴,横浜
2022/5/5,19.8,晴時々曇,横浜
2022/5/6,19.5,曇,横浜
